Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
19191405710,UGREEN 2PCS Phone Screen Protector Soft Full Cover Protector Only for Samsung Galaxy S22/S23 Ultra 6.8 inch HD Anti-fingerprint  Protector,19.30,2k+,Ugreen Flagship Store,3%,RM0.58,https://shopee.com.my/product/82080415/19191405710,https://s.shopee.com.my/6L3kG7w0ht
46751117531,UGREEN PD240W USB C to USB C Cable Fast Charging E-Marker Chip 480Mbps Data Transfer Speed Compatible with iPhone 17 Pro Max MacBook Pro/Air,25.12,194,Ugreen Flagship Store,3%,RM0.75,https://shopee.com.my/product/82080415/46751117531,https://s.shopee.com.my/6AkK3owe2s
40602205059,"【Retractable Cable】UGREEN 45W 3 Ports GaN Retractable 75cm Cable USB A USB C Fast Charger for iPhone 16 Pro Max,15,14",94.05,483,Ugreen Flagship Store,3%,RM2.82,https://shopee.com.my/product/82080415/40602205059,https://s.shopee.com.my/60QtrVxHNr
27728150247,"UGREEN 10Gbps Dual HDMI  7-in-1 Hub 4K@60hz Type C to HDMI USB3.2 Gen2 10Gbps 2xUSB-C 3.210Gbps 2xUSB-A 3.2 10Gbps PD100W HUB for  iPad Air M2 11"" 13'' 2024 MacBook Pro M3 M2 M1 M4",154.23,490,Ugreen Flagship Store,3%,RM4.63,https://shopee.com.my/product/82080415/27728150247,https://s.shopee.com.my/5q7TfCxuiq
17602293400,UGREEN MFi Lightning to 3.5mm Jack AUX Cable compatible for iPhone13/12/11/7/8 plus XR Xs MAX,49.37,2k+,Ugreen Flagship Store,3%,RM1.48,https://shopee.com.my/product/82080415/17602293400,https://s.shopee.com.my/5fo3StyY3p
2217806404,UGREEN Phone Holder Tablet Stand Mount Adjustable Lazy Cellphone Clip Aluminum Arm,27.63,4k+,Ugreen Flagship Store,3%,RM0.83,https://shopee.com.my/product/82080415/2217806404,https://s.shopee.com.my/5VUdGazBOo
42529740289,UGREEN GaN 45W Fast Charger 4 USB C+1 USB A Safe And Reliable Fast Charging For iPhone 17/Tablet/Laptop,73.62,179,Ugreen Flagship Store,3%,RM2.21,https://shopee.com.my/product/82080415/42529740289,https://s.shopee.com.my/5LBD4Hzojn
49010113393,UGREEN EchoBuds Plus Earbuds 55dB Adaptive ANC 50H Playback Headsets 6-microphone AI Call Support Dual Device Connection IPX5 in-ear TWS,105.73,66,Ugreen Flagship Store,3%,RM3.17,https://shopee.com.my/product/82080415/49010113393,https://s.shopee.com.my/7psY2sqIfI
23701093226,"UGREEN 65W GaN PD Fast Travel Charger Quick Charge - 2C1A 2 Type C 1 USB A Charger with UK/EU/US Plugs for Ipad Pro 2021, MacBook M1, iPhone 14, 13 Pro Max, iPhone 14 Plu",134.83,2k+,Ugreen Flagship Store,3%,RM4.04,https://shopee.com.my/product/82080415/23701093226,https://s.shopee.com.my/7fZ7qZqw0H
29226529453,UGREEN 4K 30Hz Wireless HDMI Extender 2.4GHz+5GHz 50 Meters Transmission HDMI VGA DualInterface Design Compatible with laptop/projector /PC/TV,490.11,230,Ugreen Flagship Store,3%,RM14.70,https://shopee.com.my/product/82080415/29226529453,https://s.shopee.com.my/7VFheGrZLG
