Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
29789582847,【Qi2 25W】UGREEN 2-in-1 MagFlow Wireless Charger Foldable Stand Small square box 25W Sliver Compatible with iPhone 16-12 Pro Max/AirPods,202.73,394,Ugreen Flagship Store,3%,RM6.08,https://shopee.com.my/product/82080415/29789582847,https://s.shopee.com.my/4qEwTOoKfp
23679231529,UGREEN 3 in 1 Multifunctional Crimping Cutting Stripping Network Cable Pliers For Cat 6 6A 7 8,37.29,236,Ugreen Flagship Store,3%,RM1.12,https://shopee.com.my/product/82080415/23679231529,https://s.shopee.com.my/50YMfhnhKs
57563309734,UGREEN Power Strip 65W Fast Charging USB C*2 +USB A*2+ AC*6 Desktop Charging Fivefold Protection For iphone/ipad/Powerbank/Computer,174.90,13,Ugreen Flagship Store,3%,RM5.25,https://shopee.com.my/product/82080415/57563309734,https://s.shopee.com.my/5Arms0n3zv
55559137840,UGREEN 5-in-1 USB C Hub 100W PD Charging HDMI 4K@60Hz 10Gbps Data Transfer One-Touch Screen Lock Compatible With MacBook,73.62,37,Ugreen Flagship Store,3%,RM2.21,https://shopee.com.my/product/82080415/55559137840,https://s.shopee.com.my/40fpTrrVMi
57859734185,UGREEN HUB 9-in-1 Dual 4K@60Hz Display 5Gbps Data Transfer Universal Compatibility,144.53,30,Ugreen Flagship Store,3%,RM4.34,https://shopee.com.my/product/82080415/57859734185,https://s.shopee.com.my/4AzFgAqs1l
43878586881,"UGREEN Magnetic 360° Rotatable Stand Case Only for Samsung S26 Ultra,Wireless Charging,Desktop Stand & Handheld Magnet Kickstand Case",66.93,110,Ugreen Flagship Store,3%,RM2.01,https://shopee.com.my/product/82080415/43878586881,https://s.shopee.com.my/4LIfsTqEgo
26926526312,UGREEN HiTune S5 True Wireless Earbuds Bluetooth 5.4 Sports Earphones Headphones in Mic with Earhooks & Ear Hook,115.43,283,Ugreen Flagship Store,3%,RM3.46,https://shopee.com.my/product/82080415/26926526312,https://s.shopee.com.my/4Vc64mpbLr
43403299619,UGREEN 10Gbps 4K@240Hz 2xUSB-C to DP 1xUSB-C 3.2 Gen2 10Gbps  4xUSB-A 3.2 10Gbps HUB 1xSD&TF 1xM.2 Nvme 1x3.5MM Multi-function HUB Suitable for Mac mini M4/M4 Pro,212.43,146,Ugreen Flagship Store,3%,RM6.37,https://shopee.com.my/product/82080415/43403299619,https://s.shopee.com.my/3LQ8gdu2ie
18381350405,UGREEN XLR to 3.5mm Microphone Audio HiFi Cable XLR Female to Mini Jack Aux Mic Cord for Camcorders DSLR Cameras Computer,15.90,871,Ugreen Flagship Store,3%,RM0.48,https://shopee.com.my/product/82080415/18381350405,https://s.shopee.com.my/3VjYswtPNh
5852342614,UGREEN 2 in 1 Type C to Audio Jack and Type C Adapter (3.5mm),22.21,3k+,Ugreen Flagship Store,3%,RM0.67,https://shopee.com.my/product/82080415/5852342614,https://s.shopee.com.my/3g2z5Fsm2k
22110570951,UGREEN Tablet Pillow Stand for 4.7 to 12.9-inch Tablets Cell Phones iPad iPhone 14 13,40.64,3k+,Ugreen Flagship Store,3%,RM1.22,https://shopee.com.my/product/82080415/22110570951,https://s.shopee.com.my/3qMPHYs8hn
