Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
26301036302,UGREEN 5000mAh PD20W/SCP22.5W Mini Fast Charging Portable Power Bank Built-in Cable,115.43,342,Ugreen Flagship Store,9%,RM10.39,https://shopee.com.my/product/82080415/26301036302,https://s.shopee.com.my/4AzFgCTRfA
41530677542,UGREEN 10000mAh 55W Fast Charge Power Bank  Built-in USB-C Cable 3-Port (USB-C*2+USB-A*1)  Multicolor Compatible with iPhone 17,279.00,2,Ugreen Flagship Store,3%,RM8.37,https://shopee.com.my/product/82080415/41530677542,https://s.shopee.com.my/40fpTtU509
41074621351,[UNO Rocket shape] UGREEN MPP 2-in-1 Wireless 25W Charger Ultra-Fast  Magnetic Charging 360° Device Rotation ThermalGuard Fun LED Lights Compatible with iPhone 17/16/15 series,219.00,10,Ugreen Flagship Store,3%,RM6.57,https://shopee.com.my/product/82080415/41074621351,https://s.shopee.com.my/4Vc64oSAzG
26834589225,"UGREEN NASync DXP4800 Plus 4-Bay Desktop NAS, Intel Pentium Gold 8505 5-Core CPU, 8GB DDR5 RAM, 128G SSD, 1 * 10GbE, 1 * 2.5GbE, Network Attached Storage (Diskless)",3.3k,187,Ugreen Flagship Store,3%,RM98.91,https://shopee.com.my/product/82080415/26834589225,https://s.shopee.com.my/4LIfsVSoKF
11003175989,UGREEN USB C Hub Mini Size USB Type C 3.1 to 4K HDMI USB 3.0 RJ45 OTG Adapter Splitter compatible for MacBook Pro Air PC HUB,169.00,2k+,Ugreen Flagship Store,3%,RM5.07,https://shopee.com.my/product/82080415/11003175989,https://s.shopee.com.my/60QtrZMSwa
29125381788,UGREEN  2-IN-1  Bluetooth 5.4 Receiver Transmitter Support SBC/AAC Decoding Applicable for TV/Car/Airplane/Speaker,66.93,649,Ugreen Flagship Store,3%,RM2.01,https://shopee.com.my/product/82080415/29125381788,https://s.shopee.com.my/6AkK3sLpbd
16328343574,"UGREEN SATA to USB 3.0 Adapter Cable with UASP SATA III to USB Converter for 2.5""  Hard Drives Disk（SSD Not Included）",34.90,275,Ugreen Flagship Store,3%,RM1.05,https://shopee.com.my/product/82080415/16328343574,https://s.shopee.com.my/6L3kGBLCGg
57657738901,UGREEN DisplayPort 2.1 Cable 16K@30Hz 10K@60Hz High Speed 80Gbps DisplayPort Cable Support HDR For Camera TV PC Laptop Video,25.14,20,Ugreen Flagship Store,3%,RM0.75,https://shopee.com.my/product/82080415/57657738901,https://s.shopee.com.my/6VNASUKYvj
47758520650,【Jackson Yee's Pick】【CCC Certified】UGREEN 45W 10000mAh Power Bank with Built-in Cable 3-Port Output (2 USB-C + 1 USB-A)  Fast Charging Portable Charger with Retractable Type-C Cable,199.00,2,Ugreen Flagship Store,3%,RM5.97,https://shopee.com.my/product/82080415/47758520650,https://s.shopee.com.my/5LBD4LP0IW
29676509499,UGREEN 145W 20000mAh Power Bank Qi2 15W Magnetic Wireless Powerbank Station PD3.1 External Battery for Laptop 100W Fast Charge,499.00,24,Ugreen Flagship Store,3%,RM14.97,https://shopee.com.my/product/82080415/29676509499,https://s.shopee.com.my/5VUdGeOMxZ
2217774743,UGREEN USB Sound Card Adapter to Earphone Headphone (3.5mm),36.17,842,Ugreen Flagship Store,3%,RM1.09,https://shopee.com.my/product/82080415/2217774743,https://s.shopee.com.my/5fo3SxNjcc
26834589278,"UGREEN NASync DXP2800 2-Bay Desktop NAS, Intel N100 Quad-core CPU, 8GB DDR5 RAM, 2.5GbE, 2 * M.2 NVMe Slots, 4K HDMI, Network Attached Storage (Diskless)",2.0k,198,Ugreen Flagship Store,3%,RM61.08,https://shopee.com.my/product/82080415/26834589278,https://s.shopee.com.my/5q7TfGN6Hf
55154087687,UGREEN M.2 NVMe Dual-Bay Docking Station with USB 3.2 20Gbps and Duplication Function（SSD Not Included）,319.03,19,Ugreen Flagship Store,3%,RM9.57,https://shopee.com.my/product/82080415/55154087687,https://s.shopee.com.my/7KwHS1HOEy
