Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
28774863188,Baseus PD USB-C Fast Charger for Phone Pad Samsung Galaxy Google Pixel Support PD3.0 QC3.0 (20W),27.51,10k+,Baseus Malaysia,9%,RM2.48,https://shopee.com.my/product/1420644858/28774863188,https://s.shopee.com.my/2LXbUyIpkJ
28087928664,Baseus Drawstring Velvet Bag Storage Bag Multifunctional (220mm*120mm),11.90,5k+,Baseus Malaysia,12%,RM1.43,https://shopee.com.my/product/1420644858/28087928664,https://s.shopee.com.my/1VyUVRM0RA
28878298268,Baseus BD1/WM02s TWS True Wireless 5.4 Super Bass IP55 Splash-Resistant Earbuds Mini 35h Playtime,65.90,5k+,Baseus Malaysia,10%,RM6.59,https://shopee.com.my/product/1420644858/28878298268,https://s.shopee.com.my/1Lf4J8Mdm9
40455842014,Baseus PrimeTrip VC2 Flex Magnetic Car Holder Car Mount Suction Cup,41.31,10k+,Baseus Malaysia,10%,RM4.13,https://shopee.com.my/product/1420644858/40455842014,https://s.shopee.com.my/1qbKu3KjlG
55401529468,Baseus Bass BS2 Lite True Wireless Earbuds IP55 Waterproof Bluetooth6.0 ENC 2-Mic AI Clear Calls,58.79,2k+,Baseus Malaysia,9%,RM5.29,https://shopee.com.my/product/1420644858/55401529468,https://s.shopee.com.my/1gHuhkLN6F
27020823629,Baseus WM01 TWS Bluetooth Earphones Stereo Wireless Upgraded Version 5.3,60.63,40k+,Baseus Malaysia,9%,RM5.46,https://shopee.com.my/product/1420644858/27020823629,https://s.shopee.com.my/qiniDOXn6
27688093406,【CCC Certified】Baseus PicoGo Ultra-Slim 3C 5000mAh 20W Magnetic Light&Portable Power Bank with Card-Sized,129.00,3k+,Baseus Malaysia,9%,RM11.61,https://shopee.com.my/product/1420644858/27688093406,https://s.shopee.com.my/gPNVuPB85
26176570499,Baseus AT Car Vacuum Cleaner Wireless Air Dust Blower for Car Powerful Car Cleaning Vehicle Cleaner,100.28,10k+,Baseus Malaysia,9%,RM9.03,https://shopee.com.my/product/1420644858/26176570499,https://s.shopee.com.my/1BLe6pNH7C
29224862918,Baseus C17 Type-C Earphones In Ear Wired With Mic For Smart Phone,23.90,5k+,Baseus Malaysia,9%,RM2.15,https://shopee.com.my/product/1420644858/29224862918,https://s.shopee.com.my/112DuWNuSB
41311460789,【CCC Certified】Baseus FC11 Dual-Cable 3C Powerbank Digital Display Fast Charging 22.5W/45W For Phone,95.90,1k+,Baseus Malaysia,9%,RM8.63,https://shopee.com.my/product/1420644858/41311460789,https://s.shopee.com.my/BT6uzR592
27924858476,Baseus Portable Earphones Carrying Bag Case Memory Card USB Cable Waterproof Organizer Box,9.90,3k+,Baseus Malaysia,9%,RM0.89,https://shopee.com.my/product/1420644858/27924858476,https://s.shopee.com.my/19gigRiU1
27624848907,Baseus Car Phone Holder Sucker for Dashboard Windshield Mobile Car Holder Clamp,33.90,2k+,Baseus Malaysia,9%,RM3.05,https://shopee.com.my/product/1420644858/27624848907,https://s.shopee.com.my/W5xJbPoT8
26474863468,Baseus Lipow Dual-Cable Power Bank with Digital Display (10000mah/20000mAh/22.5W),89.00,1k+,Baseus Malaysia,9%,RM8.01,https://shopee.com.my/product/1420644858/26474863468,https://s.shopee.com.my/LmX7IQRo7
28024858734,Baseus Portable Wireless Inflator Pump Digital Tire Pressure Detection,129.00,1k+,Baseus Malaysia,9%,RM11.61,https://shopee.com.my/product/1420644858/28024858734,https://s.shopee.com.my/9zx2d3peC0
29174862921,Baseus Bowie WM02 TWS Bluetooth Earphones Stereo Wireless 5.3,73.51,10k+,Baseus Malaysia,9%,RM6.62,https://shopee.com.my/product/1420644858/29174862921,https://s.shopee.com.my/AAGSpMp0r3
27374848995,【CCC Certified】Baseus Power Bank Mini Magnetic Wireless Fast Charge With Auto-Wake For iP 17/16,99.90,4k+,Baseus Malaysia,9%,RM8.99,https://shopee.com.my/product/1420644858/27374848995,https://s.shopee.com.my/AKZt1foNW6
41064311762,【CCC Certified】Baseus 3C Power Bank PD Fast Charging Built in Dual-Cable Digital Display For All Phone (Upgraded),109.48,1k+,Baseus Malaysia,9%,RM9.85,https://shopee.com.my/product/1420644858/41064311762,https://s.shopee.com.my/AUtJDynkB9
25396653219,Baseus 100W PD 2C+U Fast Charger 3 Ports USB C GaN Foldable Plug Adapter for Laptop Tablet Phone,127.88,716,Baseus Malaysia,10%,RM12.79,https://shopee.com.my/product/1420644858/25396653219,https://s.shopee.com.my/9KhLppsBXw
28024858514,Baseus Power Bank PD Fast Charging Built In Dual-Cable Digital Display For Phone (10000mah/20000mah),109.00,2k+,Baseus Malaysia,9%,RM9.81,https://shopee.com.my/product/1420644858/28024858514,https://s.shopee.com.my/9V0m28rYCz
27174849051,Baseus USB Type C Cable iP15 PD3.1 Fast Charger for Macbook PC (240W),23.90,1k+,Baseus Malaysia,9%,RM2.15,https://shopee.com.my/product/1420644858/27174849051,https://s.shopee.com.my/9fKCERqus2
48161609774,Baseus Smooth Power Fast Charging Cable Type C to Type C / Type-C to iP / USB to iP For Phone,12.90,125,Baseus Malaysia,9%,RM1.16,https://shopee.com.my/product/1420644858/48161609774,https://s.shopee.com.my/9pdcQkqHX5
28474858575,Baseus Car Phone Holder Auto Gravity Dashboard Strong Suction Compatible For All Phone,23.90,932,Baseus Malaysia,9%,RM2.15,https://shopee.com.my/product/1420644858/28474858575,https://s.shopee.com.my/8fRf2buits
44211428006,Baseus BC1 Ear Clip Earbuds Open Ear Wireless Earphones Bluetooth 6.0 4-Mics Super Bass IP55,80.87,352,Baseus Malaysia,9%,RM7.28,https://shopee.com.my/product/1420644858/44211428006,https://s.shopee.com.my/8pl5Euu5Yv
29476570342,Baseus PD 20W USB-C to iP Fast charge Cable Supports 480Mbps Data Transmission,19.90,841,Baseus Malaysia,9%,RM1.79,https://shopee.com.my/product/1420644858/29476570342,https://s.shopee.com.my/904VRDtSDy
28924863087,Baseus Pro Quick Charge 4.0 PD USB C To USB Type C Cable For Laptop (100W),21.07,1k+,Baseus Malaysia,9%,RM1.90,https://shopee.com.my/product/1420644858/28924863087,https://s.shopee.com.my/9ANvdWsot1
42074725447,Baseus BP1 NC ANC 41h Earbuds -43dB Noise Reducton v6.0 IP55 Waterproof,91.08,477,Baseus Malaysia,9%,RM8.20,https://shopee.com.my/product/1420644858/42074725447,https://s.shopee.com.my/80ByFNxGFo
42708646569,Baseus AE11 GaN 45W Fast Charger Type C Portable For iP16/15 Xiaomi Samsung Huawei,63.48,839,Baseus Malaysia,9%,RM5.71,https://shopee.com.my/product/1420644858/42708646569,https://s.shopee.com.my/8AVORgwcur
28624854019,Baseus USB C PD Fast Charging Type C Cable For Laptop/Tablet/Phone (100W),15.90,871,Baseus Malaysia,9%,RM1.43,https://shopee.com.my/product/1420644858/28624854019,https://s.shopee.com.my/8KoodzvzZu
29224863017,Baseus H17 Encok Lateral In-Ear Wired Earphone (3.5mm),21.90,2k+,Baseus Malaysia,9%,RM1.97,https://shopee.com.my/product/1420644858/29224863017,https://s.shopee.com.my/8V8EqIvMEx
27124858686,Baseus Palm Fast Charger 2C+U UK PD Compact 3Port For Phone Laptop (65W),99.90,1k+,Baseus Malaysia,9%,RM8.99,https://shopee.com.my/product/1420644858/27124858686,https://s.shopee.com.my/7KwHS9znbk
27424858784,Baseus Life-Saving Escape Hammer for Glass Breaker Seat Belt Cutter,23.90,870,Baseus Malaysia,9%,RM2.15,https://shopee.com.my/product/1420644858/27424858784,https://s.shopee.com.my/7VFheSzAGn
41669125141,Baseus BH1 Lite 80H Playtime Wireless Headphone Bluetooth 6.0 ENC Clear Call Headsets Super Bass Hit,88.23,791,Baseus Malaysia,9%,RM7.94,https://shopee.com.my/product/1420644858/41669125141,https://s.shopee.com.my/7fZ7qlyWvq
29876575208,【CCC Certified】Baseus GP12 145W 20800mAh 4 Ports Power Bank Fast Charging with Digital Display,219.88,9k+,Baseus Malaysia,9%,RM19.79,https://shopee.com.my/product/1420644858/29876575208,https://s.shopee.com.my/7psY34xtat
27834556853,Baseus PicoGo Ultra-Slim 5000mAh 20W/10000mah 27W Magnetic Light&Portable Power Bank,129.00,1k+,Baseus Malaysia,9%,RM11.61,https://shopee.com.my/product/1420644858/27834556853,https://s.shopee.com.my/6fgaew2Kxg
57162653631,Baseus MC2 Open-Ear True Wireless Earbuds Bluetooth 6.0 Cloud Comfort Super Bass 3.0 IP67 Waterproof,209.00,65,Baseus Malaysia,9%,RM18.81,https://shopee.com.my/product/1420644858/57162653631,https://s.shopee.com.my/6q00rF1hcj
26774849271,Baseus 2.4GHz USB Type-C Rechargeable Orange Dot Wireless Presenter Red Laser For Windows iOS,58.79,106,Baseus Malaysia,9%,RM5.29,https://shopee.com.my/product/1420644858/26774849271,https://s.shopee.com.my/70JR3Y14Hm
53507104647,【CCC Certified】Baseus FC11 20000mAh 22.5W Digital Display 3C Power Bank with Dual Built-in Cables,102.90,241,Baseus Malaysia,9%,RM9.26,https://shopee.com.my/product/1420644858/53507104647,https://s.shopee.com.my/7AcrFr0Qwp
29024863011,Baseus Type C USB Cable 3A for Quick Charge & Fast Charging Technology For Huawei Xiaomi,13.90,1k+,Baseus Malaysia,9%,RM1.25,https://shopee.com.my/product/1420644858/29024863011,https://s.shopee.com.my/60Qtri4sJc
29074862978,Baseus Pudding Series 2.4A Fast Charging Cable,15.90,932,Baseus Malaysia,9%,RM1.43,https://shopee.com.my/product/1420644858/29074862978,https://s.shopee.com.my/6AkK414Eyf
43367624794,Baseus Eli 2i Fit Open-Ear Earphones True Wireless v6.0 Ear Hooks IPX5 Waterproof Sports Earbuds,109.00,353,Baseus Malaysia,9%,RM9.81,https://shopee.com.my/product/1420644858/43367624794,https://s.shopee.com.my/6L3kGK3bdi
27774854032,Baseus Encok HZ20 In-ear Wired Earphone Hi-Res Jack With Mic Wired (3.5mm),26.90,566,Baseus Malaysia,9%,RM2.42,https://shopee.com.my/product/1420644858/27774854032,https://s.shopee.com.my/6VNASd2yIl
27724848813,Baseus PD USB C Fast Charging Cable for iPhone (20W),17.90,1k+,Baseus Malaysia,9%,RM1.61,https://shopee.com.my/product/1420644858/27724848813,https://s.shopee.com.my/5LBD4U7PfY
40150839028,【BUY 1 GET 2 FREE】Baseus BP1 Pro ANC 55h Wireless Earbuds -50dB ANC Hi-Res Bluetooth 6.0 IPX55,138.00,834,Baseus Malaysia,9%,RM12.42,https://shopee.com.my/product/1420644858/40150839028,https://s.shopee.com.my/5VUdGn6mKb
27874858668,Baseus CZ11 HZ11 Wired Earphones Lateral In-ear Wire Control Ulta Low Latency For Type C (3.5mm),17.90,557,Baseus Malaysia,9%,RM1.61,https://shopee.com.my/product/1420644858/27874858668,https://s.shopee.com.my/5fo3T668ze
27589481964,【CCC Certified】Baseus Qpow 3 Digital Display 45W Power Bank with USB-C+iP Cables 10000mAh/20000mAh,139.00,395,Baseus Malaysia,9%,RM12.51,https://shopee.com.my/product/1420644858/27589481964,https://s.shopee.com.my/5q7TfP5Veh
27974863206,Baseus USB Type C Cable Fast Charging Wire USB-C Charger Data Cord Huawei/Honor Compatible (100W),20.90,1k+,Baseus Malaysia,9%,RM1.88,https://shopee.com.my/product/1420644858/27974863206,https://s.shopee.com.my/4fvWHG9x1U
24341590482,Baseus Mobile Phone Charger Protection Storage Zipper Bag,19.90,1k+,Baseus Malaysia,12%,RM2.39,https://shopee.com.my/product/1420644858/24341590482,https://s.shopee.com.my/4qEwTZ9JgX
47961621099,（Upgraded）Baseus VC3 Flex Magnetic Car Phone Holder Vacuum Suction Cup Stand Rotation For Phone,63.90,62,Baseus Malaysia,9%,RM5.75,https://shopee.com.my/product/1420644858/47961621099,https://s.shopee.com.my/50YMfs8gLa
49351666671,Baseus EnerFill FN11 Fast Charger 2U+C 30W UK,38.90,637,Baseus Malaysia,9%,RM3.50,https://shopee.com.my/product/1420644858/49351666671,https://s.shopee.com.my/5ArmsB830d
25247504105,Baseus EnerFill 120W 4C+2U Desktop Charging Station Fast Charger,155.48,355,Baseus Malaysia,9%,RM13.99,https://shopee.com.my/product/1420644858/25247504105,https://s.shopee.com.my/40fpU2CUNQ
27324858786,Baseus Encok CZ20 In-ear Wired Earphone Hi-Res Type-C Jack With Mic Wired,36.71,240,Baseus Malaysia,9%,RM3.30,https://shopee.com.my/product/1420644858/27324858786,https://s.shopee.com.my/4AzFgLBr2T
25644447775,Baseus 4000mAh High-Speed 5 Speeds Strong Wind Foldable Handheld Fan with LED Display Mini,89.00,1k+,Baseus Malaysia,9%,RM8.01,https://shopee.com.my/product/1420644858/25644447775,https://s.shopee.com.my/4LIfseBDhW
43773867252,Baseus Universal Travel Adapter Built in 70W Retractable Cable 2AC+2U+2C Fast Charging UK/EU/USA/AUS,159.00,172,Baseus Malaysia,9%,RM14.31,https://shopee.com.my/product/1420644858/43773867252,https://s.shopee.com.my/4Vc64xAaMZ
27324848867,Baseus Heyo II Camera Detector Cluster Portable Detect Anti-Peeping Gadget Anti-spy Protection,35.90,1k+,Baseus Malaysia,9%,RM3.23,https://shopee.com.my/product/1420644858/27324848867,https://s.shopee.com.my/3LQ8goF1jM
43811462318,【CCC Certified】Baseus Qpow 3 Ultra Digital Display 22.5W Power Bank with Detachable Cable,117.76,301,Baseus Malaysia,9%,RM10.60,https://shopee.com.my/product/1420644858/43811462318,https://s.shopee.com.my/3VjYt7EOOP
41768343281,Baseus Car Sun Shade GoTrip DT1 Single Car Windshield Sunshield Full Coverage Umbrella Shaft,59.90,823,Baseus Malaysia,9%,RM5.39,https://shopee.com.my/product/1420644858/41768343281,https://s.shopee.com.my/3g2z5QDl3S
27374848886,Baseus Pudding Series Fast Charging Cable (20W),15.90,835,Baseus Malaysia,9%,RM1.43,https://shopee.com.my/product/1420644858/27374848886,https://s.shopee.com.my/3qMPHjD7iV
28144705559, Baseus Bass BC1 Lite Open Ear Earbuds Clip-On Comfort with 2-Mic Clear Calls IP55 Waterproof 45h,89.90,145,Baseus Malaysia,9%,RM8.09,https://shopee.com.my/product/1420644858/28144705559,https://s.shopee.com.my/2gARtaHZ5I
