Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27524858750,Baseus Smooth Writing Capactive Stylus Pen Active Screen Touch For iPads Released After 2018,59.90,359,Baseus Malaysia,9%,RM5.39,https://shopee.com.my/product/1420644858/27524858750,https://s.shopee.com.my/40fpU3PhEE
43329915633,Baseus Bowie MC2 Air Open-Ear True Wireless Earbuds 40Hrs Playtime Super Bass2.0&IP67 Waterproof Earphone,159.00,46,Baseus Malaysia,9%,RM14.31,https://shopee.com.my/product/1420644858/43329915633,https://s.shopee.com.my/4AzFgMP3tH
26474849283,Baseus 2.4A Fast Charging Data Cable USB to iP for iP 14 13 12,18.31,1k+,Baseus Malaysia,9%,RM1.65,https://shopee.com.my/product/1420644858/26474849283,https://s.shopee.com.my/3g2z5RQxuC
56858933916,【CCC Certified+Free Wired Earphone】Baseus Ultra-Slim 3C 10000mah 27W Magnetic Power Bank Card-Sized,159.00,37,Baseus Malaysia,9%,RM14.31,https://shopee.com.my/product/1420644858/56858933916,https://s.shopee.com.my/3qMPHkQKZF
28924863009,Baseus Water Proof Phone Bag Universal Protection Cover,27.90,880,Baseus Malaysia,9%,RM2.51,https://shopee.com.my/product/1420644858/28924863009,https://s.shopee.com.my/3LQ8gpSEaA
26874896592,Baseus Metal Age Go Gravity Car Mount Air Outlet Version Phone Holder Anti-Shake Noise Reduction,29.90,190,Baseus Malaysia,9%,RM2.69,https://shopee.com.my/product/1420644858/26874896592,https://s.shopee.com.my/3VjYt8RbFD
42481404728,Baseus 140W Cable 2-in-1 Fast Charging Cable PD3.1 QC PPS USB C to Dual Type-C  For Laptop Phone,64.90,11,Baseus Malaysia,9%,RM5.84,https://shopee.com.my/product/1420644858/42481404728,https://s.shopee.com.my/30nIIDTVG8
27174849146,Baseus ComfortRide Series Car Cooling Headrest Lumbar Pillow,73.90,267,Baseus Malaysia,9%,RM6.65,https://shopee.com.my/product/1420644858/27174849146,https://s.shopee.com.my/3B6iUWSrvB
24697499349,【BASEUS X Sound by BOSE】Baseus Inspire XC1 Ear Clip Bluetooth 6.1 Hi-Res Open Earphones 4-Mics 40h,459.00,39,Baseus Malaysia,9%,RM41.31,https://shopee.com.my/product/1420644858/24697499349,https://s.shopee.com.my/2gARtbUlw6
29586840174,Baseus FP11 Power Bank 10000mAh 15W/22.5W Fast Charging for All Phone,69.00,705,Baseus Malaysia,9%,RM6.21,https://shopee.com.my/product/1420644858/29586840174,https://s.shopee.com.my/2qTs5uU8b9
26774896554,Baseus Bowie MC1 Ear Clip Earphones v5.4 Open-Ear Clip-On IP57 Waterproof,164.68,4k+,Baseus Malaysia,9%,RM14.82,https://shopee.com.my/product/1420644858/26774896554,https://s.shopee.com.my/2LXbUzW2c4
28176582945,Baseus Magnetic Bluetooth Stylus Pen for iPad Pro Air 4 Air 5 2021-2024 Led Palm Rejection Touch Pen,65.90,52,Baseus Malaysia,9%,RM5.93,https://shopee.com.my/product/1420644858/28176582945,https://s.shopee.com.my/2Vr1hIVPH7
24641590546,Baseus 100W USB Type C Cable For Huawei Honor Super Charge,15.90,162,Baseus Malaysia,9%,RM1.43,https://shopee.com.my/product/1420644858/24641590546,https://s.shopee.com.my/20ul6NXJI2
27974858541,Baseus Magnetic Wireless Fast Chager (15W),52.90,135,Baseus Malaysia,9%,RM4.76,https://shopee.com.my/product/1420644858/27974858541,https://s.shopee.com.my/2BEBIgWfx5
28174863272,Baseus Mini Inflate & Deflate Portable Air Pump with Light for Air Mattress Pool Floats Air Bed,109.90,211,Baseus Malaysia,9%,RM9.89,https://shopee.com.my/product/1420644858/28174863272,https://s.shopee.com.my/1gHuhlYZy0
43811443725,Baseus 145W 20000mAh Power Bank Built-in Retractable USB-C Cable Portable for Phone Laptop,269.00,45,Baseus Malaysia,9%,RM24.21,https://shopee.com.my/product/1420644858/43811443725,https://s.shopee.com.my/1qbKu4Xwd3
26374849483,Baseus LED Digital Kitchen Rotation Countdown Timer,52.90,50,Baseus Malaysia,9%,RM4.76,https://shopee.com.my/product/1420644858/26374849483,https://s.shopee.com.my/1Lf4J9Zqdy
50261901310,Baseus USB-C to USB-C 60W/100W Fast Charging Cable Smart Temperature Control Durable Data Cable,19.90,20,Baseus Malaysia,9%,RM1.79,https://shopee.com.my/product/1420644858/50261901310,https://s.shopee.com.my/1VyUVSZDJ1
25390947653,Baseus 3 In 1 USB Cable Type C For Samsung Xiaomi iPhone,22.90,41,Baseus Malaysia,9%,RM2.06,https://shopee.com.my/product/1420644858/25390947653,https://s.shopee.com.my/112DuXb7Jw
51853863527,Baseus MH1 ANC -48dB Adaptive Hybrid Noise Cancelling Headsets 80H Playtime Hi-Res LDAC Headphone,239.00,34,Baseus Malaysia,9%,RM21.51,https://shopee.com.my/product/1420644858/51853863527,https://s.shopee.com.my/1BLe6qaTyz
24940956234,Baseus Night Light Hanging Magnetic LED Table Lamp Stepless Dimming Rechargeable,75.90,13,Baseus Malaysia,9%,RM6.83,https://shopee.com.my/product/1420644858/24940956234,https://s.shopee.com.my/gPNVvcNzu
40018398519,Baseus Bass BH1 Air Over-Ear Bluetooth Headphones,109.00,134,Baseus Malaysia,9%,RM9.81,https://shopee.com.my/product/1420644858/40018398519,https://s.shopee.com.my/qiniEbkex
24240956293,Baseus Smooth Writing III 3 In 1 Passive Stylus Point Stylus for Touch Screen,29.90,85,Baseus Malaysia,9%,RM2.69,https://shopee.com.my/product/1420644858/24240956293,https://s.shopee.com.my/LmX7Jdefs
26538717737,Baseus MC1 Pro Ear Clip Bluetooth6.0 Wireless Earphones Hi-Res Ultra Open Earbuds earrings 4-Mic ENC,219.00,57,Baseus Malaysia,9%,RM19.71,https://shopee.com.my/product/1420644858/26538717737,https://s.shopee.com.my/W5xJcd1Kv
28174858524,Baseus USB Fast Data Cable Charger Compatible For iPhone (2.4A),13.90,116,Baseus Malaysia,9%,RM1.25,https://shopee.com.my/product/1420644858/28174858524,https://s.shopee.com.my/19gihevLq
28126568823,Baseus F01B Tri-Mode Bluetooth Wireless Silent  Mouse For Tablet Laptop Gaming Mice,44.90,142,Baseus Malaysia,9%,RM4.04,https://shopee.com.my/product/1420644858/28126568823,https://s.shopee.com.my/BT6v0eI0t
27541165277,Baseus VA1 Super Mini Wireless Inflator 19-Cylinder Portable Air Pump 5000mAh for Car Motorcycle,146.90,59,Baseus Malaysia,9%,RM13.22,https://shopee.com.my/product/1420644858/27541165277,https://s.shopee.com.my/AKZt1h1aNs
26574863527,Baseus Car Charger Built-in Retractable Fast Charging Type-C Cable (60W),59.90,100,Baseus Malaysia,9%,RM5.39,https://shopee.com.my/product/1420644858/26574863527,https://s.shopee.com.my/AUtJE00x2v
