Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
7265788749,VENTION CAT6 LAN Cable Ethernet High Speed RJ45 Gigabit 1Gbps for Unifi Maxis TIME 1000Mbps CAT 6,4.99,9k+,Vention Malaysia Official Store,15%,RM0.75,https://shopee.com.my/product/323554996/7265788749,https://s.shopee.com.my/3B6iUabQZy
4459538171,Vention 4K HDMI Cable 4K HDMI 2.0 High Speed HDMI Ultra HD for Desktop Laptop TV LCD Projector,9.81,10k+,Vention Malaysia Official Store,15%,RM1.47,https://shopee.com.my/product/323554996/4459538171,https://s.shopee.com.my/30nIIHc3ux
9409565714,Vention USB Micro B Cable USB 3.0 for External Hard Disk Drive Seagate Western Digital,9.85,2k+,Vention Malaysia Official Store,15%,RM1.48,https://shopee.com.my/product/323554996/9409565714,https://s.shopee.com.my/4qEwTeV5CK
5365790242,Vention Printer Cable USB 2.0 for Label Inkjet Laser Printer Scanner Cable for HP Canon Epson Fuji Xerox Brother,5.91,1k+,Vention Malaysia Official Store,15%,RM0.89,https://shopee.com.my/product/323554996/5365790242,https://s.shopee.com.my/4fvWHLViXJ
11011761488,VENTION Cat6 Cat7 Super Long LAN Cable Ethernet Network 15M 20M 25M 30M 35M 40M CAT 6 Gold Plated,28.63,764,Vention Malaysia Official Store,15%,RM4.29,https://shopee.com.my/product/323554996/11011761488,https://s.shopee.com.my/5ArmsGToWQ
7965795461,Vention HDMI Cable Extender Coupler Adapter Female to Female Connector 4K 8K Premium High Resolution,5.93,2k+,Vention Malaysia Official Store,15%,RM0.89,https://shopee.com.my/product/323554996/7965795461,https://s.shopee.com.my/50YMfxURrP
6959542403,Vention CAT6 Ethernet LAN Cable Router RJ45 Gigabit 10G Flat Design High Speed Stable Gold Plated,5.21,1k+,Vention Malaysia Official Store,15%,RM0.78,https://shopee.com.my/product/323554996/6959542403,https://s.shopee.com.my/4AzFgQXcYG
9300406667,Vention Mini HDMI Male to HDMI Female Adapter 3D 4K 30HZ Gold Plated HDMI Connector for HDTV Laptop,5.36,1k+,Vention Malaysia Official Store,15%,RM0.80,https://shopee.com.my/product/323554996/9300406667,https://s.shopee.com.my/40fpU7YFtF
9979732340,Vention Cable Tie Organizer Velcro Self Adhesive Tie,1.00,7k+,Vention Malaysia Official Store,15%,RM0.15,https://shopee.com.my/product/323554996/9979732340,https://s.shopee.com.my/4Vc652WLsM
3181322526,Vention Digital Fiber Optical Audio Cable TOSLINK Cable SPDIF Speaker Blu-ray PS5 TV Soundbar Amp,9.96,10k+,Vention Malaysia Official Store,15%,RM1.49,https://shopee.com.my/product/323554996/3181322526,https://s.shopee.com.my/4LIfsjWzDL
27000222929,Vention SATA Cable 3.0 Hard Disk Drive SSD HDD SATA for CCTV PC NAS Server,5.71,329,Vention Malaysia Official Store,15%,RM0.86,https://shopee.com.my/product/323554996/27000222929,https://s.shopee.com.my/6L3kGPPN9k
9300406574,Vention HDMI 2.0 Adapter 90 Degree Right Angle HDMI Male to Female Connector 4K Extender TV Box PS5,5.65,6k+,Vention Malaysia Official Store,15%,RM0.85,https://shopee.com.my/product/323554996/9300406574,https://s.shopee.com.my/6VNASiOjon
7859540318,Vention CAT8 LAN Cable 40Gbps Gigabit Ethernet LAN RJ45 Gold Plated for Unifi Maxis TIME,10.57,2k+,Vention Malaysia Official Store,15%,RM1.59,https://shopee.com.my/product/323554996/7859540318,https://s.shopee.com.my/60QtrnQdpi
5065790227,Vention USB 2.0 Extension Cable for Data Transfer Cable Type A Male to Female Extender,6.28,4k+,Vention Malaysia Official Store,15%,RM0.94,https://shopee.com.my/product/323554996/5065790227,https://s.shopee.com.my/6AkK46Q0Ul
9700406547,Vention 4K DisplayPort to HDMI Cable DP to HDMI Male for PC Computer Monitor Laptop Projector HD,40.55,1k+,Vention Malaysia Official Store,15%,RM6.08,https://shopee.com.my/product/323554996/9700406547,https://s.shopee.com.my/5fo3TBRuVg
