Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
5939264775,Vention Micro USB Cable Fast Charging Data Sync Cable Nylon Braided Wire for Samsung Galaxy S7 Edge Android Smartphones Micro USB 2.0,7.19,5k+,Vention Flagship Store,9.5%,RM0.68,https://shopee.com.my/product/81286286/5939264775,https://s.shopee.com.my/AAGSpULj66
4143076797,Vention Cat6 Ethernet Cable RJ45 CAT6 Round & Flat Internet Network LAN Patch Cord 8/10/15m,5.99,8k+,Vention Flagship Store,10%,RM0.60,https://shopee.com.my/product/81286286/4143076797,https://s.shopee.com.my/9zx2dBMMR5
1533882769,Vention Cat7 Ethernet Cable 10Gbps Flat RJ45 Network LAN Cable  for PC Laptop TV Box,7.99,10k+,Vention Flagship Store,10%,RM0.80,https://shopee.com.my/product/81286286/1533882769,https://s.shopee.com.my/8V8EqQS4To
26985152982,Vention 165W Fast Car Charger Dual USB-C + USB-A 3-Port 100W Quick Charging PD/QC3.0 type C 48W Car Charging compatible for Phone 14/13/12/11 XiaoMi Realme Car  for All Vehicles,24.18,4k+,Vention Flagship Store,13%,RM3.14,https://shopee.com.my/product/81286286/26985152982,https://s.shopee.com.my/8Kooe7Shon
25586402368,Vention USB C HUB Type C 9 in 1 Portable Mini Work Station  USB 3.0 PD 100W  RJ45  4K 60HZ HDMI Docking Station USB hub for Laptop Computer Macbook,32.58,4k+,Vention Flagship Store,13%,RM4.24,https://shopee.com.my/product/81286286/25586402368,https://s.shopee.com.my/8AVORoTL9m
10411495122,"Vention 3.5mm to 2RCA Audio Cable, Male to Male Stereo AUX to RCA Adapter for Speaker, Power Amplifier, Home Theater System",11.00,2k+,Vention Flagship Store,10%,RM1.10,https://shopee.com.my/product/81286286/10411495122,https://s.shopee.com.my/80ByFVTyUl
3436436205,Vention Cat6a Ethernet Cable Doubled Shielded Lan Cable High Speed 10Gbps Network Patch Cord for Computer Router Laptop Internet Wire,5.31,1k+,Vention Flagship Store,10%,RM0.53,https://shopee.com.my/product/81286286/3436436205,https://s.shopee.com.my/9ANvdePX80
1577685279,Vention CAT6 Ethernet Cable UTP RJ45 Gigabit Network Lan Cable CAT 6 Ethernet Cable for Laptop PC TVBox,3.79,4k+,Vention Flagship Store,10%,RM0.38,https://shopee.com.my/product/81286286/1577685279,https://s.shopee.com.my/904VRLQASz
4178967451,"Vention USB-C to 3.5mm Hi-Fi Audio Cable, Braided Nylon Jacket AUX Headphone Adapter for Huawei Phones, Tablets and Type-C Devices",8.99,1k+,Vention Flagship Store,10%,RM0.90,https://shopee.com.my/product/81286286/4178967451,https://s.shopee.com.my/8pl5F2Qnny
7219879125,"Vention 3.5mm to 6.35mm Stereo Jack Audio Cable 3.5mm 1/8"" TRS to  6.35mm 1/4"" TS Mono Y-Cable Splitter Cord for Phone Speakers CD Players Home Stereo Systems",9.59,6k+,Vention Flagship Store,10%,RM0.96,https://shopee.com.my/product/81286286/7219879125,https://s.shopee.com.my/8fRf2jRR8x
51808727519,Vention Handheld Turbo Fan 4500mAh 100-Speed USB-C Rechargeable with LED Display Portable Mini Fan for Travel Office & Outdoor,55.99,417,Vention Flagship Store,19%,RM10.64,https://shopee.com.my/product/81286286/51808727519,https://s.shopee.com.my/7AcrFyX9Bg
