Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
1533996268,Vention Cat7 Ethernet Extension Cable RJ45 Cat7 Male to Female Rj45 Extender Adapter for PC Laptop Router Ethernet Cable,9.99,999,Vention Flagship Store,10%,RM1.00,https://shopee.com.my/product/81286286/1533996268,https://s.shopee.com.my/70JR3gsxot
28830681230,Vention 100W GaN Charger 4-Port USB-C PD 3.0 Fast Charging Travel Adapter for MacBook Air iPad iPhone 17 Pro Samsung,129.99,860,Vention Flagship Store,16%,RM20.80,https://shopee.com.my/product/81286286/28830681230,https://s.shopee.com.my/8pl5F3lz6G
27801922057,"Vention USB Wi-Fi Adapter Wireless network card, wireless signal enhancement 2.4GHz(200Mbps)WLAN WIFI Wireless LAN",31.70,300,Vention Flagship Store,10%,RM3.17,https://shopee.com.my/product/81286286/27801922057,https://s.shopee.com.my/8fRf2kmcRF
1440717722,Vention Ethernet Adapter USB 3.0 2.0 to Gigabit USB Network Card RJ45 10/100/1000Mbps For Computer Laptop USB to Network Lan Convertor,24.99,1k+,Vention Flagship Store,10%,RM2.50,https://shopee.com.my/product/81286286/1440717722,https://s.shopee.com.my/9ANvdfkiQM
26800838786,"Vention Optical Audio Cable, Square to 3.5mm S/PDIF Cable for Dolby DTS 5.1 Surround, Hi-Fi System & Soundbar",12.99,1k+,Vention Flagship Store,10%,RM1.30,https://shopee.com.my/product/81286286/26800838786,https://s.shopee.com.my/904VRMlLlL
7650835273,Vention HDMI Adapter 90 270 Degree Right Angle Male to Female Converter 4K HD Connector for HDTV PS4 Lptop TV Box HDMI Extender,6.23,273,Vention Flagship Store,10%,RM0.62,https://shopee.com.my/product/81286286/7650835273,https://s.shopee.com.my/8AVORpoWSC
4632080210,Vention 6.35mm TRS to XLR Cable 6.5mm Male to XLR Female Audio Cable for Stereo Microphone,14.99,463,Vention Flagship Store,10%,RM1.50,https://shopee.com.my/product/81286286/4632080210,https://s.shopee.com.my/80ByFWp9nB
6835662625,Vention USB 3.0 Hub 4 Ports Ultra Slim Portable Data Hub with Power Supply for MacBook Air/Mac Mini/Pro Surface Pro/Notebook PC/Laptop/USB Flash Drives,16.99,3k+,Vention Flagship Store,10%,RM1.70,https://shopee.com.my/product/81286286/6835662625,https://s.shopee.com.my/8V8EqRnFmI
7973107135,Vention Cable Organizer Silicone Cable Clips Management Cable Winder Desktop Tidy Manager for Data Headphone Earphone Mouse,6.59,643,Vention Flagship Store,9.5%,RM0.63,https://shopee.com.my/product/81286286/7973107135,https://s.shopee.com.my/8Kooe8nt7H
7314746219,Vention HDMI to VGA Adapter with Audio Gold-Plated 1080P HDMI to VGA Converter for PC TV Xbox Laptop Projector,21.99,1k+,Vention Flagship Store,10%,RM2.20,https://shopee.com.my/product/81286286/7314746219,https://s.shopee.com.my/AAGSpVguOe
27807968721,Vention PD 60W USB C Cable 3A C TO C Charging Cable 90 Degree Angle Data Cable USB 2.0 Fast Charging For iphone16 pro max 15 Series,10.99,356,Vention Flagship Store,9.5%,RM1.04,https://shopee.com.my/product/81286286/27807968721,https://s.shopee.com.my/9zx2dChXjd
19270127873,Vention USB 4.0 Type C Cable 40Gbps 5A supprort Video transmission 8K@60Hz 240w USB C for Laptop PC Monitor Phone,38.99,330,Vention Flagship Store,9.5%,RM3.70,https://shopee.com.my/product/81286286/19270127873,https://s.shopee.com.my/AUtJE7fdik
17959557681,Vention 3.5mm Male to Female Audio Cable TRRS Audio Extension Cable Hifi Clear Audio Support Microphone In-line Control,7.99,831,Vention Flagship Store,10%,RM0.80,https://shopee.com.my/product/81286286/17959557681,https://s.shopee.com.my/AKZt1ogH3j
48356051342,【CCC Certification】Vention 35w Super mini PowerBank 10000mAh CCC PowerBank Built In Cable PD 3C Super Fast Charging Digital Display For Phone,73.99,110,Vention Flagship Store,11%,RM8.14,https://shopee.com.my/product/81286286/48356051342,https://s.shopee.com.my/9V0m2HjRka
40354787619,"Vention USB-C to 3.5mm DAC Audio Adapter, Digital Analog Converter with Hi-Fi Chip for MacBook Air/Pro, Samsung Galaxy, Google Pixel, PC and Laptop",11.99,264,Vention Flagship Store,9%,RM1.08,https://shopee.com.my/product/81286286/40354787619,https://s.shopee.com.my/9KhLpyk55Z
13224712132,Vention 6.5mm Audio Cable Premium Audio TRS 6.5mm Male to Dual 6.5mm Male Aux Cable,13.99,532,Vention Flagship Store,10%,RM1.40,https://shopee.com.my/product/81286286/13224712132,https://s.shopee.com.my/9pdcQtiB4g
29001909324,Vention HDMI to VGA 1080P Adapter with Audio for HDTV PS3 PS4 Xbox Projector TV,20.37,382,Vention Flagship Store,10%,RM2.04,https://shopee.com.my/product/81286286/29001909324,https://s.shopee.com.my/9fKCEaioPf
4514341976,Vention Type C to HDMI Adapter USB C to HDMI Adapter Support 4K@60Hz Compatible for MacBook Samsung NoteBook,23.09,1k+,Vention Flagship Store,10%,RM2.31,https://shopee.com.my/product/81286286/4514341976,https://s.shopee.com.my/qiniMGRKy
4365019328,Vention RCA Cable 2RCA to 2RCA Stereo Gold-Plated Audio Cable for Home Theater DVD TV Amplifier CD Soundbox,10.99,1k+,Vention Flagship Store,10%,RM1.10,https://shopee.com.my/product/81286286/4365019328,https://s.shopee.com.my/gPNW3H4fx
13562532607,"Vention 3.5mm to 6.35mm Audio Cable, Aux Stereo Cable for Hi-Fi Audio Quality Connection Between Phone, PC, DVD Player and Amplifier, Speaker",9.99,1k+,Vention Flagship Store,10%,RM1.00,https://shopee.com.my/product/81286286/13562532607,https://s.shopee.com.my/1BLe6yFAf4
5264371094,Vention USB 3.0 Cable Square Connector USB A to USB B Male to Male 2A High Speed 5Gbps for Monitor Disk Enclosure Camera,11.99,452,Vention Flagship Store,10%,RM1.20,https://shopee.com.my/product/81286286/5264371094,https://s.shopee.com.my/112DufFo03
7942066386,Vention Type C to DP Adapter Portable USB C to DisplayPort Converter Support 4K@60Hz Compatible with 2017 Pad Pro 2018 Surface Book 2 Samsung Galaxy S9 S10 More,25.99,670,Vention Flagship Store,10%,RM2.60,https://shopee.com.my/product/81286286/7942066386,https://s.shopee.com.my/BT6v8Iygu
