Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27950827975,Vention Audio Cable 3.5mm Aux TRS Male to Male for Smartphone Tablet Media Player MP3 Car Amplifier Headphone Speaker,36.99,45,Vention Flagship Store,10%,RM3.70,https://shopee.com.my/product/81286286/27950827975,https://s.shopee.com.my/7fZ7qxXgSn
18322099214,Vention USB Bluetooth 5.4 Wireless Adapter 20M Bluetooth Transmitter For Speaker Bluetooth Earphone Gamepad,24.99,73,Vention Flagship Store,10%,RM2.50,https://shopee.com.my/product/81286286/18322099214,https://s.shopee.com.my/7VFheeYJnm
42279505290,Vention 2 in 1 USB Type C Cable Dual 140W USB C Cable For iPhone 17 16 15 MacBook Pro Air Xiaomi Samsung iPad,53.99,7,Vention Flagship Store,13%,RM7.02,https://shopee.com.my/product/81286286/42279505290,https://s.shopee.com.my/7KwHSLYx8l
11058894117,Vention DP to HDMI Cable 4K 60Hz Display Port Cable for TV Projector Monitor PC Laptop,33.99,157,Vention Flagship Store,10%,RM3.40,https://shopee.com.my/product/81286286/11058894117,https://s.shopee.com.my/7AcrG2ZaTk
28901911043,Vention DVI to HDMI Adapter Bi-directional DVI-D(24+1) Male to HDMI Female Converter 1080P for Laptop Raspberry Pi,7.69,2k+,Vention Flagship Store,10%,RM0.77,https://shopee.com.my/product/81286286/28901911043,https://s.shopee.com.my/70JR3jaDoj
45461366084,Vention 100W Type-C Cable 5A Fast Charging E-Marker Chip Flexible Cable for Laptops/Phones/Tablets,14.39,4,Vention Flagship Store,9.5%,RM1.37,https://shopee.com.my/product/81286286/45461366084,https://s.shopee.com.my/6q00rQar9i
3751598882,Vention DVI to VGA 24+5 Adapter DVI-I Male to VGA Female Converter 1080P for Computer Monitor TV Projector Cable VGA to DVI,7.99,366,Vention Flagship Store,10%,RM0.80,https://shopee.com.my/product/81286286/3751598882,https://s.shopee.com.my/6fgaf7bUUh
40921213932,Vention USB A To USB Type C Cable 3A Qualcomm 3.0 QC Quick Fast Charging 480Mbps Nylon Braid Car Play iPhone 17 16 15 Pro,2.93,934,Vention Flagship Store,11%,RM0.32,https://shopee.com.my/product/81286286/40921213932,https://s.shopee.com.my/9ANvdiRyQC
29100839876,Vention Card Reader USB 2.0 Type C 512G Zinc Alloy TF Single Card Reading With Keychain Easy Read For Micro TF Laptop Phone OTG,12.99,47,Vention Flagship Store,10%,RM1.30,https://shopee.com.my/product/81286286/29100839876,https://s.shopee.com.my/904VRPSblB
46559387509,Vention USB-C to Lightning OTG Adapter for iPhone 17 16 15 14 iPad USB Flash Drive Keyboard Mouse,29.69,38,Vention Flagship Store,9.5%,RM2.82,https://shopee.com.my/product/81286286/46559387509,https://s.shopee.com.my/8pl5F6TF6A
12930969177,Vention USB-C Laptop Printing Cable 480Mbps Tough Faster Clearer,9.89,42,Vention Flagship Store,10%,RM0.99,https://shopee.com.my/product/81286286/12930969177,https://s.shopee.com.my/8fRf2nTsR9
53557544999,Vention HDMI Dummy Plug 4K 60Hz Custom Resolution Emulator Driver-Free Plug & Play with LED Indicator For PC Laptop Mac Support Windows 11 macOS Linux,29.69,15,Vention Flagship Store,5%,RM1.48,https://shopee.com.my/product/81286286/53557544999,https://s.shopee.com.my/8V8EqUUVm8
1998506998,Vention Type-C to USB 3.0 Adapter Micro USB 2 in 1 OTG Cable Adapter For Keyboard Mouse Printer USB HUB,13.19,546,Vention Flagship Store,10%,RM1.32,https://shopee.com.my/product/81286286/1998506998,https://s.shopee.com.my/8KooeBV977
29001241911,Vention DisplayPort to HDMI Cable DP to HDMI Male 4K 30Hz Full HD for Computer PC HDTV Monitor Projector,35.99,3,Vention Flagship Store,10%,RM3.60,https://shopee.com.my/product/81286286/29001241911,https://s.shopee.com.my/8AVORsVmS6
16258295813,"Vention Phone Holder Auto-clamping Car Phone Holder Designed for Car air vents Applicable to 4.7""-7.2"" Phone",12.99,305,Vention Flagship Store,10%,RM1.30,https://shopee.com.my/product/81286286/16258295813,https://s.shopee.com.my/80ByFZWPn5
