Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
20866056830,Vention Mini DP to DP 1.4 Cable 240Hz 8K 60Hz High Speed Mini Displayport  to DP HD Cable for Laptop PC TV Gaming Monitor Cable,38.49,70,Vention Flagship Store,10%,RM3.85,https://shopee.com.my/product/81286286/20866056830,https://s.shopee.com.my/1qbKuG6TpX
13359988724,"Vention USB External Sound Card with Dual 3.5mm Ports, 48kHz/16bit Audio Adapter for Headphone and Microphone on PC, Laptop and Desktop Computer",18.69,81,Vention Flagship Store,10%,RM1.87,https://shopee.com.my/product/81286286/13359988724,https://s.shopee.com.my/8pl5F7fpcu
10904603844,Vention Type C Cable 2 in 1 Charging Cable Micro B / USB C Fast Charge 3A High Speed 480Mbps Multi-Function Data Sync Cable for Cellphone,25.29,46,Vention Flagship Store,9.5%,RM2.40,https://shopee.com.my/product/81286286/10904603844,https://s.shopee.com.my/8fRf2ogSxt
3387320354,Vention USB C HUB 9 in 1 Type C to HDMI/USB-C Gen 1/USB 3.0/RJ45/SD/TF/TRRS 3.5mm/PD Docking Station for Laptop PC,158.39,1,Vention Flagship Store,10%,RM15.84,https://shopee.com.my/product/81286286/3387320354,https://s.shopee.com.my/9ANvdjeYx0
1577810984,Vention C HUB 9 IN 1 Converter USB-C Adapter USB 3.1 Gen 1 HDMI VGA Adapter Dock For MacBook Pro Accessories USB-C Splitter,105.59,1k+,Vention Flagship Store,10%,RM10.56,https://shopee.com.my/product/81286286/1577810984,https://s.shopee.com.my/904VRQfCHz
29483454529,Vention ECHO CLIPA1 Open Ear Bluetooth 5.4 Headphones 40H Playtime Lightweight ABS IPX4,78.99,9,Vention Flagship Store,9%,RM7.11,https://shopee.com.my/product/81286286/29483454529,https://s.shopee.com.my/8AVORtiMyq
44555173577,[CCC Certification] Vention 10000mAh Power Bank Built in USB C Cable Portable Battery Charger For iPhone 17 16 15 14 Pro Max Xiaomi Samsung,58.99,28,Vention Flagship Store,5%,RM2.95,https://shopee.com.my/product/81286286/44555173577,https://s.shopee.com.my/80ByFaj0Jp
44017209365,Vention 100Mbps 1000Mbps 5 Port Gigabit Ethernet Switch for Computer TV Set-Top Box Surveillance Cameras Game Console NAS Power Adapter Expand Network,76.99,10,Vention Flagship Store,5%,RM3.85,https://shopee.com.my/product/81286286/44017209365,https://s.shopee.com.my/8V8EqVh6Iw
41917612201,Vention Cat.7 SFTP Starlink Ethernet Cable 10Gbps 600MHz Fast RJ45 Network Cable Thick Cores Ethernet Patch for Laptop Router Switch Network Terminal CAT 7 Lan Cable,71.99,19,Vention Flagship Store,5%,RM3.60,https://shopee.com.my/product/81286286/41917612201,https://s.shopee.com.my/8KooeChjdv
54615583949,Vention USB C to HDMI 2.1 Cable 8K 60Hz 4K 240Hz Dolby Vision HDCP 2.3 eARC for iPhone 17 Macbook iPad Tablet,26.99,0,Vention Flagship Store,4.5%,RM1.21,https://shopee.com.my/product/81286286/54615583949,https://s.shopee.com.my/AAGSpZakvI
