Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27158389370,Essager 6 In 1 & 7 In 1 Splitter Adapter Hub + Expand SSD  High-speed Transfer Multi Expander Converter OTG For Laptop PC Phone,145.73,31,Essager Official  Store,3%,RM4.37,https://shopee.com.my/product/76629004/27158389370,https://s.shopee.com.my/3qMPI2AbVT
44027946408,Essager USB-A to Type-C 7A Fully Compatible Data Cable Support High-power Fast Charging For Huawei Realme,22.00,6,Essager Official  Store,3%,RM0.66,https://shopee.com.my/product/76629004/44027946408,https://s.shopee.com.my/2gARttF2sG
41775440629,Essager CAT8 40Gbps 2000MHz Ethernet Cable Internet Lan Cord for Laptops Routers,15.18,1,Essager Official  Store,3%,RM0.46,https://shopee.com.my/product/76629004/41775440629,https://s.shopee.com.my/2qTs6CEPXJ
42951918829,Essager PD100W SSD Solid-state Drive With Magnetic Adsorption USB3.2 High-speed Transfer,226.49,4,Essager Official  Store,3%,RM6.79,https://shopee.com.my/product/76629004/42951918829,https://s.shopee.com.my/30nIIVDmCM
26888891181,Essager 45W PD USB-A Fast Charger Support Super Charging QC3.0 Wall Charger For Android Samsung Xiaomi,50.60,22,Essager Official  Store,3%,RM1.52,https://shopee.com.my/product/76629004/26888891181,https://s.shopee.com.my/3B6iUoD8rP
54756568178,Essager 7A USB-A to Type-C Fast Charging Cable Multi-color Dynamic Breathing RGB Light Built-in AI Chip Automatically Matches Power,31.68,16,Essager Official  Store,3%,RM0.95,https://shopee.com.my/product/76629004/54756568178,https://s.shopee.com.my/4fvWHZ7Qoi
42975472362,Essager 15M Ethernet Cable CAT8 40Gbps 2000MHz Internet Lan Cord for Laptops Router,83.49,1,Essager Official  Store,3%,RM2.50,https://shopee.com.my/product/76629004/42975472362,https://s.shopee.com.my/4qEwTs6nTl
54859727239,Essager Magnetic Digital Display Mobile Phone Cooler with TEC Cooling and Three-Level Adjustment,66.00,0,Essager Official  Store,3%,RM1.98,https://shopee.com.my/product/76629004/54859727239,https://s.shopee.com.my/50YMgB6A8o
28862501711,Essager Type C 60W Type-C Cable to Type C Fast Charge Data Cable For huawei Infinix ip16 15,11.39,61,Essager Official  Store,3%,RM0.34,https://shopee.com.my/product/76629004/28862501711,https://s.shopee.com.my/5ArmsU5Wnr
29239483145,Essager 7A USB A - C  Fast Charging Cable Durable Stainless Steel  Metal Cord For Android & iPh,22.66,0,Essager Official  Store,3%,RM0.68,https://shopee.com.my/product/76629004/29239483145,https://s.shopee.com.my/40fpUL9yAe
56250729923,Essager 15W Max Mganetic Wireless Fast Charging RGB Dynamic Light For ip 12-17 Android,65.78,3,Essager Official  Store,3%,RM1.97,https://shopee.com.my/product/76629004/56250729923,https://s.shopee.com.my/4AzFge9Kph
55613023786,Essager IPX8 Waterproof Phone Case with Waterproof Airbag Design for Free Touchscreen Underwater,18.70,0,Essager Official  Store,3%,RM0.56,https://shopee.com.my/product/76629004/55613023786,https://s.shopee.com.my/4LIfsx8hUk
44250600848,Essager Selfie / Live Streaming Mirror Phone Screen Display - Wireless HD Screen Sharing for Ip /Android,264.44,5,Essager Official  Store,3%,RM7.93,https://shopee.com.my/product/76629004/44250600848,https://s.shopee.com.my/4Vc65G849n
43400577403,Essager PD 29W USB-C to L Fast Charging Data Cable one-wire dual-color Braided Cable,10.12,76,Essager Official  Store,3%,RM0.30,https://shopee.com.my/product/76629004/43400577403,https://s.shopee.com.my/gPNWDMew4
41554114632,Essager Suction Cup Car Mounted Magnetic Suction Bracket Multiple usage scenarios Holder,34.21,15,Essager Official  Store,3%,RM1.03,https://shopee.com.my/product/76629004/41554114632,https://s.shopee.com.my/qiniWM1b7
40581785880,Essager 135WMAX Rear Retractable Car Charger with Six Output Ports Supports 12V-24V,138.60,0,Essager Official  Store,3%,RM4.16,https://shopee.com.my/product/76629004/40581785880,https://s.shopee.com.my/112DupLOGA
40065169823,Essager USB Microphone RGB Gaming Mic Condenser Mic Noise Canceling Microphone For computer mobile phone,136.62,1,Essager Official  Store,3%,RM4.10,https://shopee.com.my/product/76629004/40065169823,https://s.shopee.com.my/1BLe78KkvD
24632974295,Essager 4-in-1 Hub Splitter Adapter 10Gbps High-Speed Transmission For PC Laptop Phone,70.59,2,Essager Official  Store,3%,RM2.12,https://shopee.com.my/product/76629004/24632974295,https://s.shopee.com.my/19gizPCI0
