Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
28962795835,ORICO 15.5W Travel Power Strip with Type C Port Flat Plug Portable Extension 1.2M Cord Cruise Essential（AP3-UK）,54.00,3k+,Orico Official Mall.MY,5%,RM2.70,https://shopee.com.my/product/113963244/28962795835,https://s.shopee.com.my/19iYh11XS
10759818835,ORICO Aluminum Alloy Laptop Holder Stand 7 Angles Adjustable Foldable Portable Notebook Computer Bracket Lifting Cooling Holder,12.68,3k+,Orico Official Mall.MY,10%,RM1.27,https://shopee.com.my/product/113963244/10759818835,https://s.shopee.com.my/BT8l00OCV
48203121461,"Orico 360° Rotating Carbon Steel Phone Stand Holder / Sturdy, Adjustable, Foldable Cellphone Holder(PS2)",18.59,171,Orico Official Mall.MY,10%,RM1.86,https://shopee.com.my/product/113963244/48203121461,https://s.shopee.com.my/2LXdKys8nw
53660259314,ORICO USB 2.0 Flash Drive High-Speed 16GB 32GB 64GB 128GB Waterproof And Shockproof Plug and Play(U202),28.90,339,Orico Official Mall.MY,10%,RM2.89,https://shopee.com.my/product/113963244/53660259314,https://s.shopee.com.my/2Vr3XHrVSz
53202507731,ORICO 65W Travel Power Strip Gallium Nitride Technology Fast Charging with 1.6m Extension Cord Power Socket（AP3-UK-65W）,125.00,320,Orico Official Mall.MY,5%,RM6.25,https://shopee.com.my/product/113963244/53202507731,https://s.shopee.com.my/20umwMtPTu
40081937532,ORICO Type-C Rechargeable Battery 1.5V AA/AAA Li-ion Battery（EG5C）,24.20,74,Orico Official Mall.MY,9%,RM2.18,https://shopee.com.my/product/113963244/40081937532,https://s.shopee.com.my/2BED8fsm8x
54560272351,ORICO Flash Drive USB 3.2 Dual Interface Type-C Pendrive High-Speed Plug & Play for Fast Data Transfer(U301),31.90,80,Orico Official Mall.MY,10%,RM3.19,https://shopee.com.my/product/113963244/54560272351,https://s.shopee.com.my/1gHwXkug9s
48553001254,ORICO Travel Power Strip 15.5W with 1.2M Cord Extension Socket USB Charging（AP3-UK）[2],70.00,193,Orico Official Mall.MY,5%,RM3.50,https://shopee.com.my/product/113963244/48553001254,https://s.shopee.com.my/1qbMk3u2ov
29990440408,ORICO Type C To IOS Audio Adapter Support Computer Data Transfer 5V Charging 480Mbps OTG (LC10),25.99,321,Orico Official Mall.MY,10%,RM2.60,https://shopee.com.my/product/113963244/29990440408,https://s.shopee.com.my/1Lf698vwpq
19596458301,ORICO M.2 NVMe SATA SSD Enclosure USB External Adapter Support UASP for PCIe NVMe SATA SSD(AXM2),39.90,285,Orico Official Mall.MY,13%,RM5.19,https://shopee.com.my/product/113963244/19596458301,https://s.shopee.com.my/1VyWLRvJUt
21278388554,ORICO USB 3.0 HUBs 7-Port High Speed Multi HUB Splitter Expansion Computer Charging Devices(PW7U),48.00,277,Orico Official Mall.MY,11%,RM5.28,https://shopee.com.my/product/113963244/21278388554,https://s.shopee.com.my/3g30vQn46K
41514994280,ORICO 2 In 1 USB Flash Drive 32G 64GB High speed Metal Type-C U Stick for SmartPhone MacBook (EB05),49.90,117,Orico Official Mall.MY,10%,RM4.99,https://shopee.com.my/product/113963244/41514994280,https://s.shopee.com.my/3qMR7jmQlN
22368386383,ORICO M.2 NVMe SSD Enclosure 10Gbps USB 3.2 Gen2 M2 SSD Enclosure Case Box Simple Design for NVMe SATA Tool-free Support UASP(PDDM2C3),59.90,2k+,Orico Official Mall.MY,13%,RM7.79,https://shopee.com.my/product/113963244/22368386383,https://s.shopee.com.my/3LQAWooKmI
6145459040,【Ready Stock】ORICO M.2 SSD Enclosure USB-C Gen2 10Gbps PCIe SSD Case M2 SATA NVME NGFF 5Gbps SSD Enclosure（M2PV-C3）,42.90,3k+,Orico Official Mall.MY,13%,RM5.58,https://shopee.com.my/product/113963244/6145459040,https://s.shopee.com.my/3Vjaj7nhRL
26418625894,"ORICO high speed Micro SD Memory Card mini A1 TF card 70MB/s  16G 32G 64G 128G Class10 U3 for dashcam,phone (ORICO-T3)",40.59,251,Orico Official Mall.MY,13%,RM5.28,https://shopee.com.my/product/113963244/26418625894,https://s.shopee.com.my/30nK8CpbSG
