Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
8871451693,ORICO PUG-C6 High Quality CAT6 Round Gigabit Ethernet LAN RJ45 Cable (1M/2M/3M/5M/8M/10M/15M/20M/30M/40M),6.72,2k+,Orico Malaysia Official Store,3%,RM0.20,https://shopee.com.my/product/84167009/8871451693,https://s.shopee.com.my/20umwQwkBG
26494201502,ORICO LC10 Lightning to USB C Adapter (iPhone7-14),35.00,114,Orico Malaysia Official Store,3%,RM1.05,https://shopee.com.my/product/84167009/26494201502,https://s.shopee.com.my/2BED8jw6qJ
29911101756,"Orico DD35-C3 Aluminium Type C 3.5"" Hard Disk Enclosure up to 20TB (Casing only, NO Hard Disk)",99.00,124,Orico Malaysia Official Store,3%,RM2.97,https://shopee.com.my/product/84167009/29911101756,https://s.shopee.com.my/1gHwXoy0rE
10825068078,ORICO HSQ-M1 Series Wooden Top Monitor Stand,55.00,2k+,Orico Malaysia Official Store,3%,RM1.65,https://shopee.com.my/product/84167009/10825068078,https://s.shopee.com.my/1qbMk7xNWH
1485206999,ORICO CBSX Desktop Multipurpose Silicone Cable Management,2.00,3k+,Orico Malaysia Official Store,3%,RM0.06,https://shopee.com.my/product/84167009/1485206999,https://s.shopee.com.my/1Lf69CzHXC
4843013883,ORICO High Quality CAT6 Flat RJ45 Gigabit Ethernet LAN Cable (1M/2M/3M/5M/8M/10M/15M/20M/30M),6.00,5k+,Orico Malaysia Official Store,3%,RM0.18,https://shopee.com.my/product/84167009/4843013883,https://s.shopee.com.my/1VyWLVyeCF
7443344996,ORICO CMG-16 Power Strip Surge Protector Cable Management Storage Box,45.00,323,Orico Malaysia Official Store,3%,RM1.35,https://shopee.com.my/product/84167009/7443344996,https://s.shopee.com.my/112Fkb0YDA
25459860381,ORICO Mini-U32 3 port USB Hub (1x USB 3.0 & 2 x USB 2.0),19.00,100,Orico Malaysia Official Store,3%,RM0.57,https://shopee.com.my/product/84167009/25459860381,https://s.shopee.com.my/1BLfwtzusD
42422604259,ORICO EG5C Li-Ion Rechargeable AA Battery Pack 1.5V 2100mWh,10.00,61,Orico Malaysia Official Store,3%,RM0.30,https://shopee.com.my/product/84167009/42422604259,https://s.shopee.com.my/gPPLz1ot8
1485161869,ORICO Dual Bay USB3.0 HDD Docking Station with Off Line Clone 6228US3-C,129.00,652,Orico Malaysia Official Store,3%,RM3.87,https://shopee.com.my/product/84167009/1485161869,https://s.shopee.com.my/qipYI1BYB
13991624395,ORICO M2PH01 NVME Storage Bag,9.00,113,Orico Malaysia Official Store,3%,RM0.27,https://shopee.com.my/product/84167009/13991624395,https://s.shopee.com.my/LmYxN35Z6
15806379387,ORICO PFB-A23/PFB-A24 Foldable Adjustable Height Laptop Stand,17.00,910,Orico Malaysia Official Store,3%,RM0.51,https://shopee.com.my/product/84167009/15806379387,https://s.shopee.com.my/W5z9g2SE9
