Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
43004498716,Lenovo ERAZER XF55 AI translation earbuds Bluetooth 6.0 Ear clip earphones Intelligent real-time translation Wireless Bluetooth earphones With LED display HiFi stereo Wireless earbuds bone conduction earphones With microphone,36.99,4k+,Erazer Audio Official Store,13%,RM4.81,https://shopee.com.my/product/1457372399/43004498716,https://s.shopee.com.my/4Vc7vC5BZY
43264808912,Lenovo ERAZER XF58  AI Translation Earphones Sleeping Earbuds Bluetooth 6.0 Al Smart Real-Time Translation Wireless Earphones LED Display Sport Headset HiFi Stereo Wireless Earbuds,27.99,581,Erazer Audio Official Store,16%,RM4.48,https://shopee.com.my/product/1457372399/43264808912,https://s.shopee.com.my/4LIhit5ouX
26125895956,Lenovo ERAZER XF22 Wireless Earbuds Bone Conduction Bluetooth 5.4 microphone Sports Earbuds Touch Control HIFI Stereo Waterproof Earbuds,46.00,282,Erazer Audio Official Store,13%,RM5.98,https://shopee.com.my/product/1457372399/26125895956,https://s.shopee.com.my/4AzHWa6SFW
40328173962,HTC NE51 AI translation earbuds Bluetooth 6.0 wireless earbuds 134 languages ​​translation Wireless bluetooth earphone HiFi HD Calling Noise Cancelling Fast Pairing Bluetooth Headset With Microph,29.99,94,Erazer Audio Official Store,13%,RM3.90,https://shopee.com.my/product/1457372399/40328173962,https://s.shopee.com.my/40frKH75aV
50705771145,HTC NE57 AI Translation Earphones Bluetooth 6.0 Earphones Supports 134 Languages Wireless Earbuds High-Quality Sound Stylish Design 400mAh Battery,28.00,152,Erazer Audio Official Store,13%,RM3.64,https://shopee.com.my/product/1457372399/50705771145,https://s.shopee.com.my/5AroiQ2eDk
43601018753,Lenovo Erazer XT80 Pro Bluetooth headset AI translation headset Bluetooth 5.4 Wireless headset HD call Waterproof Sports HiFi Deep noise reduction Microphone,54.99,158,Erazer Audio Official Store,13%,RM7.15,https://shopee.com.my/product/1457372399/43601018753,https://s.shopee.com.my/50YOW73HYj
27575889194,Lenovo ERAZER XP6 OWS Al Smart Real-Time Translation Wireless Earphones Bluetooth 5.4 Al Translation Earphones With LED Touch Screen Business Earbuds with Mic Waterproof IPX5,81.99,1k+,Erazer Audio Official Store,16%,RM13.12,https://shopee.com.my/product/1457372399/27575889194,https://s.shopee.com.my/4qEyJo3uti
55955074935,HTC NE79 AI Translation Earbuds Bluetooth 6.0 Earbuds Translate 134 languages Real-time Translation Noise Cancellation HiFi High-Definition Sound Quality Call Noise Reduction With Microphone,28.99,35,Erazer Audio Official Store,13%,RM3.77,https://shopee.com.my/product/1457372399/55955074935,https://s.shopee.com.my/4fvY7V4YEh
53104949794,HTC NE76 AI Translation Earbuds Bluetooth 6.0 Earbuds Translate 134 languages Sleep Headphones Real-time Translation Noise Cancellation HiFi High-Definition Sound Quality Call Noise Reduction With Microphone,43.99,91,Erazer Audio Official Store,13%,RM5.72,https://shopee.com.my/product/1457372399/53104949794,https://s.shopee.com.my/3B6kKkAGHQ
43001763934,Lenovo Erazer XF56 AI Translation earphones Bluetooth 6.0 Wireless Bluetooth earphones Sports earphones AI translation LED IPX5 Waterproof HIFI sound quality,24.19,22,Erazer Audio Official Store,13%,RM3.14,https://shopee.com.my/product/1457372399/43001763934,https://s.shopee.com.my/30nK8RAtcP
43110046662,Lenovo ERAZER XP18 AI Translation Earphones AI Voice Translation Earphones Wireless Bluetooth 6.0 LED Display 3000mAh Large Battery Power Bank Earphones Hi-Fi Sound Quality Waterproof Portable Design ASMR,49.98,104,Erazer Audio Official Store,16%,RM8.00,https://shopee.com.my/product/1457372399/43110046662,https://s.shopee.com.my/2qTtw8BWxO
29833666735,Lenovo ERAZER Headphones Bag Zipper Mesh Cover Headphones Bag for Bluetooth Headphones/USB Cable/Charger/Pack,6.04,5k+,Erazer Audio Official Store,13%,RM0.79,https://shopee.com.my/product/1457372399/29833666735,https://s.shopee.com.my/2gATjpCAIN
44001070875,Lenovo ERAZER XF38 AI Translation Headset Wireless Headset Bluetooth 5.4 AI Real-time Translation IPX7 Waterproof Open-ear LED Smart Touch Screen Gaming Headset,83.59,201,Erazer Audio Official Store,13%,RM10.87,https://shopee.com.my/product/1457372399/44001070875,https://s.shopee.com.my/3qMR7y7ivc
29425823225,Lenovo ERAZER XF30 OWS Wireless Earphone Bluetooth 5.4 TWS 3D Stereo Headset With Mic Hifi Music IPX6 Waterproof Sports Earbuds,23.09,11,Erazer Audio Official Store,13%,RM3.00,https://shopee.com.my/product/1457372399/29425823225,https://s.shopee.com.my/3g30vf8MGb
43051759113,Lenovo ERAZER XF56 Smart AI Translation Headphones Bluetooth 6.0 Real-time Translation 134 Languages ​​LED Touch Screen HIFI Sound Low Latency,24.19,24,Erazer Audio Official Store,13%,RM3.14,https://shopee.com.my/product/1457372399/43051759113,https://s.shopee.com.my/3VjajM8zba
25041383931,Lenovo ERAZER XT95MAX Bluetooth headset sports headset waterproof and sweatproof HD call noise reduction long battery life light and portable low latency comfortable to wear,29.69,16,Erazer Audio Official Store,13%,RM3.86,https://shopee.com.my/product/1457372399/25041383931,https://s.shopee.com.my/3LQAX39cwZ
29283670096,"Lenovo Silicone neck strap Anti-lost cord for earphones Prevent loss, lightweight, tear-resistant Suitable for connecting Bluetooth earphones Size 55 cm",7.25,50,Erazer Audio Official Store,13%,RM0.94,https://shopee.com.my/product/1457372399/29283670096,https://s.shopee.com.my/1qbMkIFKzI
55356843453,HTC NE71 AI Translation Headset Bluetooth 6.0 Headset Translate 134 languages AI  Live Translation Smart LED Display HiFi Sound Quality Noise Cancellation Technology,88.99,6,Erazer Audio Official Store,13%,RM11.57,https://shopee.com.my/product/1457372399/55356843453,https://s.shopee.com.my/1gHwXzFyKH
52855775217,HTC NE60 AI Translator wireless earbuds Bluetooth 6.0 earbuds Translates 134 languages In-ear headphones Noise cancellation Business earbuds With microphone IPX5 waterproof,38.98,8,Erazer Audio Official Store,13%,RM5.07,https://shopee.com.my/product/1457372399/52855775217,https://s.shopee.com.my/1VyWLgGbfG
48156908622,HTC NE48 AI Translator Earphones Bluetooth 6.0 Wireless Earphones Translates 134 languages Touchscreen In-ear headphones Noise cancellation Business earbuds Gaming Photography With microphon,86.99,3,Erazer Audio Official Store,13%,RM11.31,https://shopee.com.my/product/1457372399/48156908622,https://s.shopee.com.my/1Lf69NHF0F
24495903375,Lenovo ERAZER XF50 Al Smart Real-Time Translation Noise-Cancelling Bluetooth 6.0 Bluetooth Earphone Wireless Earphones  HiFi Stereo Wireless Earbuds Bone Conduction Headset,45.10,6,Erazer Audio Official Store,16%,RM7.22,https://shopee.com.my/product/1457372399/24495903375,https://s.shopee.com.my/2Vr3XWCndU
57756679417,ZNP Z01 Bluetooth  AI Smart Conversation Device  Supports 60 Languages  Offline Thai Translation  Instant Translation  Thai Menu  Practical Life Assistant,202.00,1,Erazer Audio Official Store,13%,RM26.26,https://shopee.com.my/product/1457372399/57756679417,https://s.shopee.com.my/2LXdLDDQyT
55254648005,HTC NE20 AI Translator Earbuds Bluetooth 6.0 Wireless Earbuds Automatic Language Translation Wireless Headphones with LED Touchscreen Business Earbuds HiFi Stereo Sound Wireless Earphones.,59.99,30,Erazer Audio Official Store,13%,RM7.80,https://shopee.com.my/product/1457372399/55254648005,https://s.shopee.com.my/2BED8uE4JS
44905020719,HTC NE68 AI Translation Earphones Bluetooth 6.0 Translates 134 languages AI Earbuds Real-time Translation Smart LED Screen HiFi Sound Quality Noise Cancellation Technology,69.29,12,Erazer Audio Official Store,13%,RM9.01,https://shopee.com.my/product/1457372399/44905020719,https://s.shopee.com.my/20umwbEheR
42651072577,Lenovo ERAZER XF36 AI translation headphones clip-on AI headphones Bluetooth 6.0 headphones AI real-time translation translate 134 languages IPX5 sports hifi sound quality comfortable to wear,46.99,88,Erazer Audio Official Store,13%,RM6.11,https://shopee.com.my/product/1457372399/42651072577,https://s.shopee.com.my/W5z9qKPhA
