Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
40132082201,SanDisk Ultra Class 10 UHS-I microSD Memory Card - (16GB/32GB/64GB/128GB/256GB/512GB)(Max R: 100MB/s)(SDSQUNR),49.00,1k+,BaNANA OfficiaI Shop MY,13%,RM6.37,https://shopee.com.my/product/1866006101/40132082201,https://s.shopee.com.my/8AVQIP5hl6
49064232497,SanDisk CZ50 Cruzer Blade USB 2.0 Flash Drive 8GB 16GB 32GB 64GB 128GB 256GB Pendrive For MP3 Car Laptop,25.90,734,3c Mei,13%,RM3.37,https://shopee.com.my/product/1572373438/49064232497,https://s.shopee.com.my/80C0666L65
54464887327,SanDisk Ultra SD Card 128GB memory card sd card PRO C10 140MB/s 128GB 256GB 512GB 1TB SD card,39.20,562,WTDEEL,18%,RM7.06,https://shopee.com.my/product/1519743896/54464887327,https://s.shopee.com.my/8V8Gh14R5C
48014117747,Sandisk Micro SD TF Flash Card 32GB 512GB Ultra A2 Class10 UHS-1 Memory Card For Tablet Mobile Phone,28.04,726,TIANTIANBAODAN666888,5%,RM1.40,https://shopee.com.my/product/969725412/48014117747,https://s.shopee.com.my/8KoqUi54QB
49364117914,Sandisk Micro SD TF Flash Card 32GB 512GB Ultra A2 Class10 UHS-1 Memory Card For Tablet Mobile Phone,28.04,4k+,TIANTIANBAODAN666888,5%,RM1.40,https://shopee.com.my/product/969725412/49364117914,https://s.shopee.com.my/20umx4TBGy
45262981302,SanDisk High Endurance V30 U3 Class 10 microSD™ with Adapter 32GB/ 64GB/ 128GB/ 256GB/ 512GB Max R: 100MB/s,94.77,5k+,BaNANA OfficiaI Shop MY,13%,RM12.32,https://shopee.com.my/product/1866006101/45262981302,https://s.shopee.com.my/2BED9NSXw1
23159434758,SanDisk High Endurance MicroSD 32GB 64GB 128GB 256GB 512GB SD Card UHS-I C10 V30 U3 Memory Card Dash cam CCTV,170.00,10k+,YS AUTOMART SDN BHD,3%,RM5.10,https://shopee.com.my/product/36592523/23159434758,https://s.shopee.com.my/2LXdLgRub4
2135083660,SanDisk® High Endurance microSD™ Card (32GB/64GB/128GB/256GB),151.20,20k+,Sandisk Official Store,9%,RM13.61,https://shopee.com.my/product/12454380/2135083660,https://s.shopee.com.my/2Vr3XzRHG7
56014088730,SanDisk 4K V30 UHS-I SD Card 64/128GB SDXC High Performance Memory Card For Mirrorless Camera,31.49,3k+,TIANTIANBAODAN666888,5%,RM1.57,https://shopee.com.my/product/969725412/56014088730,https://s.shopee.com.my/1Lf69qVicu
5185878520,Sandisk Ultra Micro SD Card Class 10 A1 (32GB/64GB/128GB),80.00,9k+,70mai Official Store,4%,RM3.20,https://shopee.com.my/product/292905608/5185878520,https://s.shopee.com.my/1VyWM9V5Hx
29513923846,SanDisk® Phone Drive USB Type-C™ (32GB/ 64GB/ 128GB/ 256GB/ 512GBGB),91.80,7k+,Sandisk Official Store,9%,RM8.26,https://shopee.com.my/product/12454380/29513923846,https://s.shopee.com.my/1gHwYSURx0
27844393368,[7/10 YRS WARRANTY] Original SanDisk Ultra microSDXC 64GB 128GB 256GB A1 Class 10 UHS-I Memory Card CCTV,98.00,1k+,OOKAS - The Networking Expert,3%,RM2.94,https://shopee.com.my/product/180984/27844393368,https://s.shopee.com.my/1qbMklToc3
4635426431,SanDisk®  Ultra Dual Drive Go USB Type-C (32GB/64GB/128GB/256GB),94.80,20k+,Sandisk Official Store,9%,RM8.53,https://shopee.com.my/product/12454380/4635426431,https://s.shopee.com.my/gPPMcYFyq
24248233525,Sandisk Extreme Pro 4K Up to 200MB/s MicroSDXC UHS-I A2 Card(32GB/64GB/128GB/256GB/512GB/1TB),71.54,133,FLASH BITE,13%,RM9.30,https://shopee.com.my/product/1827004639/24248233525,https://s.shopee.com.my/qipYvXcdt
57211935632,SanDisk High Endurance MicroSD Card - Up to100MB/s for CCTV & Car Dashcam (32GB-512GB)with Adapter,99.00,122,FLASH BITE,13%,RM12.87,https://shopee.com.my/product/1827004639/57211935632,https://s.shopee.com.my/112FlEWzIw
