Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
1550497633,Sandisk Ultra 32GB/ 64GB/ 128GB/ 256GB 120MB/s - 150MB/s Class 10 Full HD SD Memory Card Full HD - 10 YEARS WARRANTY,129.80,10k+,KLDSLR STORE,3%,RM3.89,https://shopee.com.my/product/64337744/1550497633,https://s.shopee.com.my/9V0nssWflW
55865512970,Sandisk Ultra Micro SD Card 128GB256GB 512GB 1TB Memory Card Ultra A1Micro SDXC,44.99,8,Se@gate online shop,12%,RM5.40,https://shopee.com.my/product/1831875617/55865512970,https://s.shopee.com.my/9KhNgZXJ6V
46962108815,"[Ready Stock] SanDisk Extreme PRO MicroSDXC Memory Card 128GB 256GB 512GB 1TB | U3 V30 A2 UHS-I | 200MB/s Read | 4K & 8K Video for Drone, Action Camera, Smartphone & Gaming",92.48,16,Speed Storage Workshop,18%,RM16.65,https://shopee.com.my/product/1854921042/46962108815,https://s.shopee.com.my/9ANxUGXwRU
49110309477,SanDisk Ultra Extreme Pro Micro SDXC Memory Card A1 A2 UHS-I Class 10 up to 180MB/s 64GB 128GB 256GB 512GB 1TB,38.10,56,Hard Disk MY Store,16%,RM6.10,https://shopee.com.my/product/1791410471/49110309477,https://s.shopee.com.my/904XHxYZmT
53364825036,SanDisk Ultra / Extreme / Extreme PRO MicroSDXC Card 64GB / 128GB / 256GB / 512GB / 1TB UHS-I High Speed TF Memory Card,74.00,11,Smart Digital Hub,16%,RM11.84,https://shopee.com.my/product/1712820554/53364825036,https://s.shopee.com.my/8pl75eZD7S
41232472495,SanDisk SDDDC4 Ultra Dual Drive Luxe USB Type-C Flash Drive (32GB/64GB/128GB/256GB/512GB/1TB),65.00,9,SpeedShield Digital,11%,RM7.15,https://shopee.com.my/product/1874180095/41232472495,https://s.shopee.com.my/8fRgtLZqSR
48715229644,SanDisk Cruzer 50 Blade Pendrive USB 2.0 Flash Drive Pendrive/Thumbdrive CZ50 (128GB/64GB/32GB/16GB),27.54,14,JIB OfficiaI Shop ,13%,RM3.58,https://shopee.com.my/product/1853624603/48715229644,https://s.shopee.com.my/8V8Gh2aTnQ
1959003026,SanDisk Ultra / A1 Ultra 128GB/64GB/32GB/16GB Micro SD Memory Card 100MB/s to 140MB/s Class 10 UHS-I,99.00,1k+,BAYUTECH,5%,RM4.95,https://shopee.com.my/product/86416356/1959003026,https://s.shopee.com.my/8KoqUjb78P
227372311,SanDisk High Endurance Video Monitoring Micro SD Card with Adapter V30 U3 (32GB/64GB/128GB/256GB/512GB/100MB/s),147.40,914,VISIONGADGETRY,3%,RM4.42,https://shopee.com.my/product/18695082/227372311,https://s.shopee.com.my/8AVQIQbkTO
54307991127,Sandisk E30 Portable SSD USB 3.2 Type-C~1TB/2TB,949.80,8,DSIK Electronics store,5%,RM47.49,https://shopee.com.my/product/1634039639/54307991127,https://s.shopee.com.my/80C067cNoN
42932077225,SanDisk Ultra Flair CZ73 USB 3.0 Flash Drive (16GB/32GB/64GB/128GB/256GB/512GB),33.00,11,BaNANA OfficiaI Shop MY,13%,RM4.29,https://shopee.com.my/product/1866006101/42932077225,https://s.shopee.com.my/7psZtod19M
