Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
43808710411,Kingston USB Pendrive 8GB 16GB 32GB 64GB 128GB USB Flash Drive Data Traveler 100G3 USB 2.0,17.51,8k+,senmore.my,3%,RM0.53,https://shopee.com.my/product/263618043/43808710411,https://s.shopee.com.my/9ANxUO38vi
3845822731,Kingston 128GB 64GB 32GB 16GB 8GB USB storage flash drive data transfer OTG storage,14.85,10k+,beiledee1009.my,9%,RM1.34,https://shopee.com.my/product/141238223/3845822731,https://s.shopee.com.my/904XI53mGh
40981257672,Kingston Canvas Select Plus 128GB/256GB/512GB 100MB/s A1 MicroSDHC Memory Card,19.40,350,msm_bd_store,9%,RM1.75,https://shopee.com.my/product/1583731980/40981257672,https://s.shopee.com.my/8AVQIY6wxY
22480724363,Kingston Pendrive Dtse9H 1GB 4GB 8GB 16GB 32GB 64GB De Dados Pendrive Traveler Se9 Usb 2.0 Usb Flash Drive 1TB 128GB 2TB,10.58,2k+,senmore.my,3%,RM0.32,https://shopee.com.my/product/263618043/22480724363,https://s.shopee.com.my/80C06F7aIX
40731478472,♕Original♕ Kingston Canvas Select Plus Class 10 100MB/s 16GB/32GB/64GB/128GB/256GB/512GB Micro SD MSD Memory Card Micro,18.77,351,AJ clear day,10%,RM1.88,https://shopee.com.my/product/586987393/40731478472,https://s.shopee.com.my/8V8GhA5gHe
54360905445,Kingston OTG 2-in-1 USB 3.0 Flash Drive 1TB/2TB/512GB Type-C & USB-A High Speed Metal Pendrive for Phone/PC,44.10,630,WTDEEL,11%,RM4.85,https://shopee.com.my/product/1519743896/54360905445,https://s.shopee.com.my/8KoqUr6Jcd
48959875838,KINGSTON DDR4 2133MHz 2400MHz 2666MHz 3200MHz 8GB DESKTOP RAM,176.00,416,LK Tech Solution,9%,RM15.84,https://shopee.com.my/product/702552964/48959875838,https://s.shopee.com.my/AAGUgDzKu0
48161365485,Kingston Canvas Go! Plus SD (1700MB/s) Class 10 UHS-I Memory Card - 64GB/128GB/256GB/512GB SD Card TF Card For Camera,17.30,176,msm_bd_store,9%,RM1.56,https://shopee.com.my/product/1583731980/48161365485,https://s.shopee.com.my/9zx4TuzyEz
18088608752,[Local 24H]HyperX FURY DDR4 8GB 16GB 4GB DDR4 2400/2666/2133/3200/3600MHz Desktop PC RAM Memory DIMM 288-pin,140.00,6k+,CES Mall,3%,RM4.20,https://shopee.com.my/product/323850897/18088608752,https://s.shopee.com.my/AUtL4py4E6
45860628693,KINGSTON A400 2.5 Inch SSD SATA 480GB/512GB/960GB，High-speed storage internal solid-state drive,200.00,209,DiskHome MY,12%,RM24.00,https://shopee.com.my/product/1825481811/45860628693,https://s.shopee.com.my/AKZusWyhZ5
48012802145,Kingston Data Traveler 3.0 USB Flash Drive High Speed Pendrive 512GB 256GB 128GB 64GB Can Use To Computer/NotoBook,18.77,171,PenDrive Shop,11%,RM2.06,https://shopee.com.my/product/591746473/48012802145,https://s.shopee.com.my/9V0nt01sFw
47260722857,"Kingston ssd A400 480GB/512GB/960GB 2.5"" SATA 3 SSD Solid State Drive 10 Years Warranty",196.00,634,WesternDigital-Hard Disk Drive,12%,RM23.52,https://shopee.com.my/product/1825481836/47260722857,https://s.shopee.com.my/9KhNgh2Vav
48264592243,DDR4 16GB 8GB 3200MHZ KINGSTON RAM MODULE,450.00,77,Jet Chain PC,5%,RM22.50,https://shopee.com.my/product/1764938438/48264592243,https://s.shopee.com.my/9pdeHc0ba2
24482549767,[Local Stock & Fast Delivery] 4GB/8GB/16GB Laptop/Desktop DDR4 RAM Samsung Skhynix Kingston Mircon 3200/2666/2400/2133,159.00,1k+,The Tech Corner,3%,RM4.77,https://shopee.com.my/product/1162395404/24482549767,https://s.shopee.com.my/9fKE5J1Ev1
18428844963,♕LOCAL STOCK♕ Kingston SE9 Flash Disk 8GB 16GB 32GB 64GB 128GB Memory Flash Pendrive Metal Flash Drives Fastest,19.20,4k+,SQ Shang Quan ®,3%,RM0.58,https://shopee.com.my/product/120908837/18428844963,https://s.shopee.com.my/6AkLusEZ1M
53613317705,"Kingston A400 SSD 2.5"" SATA Internal Solid State Drive (R: up to 500MB/s & W: 450MB/s) (480GB/960GB)",200.00,24,Mobile Storage Disk Store,5%,RM10.00,https://shopee.com.my/product/1866653490/53613317705,https://s.shopee.com.my/60QviZFCML
23122708229,Pendrive DTse9 128GB 32GB 64GB Metal Usb Flash Drive 16GB 4GB USB 2.0,12.84,1k+,sitanmo.my,3%,RM0.39,https://shopee.com.my/product/824101125/23122708229,https://s.shopee.com.my/6VNCJUDILS
26079822384,Kingston Flash Drive USB 2.0 Metal Pendrive1GB 2GB 4GB 8GB 16GB 32GB 64GB 128GB 1TB,10.96,89,luckyhut.my,3%,RM0.33,https://shopee.com.my/product/323089680/26079822384,https://s.shopee.com.my/6L3m7BDvgR
22088366911,{Terpakai} SSD Kingston Colorful WD And Random 120GB 240GB SSD 2.5”SATA Desktop Laptop SSD,72.00,2k+,RICHMINE COMPUTER ENTERPRISE,3%,RM2.16,https://shopee.com.my/product/141328253/22088366911,https://s.shopee.com.my/5VUf7eH6NI
45659866182,KINGSTON DDR3 DDR3L 8GB | PC3L 12800U | DESKTOP RAM | DIMM RAM,80.10,109,LK Tech Solution,9%,RM7.21,https://shopee.com.my/product/702552964/45659866182,https://s.shopee.com.my/5LBEvLHjiH
19679207479,[Local 24H]NV2 SSD 250GB 500GB 1TB M.2 2280 PCIe NVMe Gen4 Hard Disk For PC Laptop Desktop,325.00,1k+,CES Mall,3%,RM9.75,https://shopee.com.my/product/323850897/19679207479,https://s.shopee.com.my/5q7VWGFphO
41232188368,KINGSTON/ MICRON / SKHYNIX / ADATA / OTHER BRAND DDR3/DDR4 4GB LAPTOP RAM,37.00,63,LK Tech Solution,9%,RM3.33,https://shopee.com.my/product/702552964/41232188368,https://s.shopee.com.my/5fo5JxGT2N
17495439778,Pendrive OTG Iphone Flash Drive Iphone Pendrive Kingston TypeC Micro USB 2TB 1TB USB Thumbdrive 3In1 For iPh/PC/Android,38.76,1k+,Likeme.os,11%,RM4.26,https://shopee.com.my/product/349921461/17495439778,https://s.shopee.com.my/7VFjVK9UJk
21388639828,[Local 24H]HyperX Impact DDR4 Laptop RAM SODIMM 8GB 16GB 4GB 3200MHz 2133MHz 2400MHz 1.2V Notebook Memory,150.00,6k+,CES Mall,3%,RM4.50,https://shopee.com.my/product/323850897/21388639828,https://s.shopee.com.my/7KwJJ1A7ej
45113388125,Original Kingston DataTraveler Kyson USB 3.2 Gen1 Flash Drive 128GB 256GB 512GB Metal High Speed USB Stick for Laptop PC Mac,37.00,58,Memory Factory Store,11%,RM4.07,https://shopee.com.my/product/1875230302/45113388125,https://s.shopee.com.my/7psZtw8Ddq
46560633303,"Kingston A400 SATA3 2.5"" Internal SSD Solid State Drive (SA400S37/480G/512/960GB) 10 year official warranty",200.00,130,DiskHome MY,12%,RM24.00,https://shopee.com.my/product/1825481811/46560633303,https://s.shopee.com.my/7fZ9hd8qyp
1985762625,Mix Brand Ram 2GB 4GB 8GB DDR3 DDR3L 1066 1333 1600 MHz Notebook Laptop SODIMM PC3-10600 PC3-12800 PC3-8500 Kingston,14.00,2k+,INCORE,12%,RM1.68,https://shopee.com.my/product/35503008/1985762625,https://s.shopee.com.my/6q02i6C1fg
50862927098,Kingston A400 480GB SSD 2.5-Inch SATA III TLC 6GB/s Internal SSD Solid State Drive (SA400S37/480G/960GB),199.98,67,MONO DIGITAL  FLAGSHlP STORE,13%,RM26.00,https://shopee.com.my/product/1825481844/50862927098,https://s.shopee.com.my/6fgcVnCf0f
13574045716,"KINGSTON SDCG4 CANVAS GO PLUS CLASS 10 MICROSD MEMORY CARD WITH ADAPTER FOR ACTION CAMS , MOBILE DEVICE - 64GB TO 256GB",155.00,334,Viewnet Flagship Store,1%,RM1.55,https://shopee.com.my/product/92746975/13574045716,https://s.shopee.com.my/7Act6iAkzm
27421943071,Kingston USB flash drive 2TB/128GB/64GB/32GB Pendrive high-speed flash drive,2.20,92,beiledee1009.my,9%,RM0.20,https://shopee.com.my/product/141238223/27421943071,https://s.shopee.com.my/70JSuPBOKl
46313131484,KINGSTON / INTEL / SAMSUNG / MIX BRAND SATA SSD Hard Disk 160GB 240GB 256GB 500GB 512GB 1TB,99.00,61,LK Tech Solution,9%,RM8.91,https://shopee.com.my/product/702552964/46313131484,https://s.shopee.com.my/3VjajyOiR6
22067637587,[Local 24H]HyperX FURY DDR3 Ram 4GB 8GB 1600Mhz 1866Mhz PC Ram DIMM 240Pins Desktop 1.5V Memory,65.00,6k+,CES Mall,3%,RM1.95,https://shopee.com.my/product/323850897/22067637587,https://s.shopee.com.my/3LQAXfPLm5
23142154136,[Local 24H]HyperX Impact Laptop Ram DDR3/DDR3L SO-DIMM 8GB 4GB 1600Mhz 1333MHz 1.35V 1.5V 204pin Memory RAM,68.00,1k+,CES Mall,3%,RM2.04,https://shopee.com.my/product/323850897/23142154136,https://s.shopee.com.my/3qMR8aNRlC
25121052671,"Kingstone Wheel Barrow 13x3(3.00-8) Inner Tube, Tiub dalam.(Tahun 2026)",7.00,275,AnduroMoto,3%,RM0.21,https://shopee.com.my/product/563510170/25121052671,https://s.shopee.com.my/3g30wHO56B
27828599416,Kingston USB Flash Drive With Large Capacity Of 8GB 16GB 32GB 64GB 128GB And High Speed 3.0,17.23,1k+,senmore.my,3%,RM0.52,https://shopee.com.my/product/263618043/27828599416,https://s.shopee.com.my/2qTtwkRFn2
5841593955,Kingston HyperX FURY Desktop PC Ram 8GB 16GB DDR3 DDR4 2133MHz 2400MHz 2666MHz 3200MHz Desktop DDR4 288PIN CL15 PC4-17000 RAM NEW,95.83,1k+,computer RAM.my,9%,RM8.62,https://shopee.com.my/product/283289400/5841593955,https://s.shopee.com.my/2gATkRRt81
7431911736,"Kingston SDCS2/SDCS3 Canvas Select Plus MicroSD Class 10, UHS-I (64GB/128GB/256GB/512GB)",79.00,152,ITS System Services Sdn Bhd,3%,RM2.37,https://shopee.com.my/product/15240952/7431911736,https://s.shopee.com.my/3B6kLMPz78
12898368174,ORIGINAL Kingston Micro SD TF to SD Card Adapter Converter Memory Card High Speed Memory Card Reader [READYSTOCK],1.99,707,Custom Create Game Store,3%,RM0.06,https://shopee.com.my/product/19448694/12898368174,https://s.shopee.com.my/30nK93QcS7
