Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
28612141776,[Local Stock] M2 NVME/NGFF SATA SSD USED Samsung Kingston WD 512GB-500GB-256GB-128GB-120GB-64GB,65.00,648,XINGRU,2%,RM1.30,https://shopee.com.my/product/1099038382/28612141776,https://s.shopee.com.my/5fo5JyXSKa
40662560545,"Kingston Canvas Select microSD TF Card 128GB/256GB/512GB, A1 High Speed Class10 U3, Compatible for Switch, Cellphone, Dash Cam, Security Camera",55.00,2k+,Flash Drive Mart,15%,RM8.25,https://shopee.com.my/product/1474054554/40662560545,https://s.shopee.com.my/5q7VWHWozd
49054530172,"Kingston DataTraveler Exodia M DTXM USB 3.2 Flash Drive, Retractable Cap 128GB / 256GB High‑Speed Pendrive",86.11,572,Flash Drive Mart,15%,RM12.92,https://shopee.com.my/product/1474054554/49054530172,https://s.shopee.com.my/5LBEvMYj0Y
1149289940,Kingston A005 Barber Salon Facial & Styling Stool Chair,125.00,246,HAIRCARE2U.my Barber Supply Store,5%,RM6.25,https://shopee.com.my/product/12994/1149289940,https://s.shopee.com.my/5VUf7fY5fb
45261418925,[READY STOCK] 100% Genuine Kingston FURY Beast DDR4 3200MHZ Desktop RAM 8GB 16GB 32GB CL16 288pin,298.00,14,Paihang Digital Memory,4%,RM11.92,https://shopee.com.my/product/1821062872/45261418925,https://s.shopee.com.my/7fZ9hePqH2
40911427246,KINGSTON Canvas Select Plus microSD memory card 64GB 128GB 256GB 512GB with speeds of up to 150MB/s1,85.00,92,BAYUTECH,5%,RM4.25,https://shopee.com.my/product/86416356/40911427246,https://s.shopee.com.my/7psZtxPCw5
25829201754,Kingston PenDrive USB 3.2 DataTraveler Exodia 64GB /128GB/256GB Kapasiti Kompak Flash Drive,39.00,7,ALP Lifestyle Mall,10%,RM3.90,https://shopee.com.my/product/920800/25829201754,https://s.shopee.com.my/7KwJJ2R6x0
22687336911,Kingston Rotatable U Disk Usb 2GB 4GB 8GB 16GB 32GB 64GB Flash Driver,11.69,4k+,senmore.my,3%,RM0.35,https://shopee.com.my/product/263618043/22687336911,https://s.shopee.com.my/7VFjVLQTc3
28787868409,"Kingston A400 480GB/960GB 2.5"" SATA 3 SSD Solid State Drive | | Kingston Solid State Drive SSD | Internal KINGSTON SSD",200.00,45,External hard drive Shop,15%,RM30.00,https://shopee.com.my/product/1129590579/28787868409,https://s.shopee.com.my/70JSuQSNcy
44418644245,Box Kingston Predator PNY Netac Empty RAM Box Packaging for Memory Module Storage,0.52,65,Castle IT Online Store,5%,RM0.03,https://shopee.com.my/product/12866300/44418644245,https://s.shopee.com.my/7Act6jRkI1
15473724517,【Fast Shipping】 Kingston Hyperx 4GB/8GB DDR3/DDR3L Notebook Memory  RAM  SODIMM 1066/1333/1666/1866MHz 204Pin 1.35V/1.5V RAM PC3-8500 10600 12800  14900 RAM FOR  laptop,60.81,1k+,computer RAM.my,9%,RM5.47,https://shopee.com.my/product/283289400/15473724517,https://s.shopee.com.my/6fgcVoTeIw
10012325270,KINGSTON DDR4 VALUE RAM DESKTOP PC (DIMM) / LAPTOP (SODIMM) MEMORY RAM 3200MHZ (8GB / 16GB / 32GB),1.1k,142,Viewnet Flagship Store,1%,RM10.99,https://shopee.com.my/product/92746975/10012325270,https://s.shopee.com.my/6q02i7T0xz
4371106482,Notebook Ram DDR3 DDR4 Kingston Hyperx 8GB 16GB Laptop Memory Sodimm 1600 1866 2400 2666 3200MHZ New,88.55,4k+,computer RAM.my,9%,RM7.97,https://shopee.com.my/product/283289400/4371106482,https://s.shopee.com.my/904XI6KlZQ
1585803202,Kingston ZA28 Japanese Salon Hairdressing Chair,540.00,17,HAIRCARE2U.my Barber Supply Store,5%,RM27.00,https://shopee.com.my/product/12994/1585803202,https://s.shopee.com.my/9ANxUPK8ET
43403001628,Kingston Memory Card SDTF Card 1TB/512GB/128GB/64GB/32GB/16GB High Speed Camera Universal,14.85,198,beiledee1009.my,9%,RM1.34,https://shopee.com.my/product/141238223/43403001628,https://s.shopee.com.my/8fRgtUM2FO
47700598792,Notebook Ram DDR4 SK Hynix Micron Samsung Kingston 8GB 16GB 2400MHz 2666MHz 3200MHz,220.00,266,pcjunction,5%,RM11.00,https://shopee.com.my/product/73268942/47700598792,https://s.shopee.com.my/8pl75nLOuR
28554968168,Kingston HyperX FURY DDR4 16GB 8GB 4GB 3200MHz 2666MHz 2400MHz 2133MHz PC4 Desktop RAM Memory 288pin 1.2V DIMM NEW,162.71,33,computer RAM.my,9%,RM14.64,https://shopee.com.my/product/283289400/28554968168,https://s.shopee.com.my/8KoqUsNIvM
24643735540,GAMING HIGH PERFORMANCE DDR4 DDR5 [DESKTOP RAM 8GB | 16GB | 32GB] CL16 XMP EXPO KINGBANK | KINGSTON | FANXIANG,410.97,817,APTTECH,9%,RM36.99,https://shopee.com.my/product/1290400725/24643735540,https://s.shopee.com.my/8V8GhBMfaP
20865664459,【FAST Shipping】2pcs Kingston Hyperx  8GB DDR3 Desktop Memory RAM KIT  DIMM 1333/1600/1866MHz 240Pin 1.35V/1.5V RAM PC3- 10600 12800  14900 RAM FOR  PC,187.06,1k+,computer RAM.my,9%,RM16.84,https://shopee.com.my/product/283289400/20865664459,https://s.shopee.com.my/80C06GOZbK
1520764478,REAL CAPACITY KINGSTON PENDRIVE 2.0,15.00,67,Lelong Lelong Giila,13%,RM1.95,https://shopee.com.my/product/88883178/1520764478,https://s.shopee.com.my/8AVQIZNwGN
45815157207,SanDisk CZ50 Cruzer Blade USB 2.0 Flash Drive (16GB/32GB/64GB). LIKE KINGSTON DT100G3 DTIG4 SWIVL AH334 AH335 V40,28.00,316,XiaoGan Storage MY,16%,RM4.48,https://shopee.com.my/product/1803027579/45815157207,https://s.shopee.com.my/AKZusYFgro
24486855330,Kintons GS Series Wave Maker Circulation Pump for aquarium fish tank - sobo wavemaker Kingston pam ombak BA,22.90,1k+,BANGSAWAN BETTA SHOP,3%,RM0.69,https://shopee.com.my/product/6509800/24486855330,https://s.shopee.com.my/AUtL4rF3Wr
44232138003,"Kingston SSD A400 2.5"" SATA Internal Solid State Drive (480GB/960GB) for laptop/pc",200.01,117,WD Flash Disk Hub,13%,RM26.00,https://shopee.com.my/product/1866648682/44232138003,https://s.shopee.com.my/9zx4TwGxXm
7558651960,Kingston HyperX Furry Savage 8GB DDR3 Ram 1600 / 2GB DDR2 RAM 800 Desktop Memory (used),9.50,93,BeeTech PC Builder,3%,RM0.29,https://shopee.com.my/product/73441864/7558651960,https://s.shopee.com.my/AAGUgFGKCp
16370169986,8GB RAM DDR4 Samsung SKhynix Kingston ADATA 4GB PC4 2666 2400,80.00,127,Part laptop,5%,RM4.00,https://shopee.com.my/product/326434125/16370169986,https://s.shopee.com.my/9fKE5KIEDk
23240760020,Notebook Memory DDR3 DDR4 RAM Kingston Hyperx Fury 4GB 8GB 16GB 1600 2400 2600 3200MHz 260pin 1.2V RAM for Laptop,66.07,1k+,computer RAM.my,9%,RM5.95,https://shopee.com.my/product/283289400/23240760020,https://s.shopee.com.my/9pdeHdHasn
56610148258,Kingston Micro SD Card 32GB/64GB/128GB/256GB 100MB/s Class 10 Memory Card TF Card microSDHC microSDXC microsd for Smartp,46.62,26,TIANTIANBAODAN666888,5%,RM2.33,https://shopee.com.my/product/969725412/56610148258,https://s.shopee.com.my/9KhNgiJUti
41511972808,Kingston Canvas Select Plus Micro SD Memory Card 128GB/256GB/512GB High‑Speed Storage with Android A1 SD card,55.00,127,Flash Drive Mart,15%,RM8.25,https://shopee.com.my/product/1474054554/41511972808,https://s.shopee.com.my/9V0nt1IrYl
2731403152,Kingston Class 10 80MB/s 8GB/16GB/32GB/64GB/128GB Micro SD MSD Memory Card MicroSD,22.50,3k+,YH BRIGHT STREET,9%,RM2.03,https://shopee.com.my/product/24857412/2731403152,https://s.shopee.com.my/112FlOpDo8
