Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
6655082118,TP-LINK M7000 4G LTE Portable WiFi Direct SIM Modem Router (TP Link Wireless MiFi) Tplink Tp link,209.00,1,Tech Zone Computer,1%,RM2.09,https://shopee.com.my/product/60434575/6655082118,https://s.shopee.com.my/19iZeDDIw
55258847807,TP-Link Archer MR200 AC750 Wireless Dual Band 4G LTE Network Router 433Mbps / 300Mbps TP LINK TPLINK,501.99,0,jgsuperstoreproz8.my,15%,RM75.30,https://shopee.com.my/product/1761123022/55258847807,https://s.shopee.com.my/BT8lxCZxz
52208943240,TP-Link Archer BE400 BE6500 Dual-Band Wi-Fi 7 6500Mbps Smart Gigabit Router | TP LINK TPLINK,918.99,0,jgsuperstoreproz8.my,15%,RM137.85,https://shopee.com.my/product/1761123022/52208943240,https://s.shopee.com.my/112FlU9PHA
42480062869,TP-Link EAP615-Wall AX1800 Wall Plate WiFi 6 Access Point with - Network Devices | TPLINK TP LINK,469.59,0,jgsuperstoreproz8.my,15%,RM70.44,https://shopee.com.my/product/1761123022/42480062869,https://s.shopee.com.my/1BLfxn8lwD
42080059449,TP-Link Deco X50-PoE AX3000 Whole Home Mesh Wi-Fi 6 System w/ PoE - Network Devices | TPLINK TP LINK,686.50,0,jgsuperstoreproz8.my,15%,RM102.98,https://shopee.com.my/product/1761123022/42080059449,https://s.shopee.com.my/gPPMsAfx8
57408834604,TP-Link CPE610 300Mbps 5GHz 23dBi High-Gain Outdoor Wireless CPE Weatherproof TP LINK TPLINK CPE,395.45,0,jgsuperstoreproz8.my,15%,RM59.32,https://shopee.com.my/product/1761123022/57408834604,https://s.shopee.com.my/qipZBA2cB
4979485079,Tp-link Tl-wr840n (v5) 300mbps Wireless N Router Tplink Tp Link Wifi Tlwr840n Tl Wr840n Quality,69.85,0,infotamacomputindo.my,5%,RM3.49,https://shopee.com.my/product/379258700/4979485079,https://s.shopee.com.my/1gHwYi6rvM
45410669584,USB Wifi TP-LINK Wireless Adapter 150 Mbp TL-WN725N / TP-LINK TL-WN725N USB WIFI DONGLE ADAPTER 150MBPS / NET35-TP,34.65,0,vkmakassarjq.my,12%,RM4.16,https://shopee.com.my/product/660874631/45410669584,https://s.shopee.com.my/1qbMl16EaP
1750500485,TP-Link Deco X10 WiFi 6 AX1500 Wireless Whole Hone Mesh Router   [TP-Link Deco X10 vs M4],277.00,2k+,OOKAS - The Networking Expert,11%,RM30.47,https://shopee.com.my/product/180984/1750500485,https://s.shopee.com.my/1Lf6A688bK
23350693799,TP-Link Router 5G WiFi 6 TP-Link AX3000 Deco X50-5G / NX200 / NX205 | Mercusys MB520-5G | Masuk SIM Terus Guna @ IBN,816.00,6k+,IBN IT DISTRIBUTION (M) SDN BHD,9%,RM73.44,https://shopee.com.my/product/2794197/23350693799,https://s.shopee.com.my/1VyWMP7VGN
