Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
21393674589,TP-Link Deco X10 AX1500 Whole Home Mesh Wi-Fi 6 System (1 Pack/2 Pack/3 Pack),277.00,1k+,VISIONGADGETRY,3%,RM8.31,https://shopee.com.my/product/18695082/21393674589,https://s.shopee.com.my/9KhNgqQ1lg
52007133357,TP-Link Deco X10 AX1500 Mesh WiFi 6 Seluruh Rumah – Dikuasakan AI (1/2/3 Unit),277.00,85,IBN Premium Store,3%,RM8.31,https://shopee.com.my/product/1598090647/52007133357,https://s.shopee.com.my/9V0nt9POQj
11234413998,TP-Link TL-MR505 Sim Card 4G+ Cat6 AC1200 Wireless Dual Band Gigabit Router Unlimited Modifed,421.00,638,VISIONGADGETRY,3%,RM12.63,https://shopee.com.my/product/18695082/11234413998,https://s.shopee.com.my/9fKE5SOl5m
27091524436,"TP-Link Deco X50-PoE AX3000 Mesh WiFi 6 Seluruh Rumah – Dikuasakan AI, Kuasa PoE/DC (1/2/3 Unit)",549.00,54,IBN Premium Store,9%,RM49.41,https://shopee.com.my/product/1598090647/27091524436,https://s.shopee.com.my/9pdeHlO7kp
4811488556,TP-Link Archer AX53 AX3000 WiFi 6 & MERCUSYS MR27BE BE3600 WiFi 7 Wireless Router | EasyMesh Dual 2.5G Ports,325.00,3k+,OOKAS - The Networking Expert,11%,RM35.75,https://shopee.com.my/product/180984/4811488556,https://s.shopee.com.my/9zx4U4NUPs
41268982368,"TP-Link Deco BE25 BE5000 WiFi 7 Mesh Seluruh Rumah – Dikuasakan AI, HomeShield (1/2/3 Unit)",633.00,156,IBN Premium Store,9%,RM56.97,https://shopee.com.my/product/1598090647/41268982368,https://s.shopee.com.my/AAGUgNMr4v
10621757451,TP-Link Archer AX12 Dual-Band Gigabit AX1500 Wi-Fi 6 Router,238.00,1k+,VISIONGADGETRY,3%,RM7.14,https://shopee.com.my/product/18695082/10621757451,https://s.shopee.com.my/AKZusgMDjy
28773707619,TP-Link Archer BE400 BE6500 Dual Band WiFi 7 Router,756.00,98,VISIONGADGETRY,3%,RM22.68,https://shopee.com.my/product/18695082/28773707619,https://s.shopee.com.my/AUtL4zLaP1
43519303856,TP-Link Archer NX200 Router 5G AX1800 | WiFi 6 Dual Band Gigabit | SIM Kad Plug & Play Internet Super Pantas,1.1k,270,IBN Premium Store,9%,RM97.56,https://shopee.com.my/product/1598090647/43519303856,https://s.shopee.com.my/80C06OV6TY
22451176921,TP-Link Deco X50-5G AX3000 5G Whole Home Mesh Modem WiFi 6 System with 2.5G Port HomeShield Mesh with All Deco,1.2k,962,TP-Link Official Store,5%,RM60.25,https://shopee.com.my/product/29415875/22451176921,https://s.shopee.com.my/8AVQIhUT8b
9314600819,TP-Link Deco M4 (1 / 2 / 3Pack) - AC1200 Whole Home Mesh Wifi System @ IBN,238.00,1k+,IBN IT DISTRIBUTION (M) SDN BHD,9%,RM21.42,https://shopee.com.my/product/2794197/9314600819,https://s.shopee.com.my/8KoqV0Tpne
