Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
28320987029,UGREEN Vertical 4000DPI 2.4G Ergonomic Wireless Silent Click Mouse 4-speed adjustable 10M stable transmission for Laptop PC Windows,65.90,10k+,Ugreen Flagship Store,3%,RM1.98,https://shopee.com.my/product/82080415/28320987029,https://s.shopee.com.my/7pscypVmni
28921850061,UGREEN Vertical 4000DPI 2.4G Ergonomic Wireless Silent Click Mouse 4-speed adjustable 10M stable transmission for Laptop PC Windows,57.23,7k+,Ugreen Official Shop,3%,RM1.72,https://shopee.com.my/product/64923440/28921850061,https://s.shopee.com.my/7fZCmWWQ8h
23362342803,Ugreen Vertical Ergonomic 4000DPI Wireless Silent Click Mouse for Laptop PC Windows Mac OS,79.00,9k+,Ugreen Official Shop,5%,RM3.95,https://shopee.com.my/product/64923440/23362342803,https://s.shopee.com.my/6q05mzZapY
45563348136,GOOJODOQ Wireless Ergonomic Vertical Mouse Bluetooth 5.0 2.4GHz Four Adjustable DPI Levels,59.00,198,GOOJODOQ official Mall.my,12%,RM7.08,https://shopee.com.my/product/1117360958/45563348136,https://s.shopee.com.my/6fgfagaEAX
23857161664,Vertical Wireless USB Mouse Ergonomic Rechargeable/Battery Portable PC Gamer For Computer Lap top Notebook Mause Gaming Accesso ries Mous For Right Hand,22.49,5k+,Shopee Choice Global,3%,RM0.67,https://shopee.com.my/product/188678203/23857161664,https://s.shopee.com.my/7AcwBbYK9e
53607400651,Vertical Ergonomic 4000DPI Wireless Bluetooth Silent Click gaming Mouse for MacBook Laptop Tablet PC Windows Mac IOS,31.68,530,Aizoypro shop,13%,RM4.12,https://shopee.com.my/product/1639960427/53607400651,https://s.shopee.com.my/70JVzIYxUd
25516131177,UGREEN Vertical Ergonomic Mouse Wireless 2.4G USB Dongle Bluetooth 5.0 4000DPI Silent Click Mice Laptop Macbook Linux,62.00,5k+,UGREEN OFFICIAL MALAYSIA,4%,RM2.48,https://shopee.com.my/product/331309804/25516131177,https://s.shopee.com.my/6AkOzlc8BU
5039048532,ALX Rechargeable 2.4G Wireless Ergonomic Vertical Mouse 1600 DPI Optical Computer Laptop Mouse,24.79,6k+,ALX Shop Ready Stock in Malaysia✅,3%,RM0.74,https://shopee.com.my/product/23772/5039048532,https://s.shopee.com.my/60QynSclWT
29037019596,Vertical Wireless Mouse USB PC Laptop Office Home Ergonomic Mouse Computer Desktop Mouse,19.71,951,Shopee Choice Global,10%,RM1.97,https://shopee.com.my/product/188678203/29037019596,https://s.shopee.com.my/6VNFONarVa
27181249189,inphic Vertical Bluetooth Wireless Mouse 12800dpi Rechargeable Customizable Buttons Ergonomic Silent Click Mouse for Laptop PC Windows Mac OS,69.00,595,Inphic Flagship Store,9%,RM6.21,https://shopee.com.my/product/1015128762/27181249189,https://s.shopee.com.my/6L3pC4bUqZ
