Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
47764779483,MSI PRO B550M-P WIFI6E DDR4 AM4 M-ATX Motherboard+ AMD Processor Combo/R3-3200G/R5-5500/R5-5600/R5-5600GT WITH COOLER FA,519.00,14,cs.computershoppe,1%,RM5.19,https://shopee.com.my/product/17919052/47764779483,https://s.shopee.com.my/50YRbjzft2
26451818667,MSI B760M GAMING PLUS WIFI DDR4 / DDR5 LGA1700 MOTHERBOARD (3 Years Warranty),669.00,18,PCU LEGACY,0.5%,RM3.35,https://shopee.com.my/product/44965307/26451818667,https://s.shopee.com.my/5Arro2z2Y5
26084097346,ASUS B760M-AYW WIFI LGA1700 DDR4 / DDR5 MATX MOTHERBOARD (3 YEARS WARRANTY),649.00,13,PCU LEGACY,0.5%,RM3.25,https://shopee.com.my/product/44965307/26084097346,https://s.shopee.com.my/4fvbD80wZ0
27066158313,ASUS MSI GIGABYTE DDR4 DDR5 Used LGA1700 Motherboard B660 B660M B760 B760M,204.97,1,Castle IT Online Store,5%,RM10.25,https://shopee.com.my/product/12866300/27066158313,https://s.shopee.com.my/4qF1PR0JE3
28909458298,COLORFUL BATTLE AX B760M-PLUS S WIFI7 V20 DDR4 LGA1700 MATX MOTHERBOARD (3 YEARS WARRANTY),779.00,1,PCU LEGACY,0.5%,RM3.90,https://shopee.com.my/product/44965307/28909458298,https://s.shopee.com.my/4LIkoW2DEy
40922808525,MSI B760M GAMING PLUS WIFI DDR4 Micro-ATX Motherboard compatible with Intel 14th/13th/12th Gen Core Processors MB6564,731.65,9,fujikou.my,3%,RM21.95,https://shopee.com.my/product/1597238991/40922808525,https://s.shopee.com.my/4VcB0p1Zu1
40225584541,MSI B760 GAMING PLUS WIFI DDR4 ATX Motherboard Intel 14th/13th/12th Generation Core Processor,861.33,7,minicratejapan.my,5%,RM43.07,https://shopee.com.my/product/1607833529/40225584541,https://s.shopee.com.my/40fuPu3Tuw
49453888089,Colorful H610I Smart WiFi DDR4 Mini ITX Motherboard LGA1700 PCIe 4.0,535.60,9,Castle IT Online Store,5%,RM26.78,https://shopee.com.my/product/12866300/49453888089,https://s.shopee.com.my/4AzKcD2qZz
56964254893,MSI B760M GAMING PLUS WIFI DDR4 Micro-ATX motherboard compatible with Intel 14th/13th/12th generation Core processors MB6564,600.43,1,ayadesu.my,3%,RM18.01,https://shopee.com.my/product/1730343114/56964254893,https://s.shopee.com.my/3g341I4kau
48110821667,Colorful CVN B760I-A FROZEN WIFI DDR4 Mini ITX LGA1700 Motherboard,673.00,2,Funkydory TechCom,3%,RM20.19,https://shopee.com.my/product/94130460/48110821667,https://s.shopee.com.my/3qMUDb47Fx
53364155499,[🇲🇾 Ready Stock] Gigabyte Aorus Elite B760M D4 PCIE Gen 5 Motherboard LGA1700 Gaming PC Micro ATX DDR4 WIFI6E Bluetooth,938.00,1,FORMULA Motorsport,5%,RM46.90,https://shopee.com.my/product/1419790307/53364155499,https://s.shopee.com.my/3LQDcg61Gs
40881419607,"ASUS TUF Gaming B760-PLUS WIFI D4 ATX Motherboard for Intel 12th/13th/14th Gen CPUs - LGA1700, DDR4, Official Domestic Agent Product",861.64,1,REVE.japan.my,11%,RM94.78,https://shopee.com.my/product/1646365448/40881419607,https://s.shopee.com.my/3Vjdoz5Nvv
45811156440,MSI B760 GAMING PLUS WIFI DDR4 ATX Motherboard compatible with Intel 14th/13th/12th Generation Core Processors MB6563,642.02,0,fouroimo.my,5%,RM32.10,https://shopee.com.my/product/1820891782/45811156440,https://s.shopee.com.my/30nNE47Hwq
43770584443,MSI B760 GAMING PLUS WIFI DDR4 ATX Motherboard Compatible with Intel 14th/13th/12th Gen Core Processors MB6563,638.72,8,fujikou.my,3%,RM19.16,https://shopee.com.my/product/1597238991/43770584443,https://s.shopee.com.my/3B6nQN6ebt
43633429041,Gigabyte TRX40 Aorus Pro Wifi AMD Threadripper DDR4 ATX Motherboard,1.6k,0,My memorypartner.,3%,RM48.95,https://shopee.com.my/product/71915914/43633429041,https://s.shopee.com.my/2gAWpS8Yco
40031299346,GIGABYTE B450 I AORUS PRO WIFI AMD Ryzen Socket AM4 DDR4 B450 ITX Motherboard,733.76,0,My memorypartner.,3%,RM22.01,https://shopee.com.my/product/71915914/40031299346,https://s.shopee.com.my/2qTx1l7vHr
52962860142,ASUS TUF GAMING B550M-PLUS WIFI II DDR4 Mainboard - genuine,719.50,0,kccshopstorew5.my,12%,RM86.34,https://shopee.com.my/product/1729756883/52962860142,https://s.shopee.com.my/2LXgQq9pIm
