Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
47215152243,"Razer x Kuromi Soundbar, Desktop PC Gaming Sound Bar Speaker, RGB Light, Compact Sound Bar for Computer Monitor, Wired Audio Speaker for Gaming & Entertainment",1.3k,0,The small shop by the clouds,4%,RM52.83,https://shopee.com.my/product/1812958508/47215152243,https://s.shopee.com.my/4LIkoaZnJw
52404711835,Bluetooth Desktop Speaker Soundbar Wired Speaker with RGB Lightning Effect for PC Computer Laptop 蓝牙音响,45.90,114,Gadget Base,13.5%,RM6.20,https://shopee.com.my/product/94967721/52404711835,https://s.shopee.com.my/4VcB0tZ9yz
55707043203,Acer OSK238 Wired Desktop Speaker USB Powered Soundbar RGB Light Volume Knob  PC Laptop,41.90,141,O2 HUB,3%,RM1.26,https://shopee.com.my/product/323465763/55707043203,https://s.shopee.com.my/40fuPyb3zu
53854699867,Bluetooth Desktop Speaker RGB Wireless Soundbar Hifi Subwoofer Powerful PC Computer Laptop 条形蓝牙音箱 音响,45.90,50,Gadget Base,13.5%,RM6.20,https://shopee.com.my/product/94967721/53854699867,https://s.shopee.com.my/4AzKcHaQex
49460009621,Creative GS3 Compact Bluetooth Soundbar | Under-Monitor PC Speaker | USB-C | RGB Desktop Audio Bar,418.00,0,Viewnet Flagship Store,1%,RM4.18,https://shopee.com.my/product/92746975/49460009621,https://s.shopee.com.my/50YRboXFy8
47711866346,RGB Mini USB Speaker Portable LED Light Computer Laptop Desktop PC Heavy Bass Subwoofer 2.0 Channel Multimedia Soundbar,81.74,0,Boku188.my,5%,RM4.09,https://shopee.com.my/product/1800635892/47711866346,https://s.shopee.com.my/5Arro7WcdB
50065756593,Dual Mode Bluetooth 5.4 PC Soundbar with Adjustable Mic RGB Ambient Light Desktop Gaming Speaker,59.90,0,LYNXZ Power Store,5%,RM3.00,https://shopee.com.my/product/1742117167/50065756593,https://s.shopee.com.my/4fvbDCYWe6
46415771389,PC Gaming Soundbar E-3600 with Detachable Microphone Bluetooth 5.4 USB Wired Dual Mode RGB Light Bar 360 Surround HiFi Stereo Speaker For Desktop Laptop,59.90,0,LYNXZ Power Store,5%,RM3.00,https://shopee.com.my/product/1742117167/46415771389,https://s.shopee.com.my/4qF1PVXtJ9
41271630617,USB Wired Bluetooth 5.3 Speaker Desktop RGB Soundbar 4D 360° Surround Sound Subwoofer for Home PC,72.00,39,POP Mall.,12%,RM8.64,https://shopee.com.my/product/1536279464/41271630617,https://s.shopee.com.my/30nNE8es1o
46508456438,SOUNDBAR SPEAKER PC LAPTOP SOUNDBAR DESKTOP SPEAKER DYNAMIC SOUND 6W CLEAR SOUND QUALITY DESIGN ELEGAN FOR TV COMPUTER LAPTOP DUAL CONNECTION ULTRA WITH RGB LIGHT Design,120.89,0,pmstoreidrj.my,12%,RM14.51,https://shopee.com.my/product/1467392593/46508456438,https://s.shopee.com.my/3B6nQReEgr
