Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
4532491430,[BEST SELLER] Edifier X3 Pro Wireless Earbuds TWS | ANC Noise Cancelling | 22H Battery | 0.05s Low Latency,89.00,50k+,EDIFIER MALAYSIA,11%,RM9.79,https://shopee.com.my/product/16046076/4532491430,https://s.shopee.com.my/6fgfawydCo
3953017467,Edifier P180 Plus Wired Earphone with Built in Mic | AUX | In-line Control | Omnidirectional Mic,26.89,30k+,EDIFIER MALAYSIA,5%,RM1.34,https://shopee.com.my/product/16046076/3953017467,https://s.shopee.com.my/6q05nFxzrr
12926024927,[BEST SELLER] Edifier X2 Plus Wireless Earbuds | 28H Long Battery | Bass Sound | Bluetooth V6.0,79.00,40k+,EDIFIER MALAYSIA,11%,RM8.69,https://shopee.com.my/product/16046076/12926024927,https://s.shopee.com.my/6L3pCKztsm
8978866012,Edifier P205 Wired Earbuds - Heavy Bass | AUX Jack | Built in Mic | Lightweight Design,26.90,10k+,EDIFIER MALAYSIA,5%,RM1.35,https://shopee.com.my/product/16046076/8978866012,https://s.shopee.com.my/6VNFOdzGXp
26557464049,[94-HOUR BATTERY LIFE] Edifier W830NB Hi-Res Spatial Audio Wireless Headphones,287.00,3k+,EDIFIER MALAYSIA,11%,RM31.57,https://shopee.com.my/product/16046076/26557464049,https://s.shopee.com.my/60Qynj1AYk
43759555832,"[BEST SELLER] Edifier MR5 Tri-amped Studio Monitor Speaker | 110W RMS Hi-Res Wireless LDAC | Bluetooth V6.0 | 5"" Woofer",849.00,918,EDIFIER MALAYSIA,11%,RM93.39,https://shopee.com.my/product/16046076/43759555832,https://s.shopee.com.my/6AkP020XDn
183873100,[Online Education and Office Work] Edifier USB K800 Wired USB Headset,84.90,7k+,EDIFIER MALAYSIA,11%,RM9.34,https://shopee.com.my/product/16046076/183873100,https://s.shopee.com.my/5fo8P72REi
26961546632,1 Pair Ear Pads for Edifier W820NB / W820NB Plus Headphone Headband Headbeam protective sleeve Earpads Cushion Sponge Headset Earmuffs,8.50,2k+,chachacha.my,5%,RM0.43,https://shopee.com.my/product/865322061/26961546632,https://s.shopee.com.my/5q7YbQ1ntl
19884827827,【Best Budget】Edifier W800BT Pro Wireless Over-Ear Headphones | Bluetooth V5.4 | 40mm Driver | Hi-Res Audio | AAC,199.00,2k+,EDIFIER MALAYSIA,11%,RM21.89,https://shopee.com.my/product/16046076/19884827827,https://s.shopee.com.my/5LBI0V3hug
27414133731,[HOME STUDIO] Edifier MR3 Bluetooth Studio Monitor Speaker For Video Editing & Mixing | Hi-Res Audio | App Control,479.00,1k+,EDIFIER MALAYSIA,11%,RM52.69,https://shopee.com.my/product/16046076/27414133731,https://s.shopee.com.my/5VUiCo34Zj
22926897069,[PC GAMING] Edifier G1500 Max 2.1 Bluetooth Gaming Speaker with Subwoofer |RGB | USB Bluetooth | PC Laptop,270.00,2k+,EDIFIER MALAYSIA,11%,RM29.70,https://shopee.com.my/product/16046076/22926897069,https://s.shopee.com.my/5ArroC4LFg
28076907087,Edifier X3 Pro / T30 Wireless Earbuds TWS | ANC Noise Cancelling | 22H Battery | 0.05s Low Latency | Leather Design,89.00,2k+,EDIFIER MALAYSIA,11%,RM9.79,https://shopee.com.my/product/16046076/28076907087,https://s.shopee.com.my/50YRbt4yaf
57557673909,【Best Seller】Edifier M90 Compact Speaker | 100W RMS Hi-Res Audio | HDMI eARC for PS5 & TV | Bluetooth V6.0,899.00,285,EDIFIER MALAYSIA,5%,RM44.95,https://shopee.com.my/product/16046076/57557673909,https://s.shopee.com.my/4qF1Pa5bve
27135788527,[Best Budget Earphones] Edifier X2 Plus True Wireless Earphones - Bluetooth V6.0 | 13mm Dynamic | 28 hrs Playtime,79.00,1k+,EDIFIER MALAYSIA,11%,RM8.69,https://shopee.com.my/product/16046076/27135788527,https://s.shopee.com.my/4fvbDH6FGd
22572636343,【Best Seller】Edifier X1 Lite True Wireless Earphones With ConneX App,69.00,287,Inter-Asia,5%,RM3.45,https://shopee.com.my/product/16197192/22572636343,https://s.shopee.com.my/4VcB0y6sbc
9813771368,Edifier MF3 - Portable Voice Amplifier -Anti-Howling Microphone,119.00,1k+,EDIFIER MALAYSIA,5%,RM5.95,https://shopee.com.my/product/16046076/9813771368,https://s.shopee.com.my/4LIkof7Vwb
10610700298,[BEST SELLER] Edifier W820NB Plus Wireless Headphones | -49dB Active Noise Cancelling ANC | LDAC Hi-Res Audio,279.00,10k+,EDIFIER MALAYSIA,11%,RM30.69,https://shopee.com.my/product/16046076/10610700298,https://s.shopee.com.my/4AzKcM89Ha
24211557753,【Hot】Edifier X5 Pro V2 Wireless Earbuds | Active Noise Cancelling ANC | 48H Battery | Bass Sound,179.00,5k+,EDIFIER MALAYSIA,11%,RM19.69,https://shopee.com.my/product/16046076/24211557753,https://s.shopee.com.my/40fuQ38mcZ
28973368609,Edifier TWS Earbuds Pouch for All Types of TWS Earbuds | Universal Design,14.90,225,Inter-Asia,5%,RM0.75,https://shopee.com.my/product/16197192/28973368609,https://s.shopee.com.my/3qMUDk9PxY
50252135833,Accessories Earpads Earmuff Replacement Ear Cushion Ear Pads Foam Sponge For Edifier W820NB,9.70,145,Singee.my,5%,RM0.49,https://shopee.com.my/product/1672815957/50252135833,https://s.shopee.com.my/3g341RA3IX
3085379909,[Best Studio Monitor] Edifier MR4 Powered Studio Monitor Speaker | For Video Editing & Mixing,489.00,3k+,EDIFIER MALAYSIA,11%,RM53.79,https://shopee.com.my/product/16046076/3085379909,https://s.shopee.com.my/3Vjdp8AgdW
27280371815,【Top Pick】Edifier QR30 Desktop Active Speaker | 30W RMS BT 5.4 | RGB Infinite Mirror Light | 3D Lighting Sound System,479.00,860,EDIFIER MALAYSIA,11%,RM52.69,https://shopee.com.my/product/16046076/27280371815,https://s.shopee.com.my/3LQDcpBJyV
26117601254,【Best Budget】 Edifier X1 Lite True Wireless Earphones with EDIFIER ConneX Customization App,79.00,5k+,EDIFIER MALAYSIA,5%,RM3.95,https://shopee.com.my/product/16046076/26117601254,https://s.shopee.com.my/3B6nQWBxJU
25628731064,Replacement Ear Pads For Edifier W820NB / W820NB Plus Headphone Headband Headbeam protective sleeve Earpads Headset Foam Cover,10.00,1k+,tokernew.my,13%,RM1.30,https://shopee.com.my/product/1200983515/25628731064,https://s.shopee.com.my/30nNEDCaeT
1241924819,【Best Seller】Edifier R1280DB Bluetooth Bookshelf Speaker - Multiple Inputs | Wooden Enclosure | 42W RMS,489.00,3k+,EDIFIER MALAYSIA,11%,RM53.79,https://shopee.com.my/product/16046076/1241924819,https://s.shopee.com.my/2qTx1uDDzS
27464134981,【Best Seller】Edifier M60 Compact 2.0 Multimedia PC Speaker works with EDIFIER ConneX App,669.00,851,EDIFIER MALAYSIA,11%,RM73.59,https://shopee.com.my/product/16046076/27464134981,https://s.shopee.com.my/2gAWpbDrKR
43221258308,【Flagship】Edifier WH950NB Hi-Res Audio Wireless Active Noise Cancellation Headphones,479.00,372,EDIFIER MALAYSIA,5%,RM23.95,https://shopee.com.my/product/16046076/43221258308,https://s.shopee.com.my/2Vr6dIEUfQ
2698904498,【Multi-Award Winner】Edifier G2000 Bluetooth RGB Gaming PC Speaker,329.00,2k+,EDIFIER MALAYSIA,11%,RM36.19,https://shopee.com.my/product/16046076/2698904498,https://s.shopee.com.my/2LXgQzF80P
44200854634,"Edifier Headphone Case Cover -  Designed for WH950NB, W830NB, W800BT Pro and WH700NB",49.90,94,Inter-Asia,5%,RM2.50,https://shopee.com.my/product/16197192/44200854634,https://s.shopee.com.my/2BEGEgFlLO
6175698461,[Sub Output] Edifier R1700BTs Bluetooth Speaker | 66W High Power | Deep Bass,659.00,1k+,EDIFIER MALAYSIA,11%,RM72.49,https://shopee.com.my/product/16046076/6175698461,https://s.shopee.com.my/20uq2NGOgN
24382615787,"P47 Bluetooth Wireless Headphones – Headset with Mic for Gaming, Google Classroom, PUBG, Edifier Compatible",9.27,10k+,Shopee Choice Local,4%,RM0.37,https://shopee.com.my/product/1206023866/24382615787,https://s.shopee.com.my/1qbPq4H21M
6675665770,Edifier D12 Premium Integrated Stereo Bluetooth 5.0 Wooden Enclosure Speaker,449.00,1k+,EDIFIER MALAYSIA,11%,RM49.39,https://shopee.com.my/product/16046076/6675665770,https://s.shopee.com.my/1gHzdlHfML
13413327638,【Best Retro】Edifier MP230 Portable Bluetooth Speaker | 20W Stereo Bass | Piano Buttons & Wooden Enclosure | 9H Battery,349.00,1k+,EDIFIER MALAYSIA,11%,RM38.39,https://shopee.com.my/product/16046076/13413327638,https://s.shopee.com.my/1VyZRSIIhK
28001074015,【AI Translator】Edifier EvoBuds Pro ANC Earbuds | AI Voice Translation | Bluetooth V6.1 | Hi-Res LDAC,339.00,750,EDIFIER MALAYSIA,11%,RM37.29,https://shopee.com.my/product/16046076/28001074015,https://s.shopee.com.my/1Lf9F9Iw2J
24802006670,Protective Carrying Edifier W800BT Headphone Storage Case Bag,11.99,497,ANN TAT,5%,RM0.60,https://shopee.com.my/product/1055628961/24802006670,https://s.shopee.com.my/1BLj2qJZNI
20830562670,【Hot】Edifier P230 USB-C/ P180 USB-C Hi-Res Audio Wired In-Ear Earphones with Omnidirectional Microphone,66.00,2k+,EDIFIER MALAYSIA,5%,RM3.30,https://shopee.com.my/product/16046076/20830562670,https://s.shopee.com.my/112IqXKCiH
