Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
41970560164,READY STOCK!For Edifier X5 Pro（2025）Case Casing Soft Silicone Innovation Cartoon Earphone Case NO.2,4.20,111,Coco Case Teluk Intan Shop,9%,RM0.38,https://shopee.com.my/product/390194387/41970560164,https://s.shopee.com.my/3B6nQdW1KV
24365394106,Edifier USB-A to Type-C Charging Cable - Suitable For All Kind of Devices,19.00,10,Inter-Asia,5%,RM0.95,https://shopee.com.my/product/16197192/24365394106,https://s.shopee.com.my/3LQDcwVNzY
27272762290,"【Best Compact Speaker】Edifier M60 Hi-Res Booksheft Speaker - 66W RMS | Silk Dome Tweeter | 3"" Mid-low | USB-C",669.00,85,Inter-Asia,5%,RM33.45,https://shopee.com.my/product/16197192/27272762290,https://s.shopee.com.my/3VjdpFUkeb
4977397250,P47 Bluetooth Headset Wireless Headphone with Mic Microphone Google Classroom Gaming PUBG Edifier Windows Laptop,10.80,10k+,allblue5367,9%,RM0.97,https://shopee.com.my/product/12609016/4977397250,https://s.shopee.com.my/3g341YU7Je
54259864567,AKSE For Edifier W820NB / W820NB Plus Headphone Headband Cover Earpads Cushion Sponge Headset Earmuffs Replacement Cover,8.50,25,AKSE_Aksesori,11%,RM0.94,https://shopee.com.my/product/1667782820/54259864567,https://s.shopee.com.my/3qMUDrTTyh
28730366819,Edifier QR30 Compact Desktop Active Speaker with Quality Sound Performance and Dynamic Light Effects,479.00,54,Inter-Asia,5%,RM23.95,https://shopee.com.my/product/16197192/28730366819,https://s.shopee.com.my/1Lf9FGd03E
22922361013,【Best Over-Ear】Edifier W820NB Plus 2025 Active Noise Cancellation Wireless headphones,279.00,104,Inter-Asia,5%,RM13.95,https://shopee.com.my/product/16197192/22922361013,https://s.shopee.com.my/1VyZRZcMiH
40515276278,Edifier W820NB Plus [New Version] Wireless -49dB Hybrid Active Noise Cancelling Headphones,279.00,19,Inter-Asia,5%,RM13.95,https://shopee.com.my/product/16197192/40515276278,https://s.shopee.com.my/1gHzdsbjNK
52807673961,Edifier M90 Compact Active Speaker,899.00,17,Inter-Asia,5%,RM44.95,https://shopee.com.my/product/16197192/52807673961,https://s.shopee.com.my/1qbPqBb62N
20974204881,"【Must Have】Edifier QD25 Desktop Speaker | Bluetooth V6.0 | 2.5"" Mid-bass Driver & 0.75"" Tweeter",479.00,26,Inter-Asia,5%,RM23.95,https://shopee.com.my/product/16197192/20974204881,https://s.shopee.com.my/20uq2UaShQ
49957747394,Edifier R20BT USB-Powered Speaker,249.00,38,Inter-Asia,5%,RM12.45,https://shopee.com.my/product/16197192/49957747394,https://s.shopee.com.my/2BEGEnZpMT
2098882688,Edifier S3000MKII Premium Wireless Speaker | 256W RMS Hi-Res Audio | Balanced XLR USB | aptX HD Bluetooth [Flagship],2.8k,277,EDIFIER MALAYSIA,11%,RM307.89,https://shopee.com.my/product/16046076/2098882688,https://s.shopee.com.my/2LXgR6ZC1W
18875343684,"Universal zipper headband Cover for Bose, Beats, JBL ATH, Hyperx, Skullcandy, EDIFIER, Plantronics, Sennheiser, Logitech headphones",21.12,22,iMusic.my,5.5%,RM1.16,https://shopee.com.my/product/295017429/18875343684,https://s.shopee.com.my/2Vr6dPYYgZ
28715611118,1 Pair Earpads for Edifier WH950NB / W860NB Pro Headphone Ear Pads Cushion Sponge Headset Earmuffs,39.40,79,meliodassama.my,9%,RM3.55,https://shopee.com.my/product/285199417/28715611118,https://s.shopee.com.my/19leoi4l6
