Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
2256457227,1st Player DK6.0 600W Power Supply 80Plus Bronze Bulk PSU ATX,106.09,78,Castle IT Online Store,5%,RM5.30,https://shopee.com.my/product/12866300/2256457227,https://s.shopee.com.my/5ArroNvN19
29330404860,darkFlash PMT 750 Full Modular 750 Watt 80 Plus Gold ATX Power Supply version ATX3.1 PCIE 5.1,339.00,44,darkFlash Official Store,3%,RM10.17,https://shopee.com.my/product/843473721/29330404860,https://s.shopee.com.my/40fuQEzoNw
2870639559,Aigo DarkFlash C275P Dual Chamber Micro-ATX PC Case mATX Tempered Glass Black White,132.00,44,Castle IT Online Store,5%,RM6.60,https://shopee.com.my/product/12866300/2870639559,https://s.shopee.com.my/4AzKcXzB2z
6087518804,FSP VIC WD 650W PSU Power Supply 80PLUS White Direct Cable,184.37,39,Castle IT Online Store,5%,RM9.22,https://shopee.com.my/product/12866300/6087518804,https://s.shopee.com.my/4LIkoqyXi2
42173226331,darkFlash PMT 850 Full Modular 850 Watt 80 Plus Gold ATX Power Supply version ATX3.1 PCIE 5.1,369.00,34,darkFlash Official Store,3%,RM11.07,https://shopee.com.my/product/843473721/42173226331,https://s.shopee.com.my/4VcB19xuN5
29978780633,darkFlash DM20 PWM ARGB 12cm Fan (Forward/Reverse),26.00,109,darkFlash Official Store,3%,RM0.78,https://shopee.com.my/product/843473721/29978780633,https://s.shopee.com.my/gPSS7CV9M
47204672738,DARKFLASH DB330M mATX PC Case (Black),119.00,6,iBUYPC,1%,RM1.19,https://shopee.com.my/product/1562367463/47204672738,https://s.shopee.com.my/qiseQBroP
40617092994,[VanguardIT] Upgrade casing for PCSET Segotep/Darkflash/Aigo/A150/Invasion [black/white],25.75,10,VANGUARD IT TECHNOLOGY SDN BHD,10%,RM2.58,https://shopee.com.my/product/1522315769/40617092994,https://s.shopee.com.my/112IqjBETS
12781641243,LIAN LI EDGE Gold EG850 850W ATX 3.1 Fully Modular Power Supply Black White,616.97,11,Castle IT Online Store,5%,RM30.85,https://shopee.com.my/product/12866300/12781641243,https://s.shopee.com.my/1BLj32Ab8V
42152809261,darkFlash TH285 Luxury ATX PC Case with 4 pcs DM20 fans,299.00,8,darkFlash Official Store,3%,RM8.97,https://shopee.com.my/product/843473721/42152809261,https://s.shopee.com.my/19letF2VI
22308799219,Lian Li O11 Vision Compact ATX PC Casing Black White Tempered Glass,565.00,4,Castle IT Online Store,5%,RM28.25,https://shopee.com.my/product/12866300/22308799219,https://s.shopee.com.my/BTBrCEPAL
42473208312,darkFlash ARCEE DY460 ATX Casing (Comes with 4 Fans),419.00,1,darkFlash Official Store,3%,RM12.57,https://shopee.com.my/product/843473721/42473208312,https://s.shopee.com.my/Lmc3VDlpO
6661082127,Aigo darkFlash C6 Aurora Spectrum Fixed Rainbow RGB LED Effect 120mm IDE Molex Powered PC Case Fan,22.00,62,SweetLoot - Tech & Lifestyle Store,3%,RM0.66,https://shopee.com.my/product/72679059/6661082127,https://s.shopee.com.my/W62FoD8UR
44514302452,DarkFlash DM8R PWM ARGB 120MM Case Fan | Reverse Version,19.90,1,iBUYPC,1%,RM0.20,https://shopee.com.my/product/1562367463/44514302452,https://s.shopee.com.my/20uq2Z7QRk
20473974244,DarkFlash DB460M Micro-ATX PC Case mATX ARGB 3 Fan Gaming Casing Black White,170.88,3,Castle IT Online Store,5%,RM8.54,https://shopee.com.my/product/12866300/20473974244,https://s.shopee.com.my/2BEGEs6n6n
57064277448,DarkFlash INF32T PWM ARGB 120MM Case Fan | 5-Pack,69.00,1,iBUYPC,1%,RM0.69,https://shopee.com.my/product/1562367463/57064277448,https://s.shopee.com.my/2LXgRB69lq
29970930798,darkFlash ARCEE DY470 ATX PC Case (with 4pcs ARGB PWM fan & 6 ports ARGB Hub) Black & White,469.00,32,darkFlash Official Store,3%,RM14.07,https://shopee.com.my/product/843473721/29970930798,https://s.shopee.com.my/2Vr6dU5WQt
20960830350,darkflash A290 Dexterous ATX Casing (with 3pcs CL6 aRGB fans),139.00,10,darkFlash Official Store,3%,RM4.17,https://shopee.com.my/product/843473721/20960830350,https://s.shopee.com.my/1Lf9FL9xng
26642704292,Eifrtn T-shirt Jersey Singlet Lekbong Sleeveless Jersey Sports Dry Fit Running Gym Fitness Abstract Dark Black Grey Monochrome Eifourteen | Dark Flash,28.05,5,eifrtntt.my,12%,RM3.37,https://shopee.com.my/product/954757824/26642704292,https://s.shopee.com.my/1VyZRe9KSj
54104754381,DARKFLASH GD100 DUAL MODE WIRELESS 2.4G & USB HOT SWAP MECHANICAL KEYBOARD (K YELLOW SWITCH) - BROWN SUGAR / STARRY BLUE,159.00,4,PCU LEGACY,0.5%,RM0.80,https://shopee.com.my/product/44965307/54104754381,https://s.shopee.com.my/1gHzdx8h7m
22774431783,darkFlash GD108 Dual Mode Wireless 2.4G & USB Hot Swap Mechanical Keyboard (K Yellow Switch),199.00,5,darkFlash Official Store,3%,RM5.97,https://shopee.com.my/product/843473721/22774431783,https://s.shopee.com.my/1qbPqG83mp
52865703271,AIGO DARKFLASH GAUSS G16 Magnetic Splicing ARGB 3in1 Fan Case - Black White,234.19,0,moba_gamers86.my,12%,RM28.10,https://shopee.com.my/product/264678858/52865703271,https://s.shopee.com.my/8fRjyoi2vA
45715723333,AIGO DARKFLASH SHADOW PRO RGB CPU Cooler,164.45,0,moba_gamers86.my,12%,RM19.73,https://shopee.com.my/product/264678858/45715723333,https://s.shopee.com.my/8plAB7hPaD
57065707181,AIGO DARKFLASH WAVE DH 240D V1.2 ARGB Display Screen Liquid CPU Cooler - Black / White - MG,411.29,0,moba_gamers86.my,12%,RM49.35,https://shopee.com.my/product/264678858/57065707181,https://s.shopee.com.my/904aNQgmFG
54963570041,"[Genuine] DARKFLASH DS900WS BLACK/WHITE computer case, Wooden surface, fan not included",317.35,0,lemtechhcmpk.my,12%,RM38.08,https://shopee.com.my/product/1729756030/54963570041,https://s.shopee.com.my/9AO0Zjg8uJ
51813187615,"[Genuine] DARK FLASH DB330M Glass, DB330M computer case with Black/White Glass",237.05,0,lemtechhcmpk.my,12%,RM28.45,https://shopee.com.my/product/1729756030/51813187615,https://s.shopee.com.my/80C3BakaH6
52808441149,AIGO DARKFLASH PC CASING DLM21 MESH TEMPERED GLASS MICRO-ATX GAMING CASE,317.35,0,distributorkomputermanggadu.my,5%,RM15.87,https://shopee.com.my/product/298496827/52808441149,https://s.shopee.com.my/8AVTNtjww9
29244545525,Aigo darkFlash PC Casing DLM21 MESH White - Tempered Glass Micro ATX Gaming Case,317.35,0,distributorkomputermanggadu.my,5%,RM15.87,https://shopee.com.my/product/298496827/29244545525,https://s.shopee.com.my/8KotaCjJbC
40432219271,"[Genuine] DARK FLASH DB460M computer case with 4 fans, M-ATX Case, USB 3.0",326.69,0,lemtechhcmpk.my,12%,RM39.20,https://shopee.com.my/product/1729756030/40432219271,https://s.shopee.com.my/8V8JmVigGF
41272687399,AIGO DARKFLASH FAN CASING DR12 PRO RGB DOUBLE SINGLE PACK FANRing,29.59,4,distributorkomputermanggadu.my,5%,RM1.48,https://shopee.com.my/product/298496827/41272687399,https://s.shopee.com.my/9zx7ZGcyDY
56713334964,"[Genuine] DARKFLASH DS900 MESH Black/White computer case, fan not included,",304.59,0,lemtechhcmpk.my,12%,RM36.55,https://shopee.com.my/product/1729756030/56713334964,https://s.shopee.com.my/AAGXlZcKsb
44863155722,"DARK FLASH DB330M MESH computer case, M-ATX case, fan not included",232.65,0,lemtechhcmpk.my,12%,RM27.92,https://shopee.com.my/product/1729756030/44863155722,https://s.shopee.com.my/AKZxxsbhXe
49411232434,AIGO DARKFLASH WAVE DH 240D V1.2 ARGB Display Screen Liquid CPU Cooler - Black / White - CG,386.65,0,gssumbersarime.my,12%,RM46.40,https://shopee.com.my/product/1838012101/49411232434,https://s.shopee.com.my/AUtOABb4Ch
49264953060,Fan 12cm DarkFlash CL12 Rainbow RGB LED (Black Pink White) Aigo Casing,18.59,0,adrianjanapriyakb.my,12%,RM2.23,https://shopee.com.my/product/1897077218/49264953060,https://s.shopee.com.my/9KhQm2fVZU
47064957743,AIGO DARKFLASH DR12 PRO | 5/ 3 Pack + Controller | 12cm RGB 5-in-1 Fan Case 3-in-1/,165.55,0,adrianjanapriyakb.my,12%,RM19.87,https://shopee.com.my/product/1897077218/47064957743,https://s.shopee.com.my/9V0qyLesEX
4467685275,AIGO DarkFlash Twister DX240 V2 / DX480 V2.6 240mm ARGB Liquid Cooler LGA1700 Black/White/Pink,310.00,80,Castle IT Online Store,5%,RM15.50,https://shopee.com.my/product/12866300/4467685275,https://s.shopee.com.my/9fKHAeeEta
3766814467,DarkFlash DY470 ATX PC Case Casing Chassis Dual Chamer Tempered Glass BLACK / WHITE with 4x ARGB Fan,530.40,19,Castle IT Online Store,5%,RM26.52,https://shopee.com.my/product/12866300/3766814467,https://s.shopee.com.my/9pdhMxdbYd
53616271012,Watercooling Liquid Darkflash 240mm CPU Cooler,132.99,0,robi2294v2.my,12%,RM15.96,https://shopee.com.my/product/1017207114/53616271012,https://s.shopee.com.my/60QynusCKu
52364924636,AIGO DARKFLASH DM12 PRO ARGB 5 FAN CASE (BLACK WHITE),158.29,0,adrianjanapriyakb.my,12%,RM18.99,https://shopee.com.my/product/1897077218/52364924636,https://s.shopee.com.my/6AkP0DrYzx
22308570745,ASUS ProArt PA401 Wood TG ATX Gaming Case Black 2x160mm 1x120mm Fan Casing,678.77,3,Castle IT Online Store,5%,RM33.94,https://shopee.com.my/product/12866300/22308570745,https://s.shopee.com.my/6L3pCWqvf0
25944760866,AIGO DARKFLASH DLH21 MINI ITX CASING - WHITE,379.00,0,Revive Tech Solutions,1%,RM3.79,https://shopee.com.my/product/54338795/25944760866,https://s.shopee.com.my/6VNFOpqIK3
53863589437,AIR COOLER [WITH LCD TEMPERATURE DISPLAY] DARKFLASH M-400,121.55,0,klinkglobaljv.my,12%,RM14.59,https://shopee.com.my/product/1853735570/53863589437,https://s.shopee.com.my/5LBI0gujgq
12156527740,Aigo DarkFlash Ellsworth S11 Pro BLACK WHITE PINK - Tower AIR ARGB CPU Fan Cooler,127.62,7,Castle IT Online Store,5%,RM6.38,https://shopee.com.my/product/12866300/12156527740,https://s.shopee.com.my/5VUiCzu6Lt
57914362062,DARKFLASH DM8 SE ARGB Fan (Mirror),68.75,0,klinkglobaljv.my,12%,RM8.25,https://shopee.com.my/product/1853735570/57914362062,https://s.shopee.com.my/5fo8PItT0w
4038710509,DarkFlash Wave DV 240S 360S AIO Liquid CPU Cooler ARGB IPS LCD Black White,392.58,22,Castle IT Online Store,5%,RM19.63,https://shopee.com.my/product/12866300/4038710509,https://s.shopee.com.my/5q7Ybbspfz
55814334824,DARKFLASH DM18 ARGB Fan,73.59,0,klinkglobaljv.my,12%,RM8.83,https://shopee.com.my/product/1853735570/55814334824,https://s.shopee.com.my/7KwMOMn7dI
43931595154,DARKFLASH DB330M MESH COMPUTER CASE (Full M-ATX),283.25,0,klinkglobaljv.my,12%,RM33.99,https://shopee.com.my/product/1853735570/43931595154,https://s.shopee.com.my/7VFmafmUIL
8302069914,DarkFlash Nebula DN 360 240 / DN360D / DN240D ARGB Black White AIO Water Cooler Liquid System,299.00,63,Castle IT Online Store,5%,RM14.95,https://shopee.com.my/product/12866300/8302069914,https://s.shopee.com.my/7fZCmylqxO
3453866004,DarkFlash Ellsworth S2X Air CPU Cooler 200W TDP Dual Fans ARGB Lighting Intel/AMD Compatible,299.00,23,Castle IT Online Store,5%,RM14.95,https://shopee.com.my/product/12866300/3453866004,https://s.shopee.com.my/7psczHlDcR
29335404134,AIGO DARKFLASH DLH21 MINI ITX CASING - PINK,379.00,0,Revive Tech Solutions,1%,RM3.79,https://shopee.com.my/product/54338795/29335404134,https://s.shopee.com.my/6fgfb8pezE
51611208562,AIGO DARKFLASH SHADOW PRO RGB CPU Cooler - CG,154.55,0,gssumbersarime.my,12%,RM18.55,https://shopee.com.my/product/1838012101/51611208562,https://s.shopee.com.my/6q05nRp1eH
50761968052,DARKFLASH DB330M COMPUTER CASE (Full M-ATX),275.55,0,klinkglobaljv.my,12%,RM33.07,https://shopee.com.my/product/1853735570/50761968052,https://s.shopee.com.my/70JVzkoOJK
8077352880,Darkflash Storm Z4 ARGB CPU Cooler - High-Performance Cooling with Stunning RGB Lighting Aigo,73.54,11,Castle IT Online Store,5%,RM3.68,https://shopee.com.my/product/12866300/8077352880,https://s.shopee.com.my/7AcwC3nkyN
24704782091,Cooler Master Hyper 411 Nano ARGB CPU Air Cooler 92mm Intel AMD Black,115.72,1,Castle IT Online Store,5%,RM5.79,https://shopee.com.my/product/12866300/24704782091,https://s.shopee.com.my/3B6nQi2z5c
53864359067,FAN DARKFLASH DM8 LINE ARGB (Mirror),66.55,0,klinkglobaljv.my,12%,RM7.99,https://shopee.com.my/product/1853735570/53864359067,https://s.shopee.com.my/30nNEP3cQb
46361996504,Fan Darkflash INF34,39.49,0,klinkglobaljv.my,12%,RM4.74,https://shopee.com.my/product/1853735570/46361996504,https://s.shopee.com.my/2qTx264Fla
27335413120,DARKFLASH C275P DUAL CHAMBER MATX CASING - WHITE,205.00,3,Revive Tech Solutions,1%,RM2.05,https://shopee.com.my/product/54338795/27335413120,https://s.shopee.com.my/2gAWpn4t6Z
58014937443,DARKFLASH FAN INFINITY 8 PWM SET 5 IN 1 BLACK / WHITE,168.19,0,adrianjanapriyakb.my,12%,RM20.18,https://shopee.com.my/product/1897077218/58014937443,https://s.shopee.com.my/3qMUDw0Rjo
56614937399,AIGO DARKFLASH CASE FAN INFINITY 34 - 12cm PWM aRGB Cooling Fan,50.49,0,adrianjanapriyakb.my,12%,RM6.06,https://shopee.com.my/product/1897077218/56614937399,https://s.shopee.com.my/3g341d154n
45861233662,AIGO DARKFLASH GAUSS G16 Magnetic Splicing ARGB 3in1 Fan Case - Black White - CG,220.55,0,gssumbersarime.my,12%,RM26.47,https://shopee.com.my/product/1838012101/45861233662,https://s.shopee.com.my/3VjdpK1iPm
