Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
45013992970,AIGO ICE 200 PRO CPU AIR COOLER WITH RGB FAN,35.00,27,RaptorsPro Gaming,1%,RM0.35,https://shopee.com.my/product/167177602/45013992970,https://s.shopee.com.my/8V8JmaKWZB
21626260255,PSU Sleeve Extension Cable 【PREMIUM】 for PC Motherboard Cablemod,19.90,570,DSPACE MALAYSIA,3%,RM0.60,https://shopee.com.my/product/183786462/21626260255,https://s.shopee.com.my/80C3BfMQa6
2256457227,1st Player DK6.0 600W Power Supply 80Plus Bronze Bulk PSU ATX,106.09,78,Castle IT Online Store,5%,RM5.30,https://shopee.com.my/product/12866300/2256457227,https://s.shopee.com.my/8AVTNyLnF9
40180411429,AIGO USB Ethernet RJ45 Adapter USB C/A Hub Type C to USB 2.0 3.0 Splitter Docking Station for MacBook Laptop Accessories Docking,29.27,16,MAIWO Official Store,5%,RM1.46,https://shopee.com.my/product/977722029/40180411429,https://s.shopee.com.my/AKZxxxDXqa
2870639559,Aigo DarkFlash C275P Dual Chamber Micro-ATX PC Case mATX Tempered Glass Black White,132.00,44,Castle IT Online Store,5%,RM6.60,https://shopee.com.my/product/12866300/2870639559,https://s.shopee.com.my/AUtOAGCuVd
15182423533,SLEV.30 Premium PSU Sleeved Cable Extension Kit 30CM 24Pin 8Pin PCIe,32.96,81,Castle IT Online Store,5%,RM1.65,https://shopee.com.my/product/12866300/15182423533,https://s.shopee.com.my/9zx7ZLEoWY
27711126357,Aigo AP Series 550/650/750Watt 80 Plus 230V EU White ATX Power Supply (Black&White),150.00,32,darkFlash Official Store,3%,RM4.50,https://shopee.com.my/product/843473721/27711126357,https://s.shopee.com.my/AAGXleEBBb
43717727750,📢READY STOCK📢AIGO SLEV.30 Premium Edition Pre braided 30cm Pure Copper Cable Sleeve for Power Supply  PC PSU,34.90,47,CITRIX Superstore,9%,RM3.14,https://shopee.com.my/product/1610550539/43717727750,https://s.shopee.com.my/9fKHAjG5CW
40617092994,[VanguardIT] Upgrade casing for PCSET Segotep/Darkflash/Aigo/A150/Invasion [black/white],25.75,10,VANGUARD IT TECHNOLOGY SDN BHD,10%,RM2.58,https://shopee.com.my/product/1522315769/40617092994,https://s.shopee.com.my/9pdhN2FRrZ
12781641243,LIAN LI EDGE Gold EG850 850W ATX 3.1 Fully Modular Power Supply Black White,616.97,11,Castle IT Online Store,5%,RM30.85,https://shopee.com.my/product/12866300/12781641243,https://s.shopee.com.my/9KhQm7HLsU
27170214462,AIGO Q15 M-ATX Case Business Office Chassis,119.00,2,darkFlash Official Store,3%,RM3.57,https://shopee.com.my/product/843473721/27170214462,https://s.shopee.com.my/9V0qyQGiXX
22308799219,Lian Li O11 Vision Compact ATX PC Casing Black White Tempered Glass,565.00,4,Castle IT Online Store,5%,RM28.25,https://shopee.com.my/product/12866300/22308799219,https://s.shopee.com.my/6L3pCbSlxw
21137300410,DSPACE MESH-X PSU Pink Premium Sleeve Braided Extension Custom Sleeved Cable with Comb for Gaming PC Motherboard Aigo,20.00,12,DSPACE MALAYSIA,3%,RM0.60,https://shopee.com.my/product/183786462/21137300410,https://s.shopee.com.my/6VNFOuS8cz
6661082127,Aigo darkFlash C6 Aurora Spectrum Fixed Rainbow RGB LED Effect 120mm IDE Molex Powered PC Case Fan,22.00,62,SweetLoot - Tech & Lifestyle Store,3%,RM0.66,https://shopee.com.my/product/72679059/6661082127,https://s.shopee.com.my/60QynzU2du
19091052983,aigo ICE 200 Pro CPU Air Cooler with RGB Fan,30.00,21,darkFlash Official Store,3%,RM0.90,https://shopee.com.my/product/843473721/19091052983,https://s.shopee.com.my/6AkP0ITPIx
25183681822,aigo ICE 400SE CPU Air Cooler with 9cm RGB Fan TDP160W,49.00,6,darkFlash Official Store,3%,RM1.47,https://shopee.com.my/product/843473721/25183681822,https://s.shopee.com.my/5fo8PNVJJs
