Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
22955658860,[Fast Shipping] 70X140 Environmentally Friendly Eye Protection Desk Mat Leather Mat 70X120 Large Desk Mat Student Desk Multi-Purpose Children's Study Dedicated Writing Tablecloth Office Extra Large Mouse Waterproof Oilproof Easy,5.00,6k+,JoyfulFinds.my,9%,RM0.45,https://shopee.com.my/product/1053090662/22955658860,https://s.shopee.com.my/5ArroYi7vz
8072416888,𝐀𝐍𝐓𝐈 𝐒𝐊𝐈𝐃 Wrist Rest Support Ergonomic Mouse Pad Memory Foam Notebook Gaming PC Desk Protection Support Mat 滑鼠垫,2.20,30k+,Phone Shop Dot My ( PSM ),3%,RM0.07,https://shopee.com.my/product/56450643/8072416888,https://s.shopee.com.my/2gAWpxre0W
29379818966,80cm x 30cm Large Mousepad Gaming Mouse Pad Anime mat anti slip Rubber Large Mousepads for Laptop Desk Desk Mat,9.80,5k+,Herman,3%,RM0.29,https://shopee.com.my/product/18558860/29379818966,https://s.shopee.com.my/2qTx2Gr0fZ
42251536583,Black and White Japanese Wave Dragon Gaming Mouse Pad - Abstract Mat with Stitched Edges - Desk Pad For Office and Home,9.99,10k+,mr_kingsley,5%,RM0.50,https://shopee.com.my/product/458197227/42251536583,https://s.shopee.com.my/30nNEZqNKc
46804644220,2mm PVC Table Mat Transparent/Waterproof Plastic Table Cover/Anti-Oil Desk-Dining Protector 透明桌垫,12.50,2k+,LUMIERE-MY,11%,RM1.38,https://shopee.com.my/product/1628974803/46804644220,https://s.shopee.com.my/3B6nQspjzf
6053352931,Large Leather Mousepad Keyboard Mat Anti-slip Suede Smooth Mouse Pad Leather Waterproof Desk Mat,4.39,10k+,Good Daze ,3%,RM0.13,https://shopee.com.my/product/286624173/6053352931,https://s.shopee.com.my/3LQDdBp6ei
40501431080,Large Wool Felt Gaming Mouse Pad Simple Non-slip Office Computer Desk Laptop Mice Mat Table Muti-size Cushion Mousepad,14.69,3k+,POP Mall.,12%,RM1.76,https://shopee.com.my/product/1536279464/40501431080,https://s.shopee.com.my/3VjdpUoTJl
24003590684,[Ready Stock Immediate Shipping] 🔥Student Desk Mat Study Computer Desk Mat Leather Simple Solid Color Desk Mat Oil-Proof Table Cloth Anti-Slip Anti-Di,3.00,7k+,JoyfulFinds.my,9%,RM0.27,https://shopee.com.my/product/1053090662/24003590684,https://s.shopee.com.my/3g341nnpyo
23037521634,Simple Wool Felt Large Gaming Mouse Pad Office Home Desk Mice Mat Supplies 140x60/120x60/100x50/90x45/80x40cm PAD tetikus 毛毡鼠标垫,14.69,10k+,Jecaso,11%,RM1.62,https://shopee.com.my/product/969116254/23037521634,https://s.shopee.com.my/3qMUE6nCdr
29470685635,Anti Glare Desk Mat PU Leather Waterproof Oil Proof Non Slip Suede Backing Office Study Table Mat,3.80,7k+,dreamshome.my,16%,RM0.61,https://shopee.com.my/product/1058346016/29470685635,https://s.shopee.com.my/1Lf9FVwiiO
54110726746,Extra Large Office Mouse Pad Desk Mat 40*80cm Anti-Slip Waterproof Oil-Resistant Home Office Study,13.51,379,💗CozyNest,3%,RM0.41,https://shopee.com.my/product/1569615315/54110726746,https://s.shopee.com.my/1VyZRow5NR
20757042191,Natural Rattan Placemat Table Mat Desk Mat Placemat Coaster Cup Table Placemats for Dining Table Placemat Tableware 藤编杯垫,2.20,7k+,Goodwood Art & Home,13%,RM0.29,https://shopee.com.my/product/637143727/20757042191,https://s.shopee.com.my/1gHze7vS2U
17055589036,《 𝗗𝗢𝗨𝗕𝗟𝗘-𝗦𝗜𝗗𝗘𝗗 》 Waterproof Leather Mousepad Smooth Mouse Pad Laptop Computer Desk PC Mice Mat Pad Tetikus Kulit 皮革鼠标垫,2.97,30k+,NWD - New World Depot,3%,RM0.09,https://shopee.com.my/product/7727453/17055589036,https://s.shopee.com.my/1qbPqQuohX
