Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27868299878,"Large Computer Mousepad, Floral Flower Mouse Pads Non-Slip Rubber Base Desk Mat For Office Home 80 / 90 / 100 /120cm",20.99,350,Jecaso,11%,RM2.31,https://shopee.com.my/product/969116254/27868299878,https://s.shopee.com.my/8plABLt0ib
21180275551,"Blue Japanese Sea Wave Mouse Pad, Large Gaming Mousepads with Non-Slip Rubber Base Desk Mat 100x50cm / 90x40cm / 80x30cm",20.99,2k+,Jecaso,11%,RM2.31,https://shopee.com.my/product/969116254/21180275551,https://s.shopee.com.my/904aNesNNe
21667434076,Clearance Sales Cartoon Coaster | Heat-resistant Table Mat Bowl | Silicone Coaster Non-slip Desk Decoration Mat,0.79,605,Boo & Bub Official,10%,RM0.08,https://shopee.com.my/product/103006032/21667434076,https://s.shopee.com.my/9AO0Zxrk2h
56355431012,Vention Smooth Surface Mouse Pad， Premium Cloth Gaming and Office Desk Mat with Non-Slip Rubber Base for PC and Laptop,10.71,74,Vention Official Shop,9%,RM0.96,https://shopee.com.my/product/285713283/56355431012,https://s.shopee.com.my/9KhQmGr6hk
57061083007,Dopamine Extra Large Office Mouse Pad Desk Mat Table Anti-slip Waterproof Oil-resistant Office Desk Mat Mousepad 鼠标垫,13.79,62,Autofort,3%,RM0.41,https://shopee.com.my/product/1542536821/57061083007,https://s.shopee.com.my/9V0qyZqTMn
26784214256,Leather Desk Cover Thick Leather Portable Anti-slip Smooth Mouse Pad Waterproof Desk Mat Alas Meja,7.93,999,Koalala Malaysia,5%,RM0.40,https://shopee.com.my/product/283817796/26784214256,https://s.shopee.com.my/9fKHAspq1q
45207633357,Large Purple Ray Line Mouse Pad Extended Desk Mat with Stitched Edge Mousepads For Gaming and Office 80cm,11.55,111,mr_kingsley,5%,RM0.58,https://shopee.com.my/product/458197227/45207633357,https://s.shopee.com.my/9pdhNBpCgt
50355028852,Ins PVC Table Cloth Waterproof Dust-proof Cover Home Decor Placemat Desk Cover Anti Slip Washable,10.90,60,LeisuerBest,15%,RM1.64,https://shopee.com.my/product/1655124519/50355028852,https://s.shopee.com.my/9zx7ZUoZLw
46360366943,Extra-Large PU Leather Mouse Pad Waterproof Non-Slip Desk Mat Keyboard Protector For Computer Laptop Home Office,30.67,49,LClmzp.my,10%,RM3.07,https://shopee.com.my/product/1765570551/46360366943,https://s.shopee.com.my/AAGXlnnw0z
43106648014,《 𝗣𝗘𝗟𝗔𝗣𝗜𝗞 𝗠𝗘𝗦𝗥𝗔 》 PVC Dining Table Mat Placemat Kitchen Desk Cover Pelapik Alas Meja Makan 餐桌垫 NWD,2.76,755,NWD - New World Depot,3%,RM0.08,https://shopee.com.my/product/7727453/43106648014,https://s.shopee.com.my/AKZxy6nIg2
20590697080,PRADO Large Anti Slip Mouse Pad Pro Gaming Home Office Desk Keyboard Mat Oversize Computer Desktop Mouse Pad Tetikus滑鼠垫,9.19,193,PRADO Official Store ✅,3%,RM0.28,https://shopee.com.my/product/354245337/20590697080,https://s.shopee.com.my/AUtOAPmfL5
46458487793,​PU Leather Desk Mat for Student Study Oil Proof Waterproof Table Protector Non Slip Mouse Pad For Office Computer Stain Resistant Solid Color​ 桌垫,10.85,146,UMIAINE.my,13%,RM1.41,https://shopee.com.my/product/1723874813/46458487793,https://s.shopee.com.my/5LBI0v6Kp6
42305243028,Mouse Pad Gaming Marvel Characters Spider Man Mousepad Large Customize Extended Mouse Pad Desk Mat,11.67,56,XL Coustom Mousepad,18%,RM2.10,https://shopee.com.my/product/261908383/42305243028,https://s.shopee.com.my/5VUiDE5hU9
55610822269,Solid Color Waterproof PU Mouse Pad Eye-Caring Eco Desk Mat for Office & Study 环保电脑桌面垫,16.80,17,HOME WELL,9%,RM1.51,https://shopee.com.my/product/1659495761/55610822269,https://s.shopee.com.my/5fo8PX549C
47450535886,[24 hours delivery]desk mat 60*100/120/140cm table mat office desk table top cover cover mat desktop waterproof,28.00,157,Isabella1.my,4%,RM1.12,https://shopee.com.my/product/1297190223/47450535886,https://s.shopee.com.my/5q7Ybq4QoF
29163394574,A4/A5 PVC Cutting Mat Deskpad Patchwork Cut Pad Durable DIY Handmade Tools Scrapbooking Cutting Plate Board Art Tool Kits Desk Mat,1.49,909,Luckylucky Stationery.my,11%,RM0.16,https://shopee.com.my/product/1334736679/29163394574,https://s.shopee.com.my/60Qyo93nTI
13961160355,[21*23CM] Small Leather Mousepad Keyboard Mat Pu Leather Waterproof Desk MatAnti-slip Suede Backing Smooth Mouse Pad,3.68,706,WISHAEARN,4%,RM0.15,https://shopee.com.my/product/293326053/13961160355,https://s.shopee.com.my/6AkP0S3A8L
41150987249,"Lunar Eclipse Gaming Mouse Pad, Ink-Style Scenic Mountains Gaming Mousepads with Stitched Edges Desk Mat 80 / 90 / 100cm",20.99,197,Jecaso,11%,RM2.31,https://shopee.com.my/product/969116254/41150987249,https://s.shopee.com.my/6L3pCl2WnO
47300821112,"White Mousepad Large Gaming Topographic Map Desk Pad with Stitched Edge, Non-Sllp Rubber Base Computer Mouse Mat",11.29,74,Starspeed Shop,5%,RM0.56,https://shopee.com.my/product/1403440621/47300821112,https://s.shopee.com.my/6VNFP41tSR
