Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
26519110922,Jungle Leopard Star Trail Black / White 5V ARGB 3Pin PWM 4Pin 12CM Casing Fan,15.00,54,ACT TECH TRADING,3%,RM0.45,https://shopee.com.my/product/255368439/26519110922,https://s.shopee.com.my/5q7YbyKApp
18969734338,Castle IT 1-Port ARGB Controller 5V 3 Pin SATA Powered Reset Button RGB Hub,10.30,38,Castle IT Online Store,5%,RM0.52,https://shopee.com.my/product/12866300/18969734338,https://s.shopee.com.my/5LBI13M4qk
25674615825,Fan Controller Adapter Cable 4Pin/6Pin to 5V ARGB 3Pin Converter,3.33,22,bolonia.my,3%,RM0.10,https://shopee.com.my/product/110639516/25674615825,https://s.shopee.com.my/5VUiDMLRVn
41452276564,JONSBO TH240 ARGB | BLACK / WHITE | 240MM | CPU AIO LIQUID COOLER,269.00,40,IDEALTECH PC,3%,RM8.07,https://shopee.com.my/product/114874624/41452276564,https://s.shopee.com.my/7fZCnLDC7E
9299416438,LCD 240MM 360MM ARGB LIQUID COOLER WATER AIO COOLING INTEL AMD LGA1700,275.00,36,NEX IT Online Store,1%,RM2.75,https://shopee.com.my/product/194874772/9299416438,https://s.shopee.com.my/7psczeCYmH
40982765256,9 Port ARGB Fan Hub RGB Controller PWM PC Case Fan Controller Temperature Control Aura Sync Cooling,26.88,5,Everyday Value Mart MY,3%,RM0.81,https://shopee.com.my/product/1008535692/40982765256,https://s.shopee.com.my/7KwMOjESnC
56459812881,A360 Black ARGB 3Pin PWM 120mm 240mm 360mm Fan Programmable / PC Case Fan,15.00,19,ACT TECH TRADING,3%,RM0.45,https://shopee.com.my/product/255368439/56459812881,https://s.shopee.com.my/7VFmb2DpSF
28702233080,"Thermalright PWM Fan Hub ARGB hub 10-Port 4 Pin PC Fan Controller 12V Fan Hub, Strong Paste Magnetic Suction SATA Power Cord Direct Input",29.66,81,Thermalright.my,3%,RM0.89,https://shopee.com.my/product/1268291852/28702233080,https://s.shopee.com.my/70JW07FjTA
41418793910,Slev Slevflow ASQ Vortex / S / Max PWM ARGB 5v3pin Infinity Mirror 120mm Chassis Forward / Reverse Case Fan,18.90,68,SweetLoot - Tech & Lifestyle Store,3%,RM0.57,https://shopee.com.my/product/72679059/41418793910,https://s.shopee.com.my/7AcwCQF68D
24740856801,Prism Gen 4 Max / ARGB 3Pin / PWM 4Pin / 12CM / Black White / Casing Fan,13.00,334,ACT TECH TRADING,3%,RM0.39,https://shopee.com.my/product/255368439/24740856801,https://s.shopee.com.my/6fgfbVH098
40053008599,#APTTECH SEGOTEP LUMI 3T M-ATX GAMING DESKTOP PC CASE / CASING WITH 6 ARGB FAN - BLACK / WHITE,283.25,76,APTTECH,9%,RM25.49,https://shopee.com.my/product/1290400725/40053008599,https://s.shopee.com.my/6q05noGMoB
44715128726,Snowman H12 12 Ports ARGB Case Fan Hub with Remote Control for Gaming PC (5V 3PIN ARGB + 4 Pin PWM),39.90,6,EK IT STORE,3%,RM1.20,https://shopee.com.my/product/275811992/44715128726,https://s.shopee.com.my/3qMUEIRmtc
40502185304,Jungle Leopard Transwarp Casing Fan 5V ARGB 3Pin PWM 4Pin 12cm Speed 2000RPM PC Case Fan,15.00,8,MGS PC Store,3%,RM0.45,https://shopee.com.my/product/489964359/40502185304,https://s.shopee.com.my/3g341zSQEb
19189216363,Jonsbo CR1400 EVO Black ( Color / ARGB ) 9CM Tower CPU Cooler Heatsink ( 3 Year Warranty),66.00,876,ACT TECH TRADING,3%,RM1.98,https://shopee.com.my/product/255368439/19189216363,https://s.shopee.com.my/3VjdpgT3Za
42955151322,JONSBO ZB-120/240/360 Computer Case Fan 5V 3Pin ARGB 120mm Monolithic Structure Water-Cooled Fan PWM,40.48,87,PC GOOD,3%,RM1.21,https://shopee.com.my/product/315023245/42955151322,https://s.shopee.com.my/3LQDdNTguZ
26304227350,Slevflow ASQ Vortex S PWM aRGB 12cm Fan (Forward/Reverse),22.00,127,Slev Malaysia,3%,RM0.66,https://shopee.com.my/product/1250917485/26304227350,https://s.shopee.com.my/3B6nR4UKFY
51804507278,Thermalright Assassin X 120 Refined SE ARGB CPU Air Cooler (White),90.00,3,iBUYPC,1%,RM0.90,https://shopee.com.my/product/1562367463/51804507278,https://s.shopee.com.my/30nNElUxaX
4945287299,Formula V Line Crystal Z6M V2 FLOE mATX Gaming Casing 6x ARGB Fan Black White,209.00,406,Castle IT Online Store,5%,RM10.45,https://shopee.com.my/product/12866300/4945287299,https://s.shopee.com.my/2qTx2SVavW
17992198269,Fan Controller Adapter Cable 4Pin/6Pin to 5V ARGB 3Pin Converter,3.87,270,kokoary.my,4%,RM0.15,https://shopee.com.my/product/296610783/17992198269,https://s.shopee.com.my/2gAWq9WEGV
22580430742,ARGB Controller 5V 3 Pin To Sata Power Supply Mini Synchronous RGB Controller 3pin Hub Adapter Cable for Computer PC Fan,16.00,200,STEVEN PC GARAGE,3%,RM0.48,https://shopee.com.my/product/19736610/22580430742,https://s.shopee.com.my/5ArrokMiC0
27527719485,Cooler Master MasterLiquid 240L Core ARGB | BLACK / WHITE | AIO Liquid Cooler,329.00,20,Cooler Master Official Store,11%,RM36.19,https://shopee.com.my/product/1443203503/27527719485,https://s.shopee.com.my/50YRcRNLWz
49055782796,JONSBO XA-120/360 | BLACK | NORMAL/REVERSE BLADE FANS | 28MM INFINITY MIRROR ARGB CASE FAN,179.00,24,IDEALTECH PC,3%,RM5.37,https://shopee.com.my/product/114874624/49055782796,https://s.shopee.com.my/4qF1Q8Nyry
57454086159,JONSBO XA-120/XA-360 3-Pack 120mm Fan 5V/3Pin ARGB Three-Sided Mirror Integrated Cold Exhaust Cooling Fan for Desktop Computers,53.85,10,Ocingtek.my,3%,RM1.62,https://shopee.com.my/product/252614272/57454086159,https://s.shopee.com.my/4fvbDpOcCx
29977725500,Thermalright TL-M12RW-S ARGB Reverse fan Case Fan 120mm with ARGB Mirror Light Effect CPU Cooler 1500RPM PWM Silent Fan CPU Cooling ARGB Desktop,39.79,17,Thermalright.my,3%,RM1.19,https://shopee.com.my/product/1268291852/29977725500,https://s.shopee.com.my/4VcB1WPFXw
