Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
42610769854,NO1 CPU AirCooler ARGB J-10 | J-20 Dual Tower Black/White Gaming PC Cooling fast CPU,56.65,18,APTTECH,9%,RM5.10,https://shopee.com.my/product/1290400725/42610769854,https://s.shopee.com.my/Lmc3spyy7
28164458918,Thermalright TL-C12B-S ARGB Case Fan 120mm Chassis Cooling Fan Infinite Mirror Light 4pin PWM Silent Cooler Fan,36.77,32,Thermalright.my,3%,RM1.10,https://shopee.com.my/product/1268291852/28164458918,https://s.shopee.com.my/2BEGFFj0FU
41673166746,Thermalright TL-ARGB AND FAN HUB X12/X8 IR Fan PWM HUB X12 Wireless Remote Control/Supports 4 PIN PWM+3 PIN+5V ARGB PC Fan Controller,59.99,18,Thermalright.my,3%,RM1.80,https://shopee.com.my/product/1268291852/41673166746,https://s.shopee.com.my/20uq2wjdaT
27156684940,Thermalright ARGB HUB Controller REV.A 5V 3PIN Motherboard Sync CPU Cooler controller Case Fan Cable Hub,33.44,8,PC GOOD,3%,RM1.00,https://shopee.com.my/product/315023245/27156684940,https://s.shopee.com.my/2Vr6drhjZa
28005921978,Thermalright TL-K12 120mm Case Fan High-performance Wind Presssure Fan S-FDB V2 Bearing 5V/3PIN ARGB Quiet PWM Cooling Fan,92.40,14,PC GOOD,3%,RM2.77,https://shopee.com.my/product/315023245/28005921978,https://s.shopee.com.my/2LXgRYiMuZ
46511412027,LOVINGCOOL AP400 CPU SINGLE TOWER AIR COOLER 12CM PWM ARGB with TEMPERATURE DISPLAY (BLACK|WHITE),71.10,2,genzcomputersolution,3%,RM2.13,https://shopee.com.my/product/1469031371/46511412027,https://s.shopee.com.my/1VyZS1lXbQ
53753444684,[Thermalright Peerless Assassin 120 SE ARGB CPU Tower Cooler] - Black/White PA120 SE PA120 SE ARGB,172.00,8,genzcomputersolution,3%,RM5.16,https://shopee.com.my/product/1469031371/53753444684,https://s.shopee.com.my/1Lf9FimAwP
43977447434,THERMALRIGHT PEERLESS ASSASSIN 120 DIGITAL / ARGB DUAL TOWER CPU AIR COOLER - BLACK / WHITE,228.15,17,VANGUARD IT TECHNOLOGY SDN BHD,10%,RM22.82,https://shopee.com.my/product/1522315769/43977447434,https://s.shopee.com.my/1qbPqdkGvW
25700382732,JONSBO FR505 12CM Chassis Fan 4Pin PWM Silent ARGB CPU Cooler Fan Infinity Mirror water-cooled and air-cooled replacement fan,36.18,41,Jeetao.my,3%,RM1.09,https://shopee.com.my/product/492827746/25700382732,https://s.shopee.com.my/1gHzeKkuGV
29978769598,Coolmoon GT600 Black White ( ARGB ) 6Pipe 12CM Tower CPU Cooler Heatsink,75.00,94,ACT TECH TRADING,3%,RM2.25,https://shopee.com.my/product/255368439/29978769598,https://s.shopee.com.my/3VjdphdvXs
48901128930,THERMALRIGHT Frozen Magic 240 ARGB V2 CPU AIO Liquid Cooler (Black),199.00,3,iBUYPC,1%,RM1.99,https://shopee.com.my/product/1562367463/48901128930,https://s.shopee.com.my/3LQDdOeYsr
42731908235,[Ready Stock] 6Pin 10-Port ARGB Fan Hub Controller with Remote Control for Computer Case Fans LED Light Bar,18.23,2,Digital World♦,9%,RM1.64,https://shopee.com.my/product/80787972/42731908235,https://s.shopee.com.my/3qMUEJcery
46712151581,CoolMoon M.2 NVMe SSD Heatsink with Turbo Fan 5V 3Pin ARGB Infinite Lens Copper Cooling Radiator,48.00,1,cchome.os,4%,RM1.92,https://shopee.com.my/product/582539709/46712151581,https://s.shopee.com.my/3g3420dICx
54063148887,ARGB Fan Controller Hub 5V 3Pin PWM 4Pin Magnetic Temperature Control Wireless Remote 控制器,26.88,3,Jimat Value Mart MY,5%,RM1.34,https://shopee.com.my/product/1134216579/54063148887,https://s.shopee.com.my/2qTx2TgSto
26266847890,DEEPCOOL FD12 & ARGB 3IN1 12CM CASING FAN (R-FD12-BKNPN3-G/R-FD12-WHNPN3-G/R-FD12-BKAPN3-G) BLK/WHT,120.00,2,ITCOM ONLINE,1%,RM1.20,https://shopee.com.my/product/44569675/26266847890,https://s.shopee.com.my/2gAWqAh6En
28576574236,Thermalright Hyper Vision 360 UB ARGB integrated fan water cooling radiator 3.95-inch magnetic LCD display All-in-one water cooling radiator,698.00,5,Thermalright.my,3%,RM20.94,https://shopee.com.my/product/1268291852/28576574236,https://s.shopee.com.my/3B6nR5fCDu
45662054113,4Pin PWM 9 ARGB Ports 3Pin 5v Speed Controller Universal Computer Regulator PC Case Cooling Fan Hub remote control控制器,25.99,4,sarah shop no1,11%,RM2.86,https://shopee.com.my/product/1214123347/45662054113,https://s.shopee.com.my/30nNEmfpYt
42511227013,Thermalright TL-UB36R ARGB 360mm CPU Reverse Fan CPU ARGB 2150RPM One-Piece Performance Grade Air Pressure Case Fans Reverse airflow 4pin PWM PC Fan,198.00,23,Thermalright.my,3%,RM5.94,https://shopee.com.my/product/1268291852/42511227013,https://s.shopee.com.my/4qF1Q9YqqG
40131008379,LOVINGCOOL HK-B360-01 / HK-W360-01 360MM AIO LIQUID COOLER CPU ARGB FAN,194.67,1,VANGUARD IT TECHNOLOGY SDN BHD,9%,RM17.52,https://shopee.com.my/product/1522315769/40131008379,https://s.shopee.com.my/4fvbDqZUBF
27618878601,Jungle Leopard Transwarp 140mm Black / White 5V ARGB 3Pin PWM 4Pin 14CM Casing Fan,30.00,134,ACT TECH TRADING,3%,RM0.90,https://shopee.com.my/product/255368439/27618878601,https://s.shopee.com.my/5ArrolXaAM
22443779331,Jonsbo CR1400 EVO White ( Color / ARGB ) 9CM Tower CPU Cooler Heatsink ( 3 Year Warranty),65.00,644,ACT TECH TRADING,3%,RM1.95,https://shopee.com.my/product/255368439/22443779331,https://s.shopee.com.my/50YRcSYDVL
57505676075,LOVINGCOOL LG-360 240 120 Black ARGB 3Pin PWM 120mm 240mm 360mm Fan Programmable / PC Case Fan,30.00,26,ACT TECH TRADING,3%,RM0.90,https://shopee.com.my/product/255368439/57505676075,https://s.shopee.com.my/4AzKcvbOCC
8648474035,NZXT F240 F280 F360 RGB Core Casing Fan Single Frame Black White PC Cooling Fan ARGB 360 240MM 280MM,204.40,19,Castle IT Online Store,5%,RM10.22,https://shopee.com.my/product/12866300/8648474035,https://s.shopee.com.my/40fuQcc1XB
41281927696,ANTEC C6 CURVE ARGB | 3X PRE-INSTALLED PWM ARGB FANS | MID-TOWER ATX COMPUTER CASE WITH CURVED GLASS PANEL,449.00,2,IDEALTECH PC,3%,RM13.47,https://shopee.com.my/product/114874624/41281927696,https://s.shopee.com.my/4VcB1Xa7WI
26731035833,ANTEC AX85 ARGB | PRE-INSTALLED 4 X 120MM ARGB FAN | MID TOWER GAMING CASE,199.00,9,IDEALTECH PC,3%,RM5.97,https://shopee.com.my/product/114874624/26731035833,https://s.shopee.com.my/4LIkpEakrH
14250158685,Castle IT H2 M-ATX ITX PC Casing Compact Office Chassis Optional 80mm Fan 500W Peak PSU,64.89,10,Castle IT Online Store,5%,RM3.24,https://shopee.com.my/product/12866300/14250158685,https://s.shopee.com.my/6L3pCuT8ng
41827412047,SLEVCASE NEBULA M-ATX CASE WITH 3 ARGB SLEVFLOW SPECTRA FANS - BLACK / WHITE (1 Year Warranty),249.00,3,PCU LEGACY,0.5%,RM1.25,https://shopee.com.my/product/44965307/41827412047,https://s.shopee.com.my/6VNFPDSVSj
25078913133,COOLMOON AR-1 RGB Controller Cable 5V 3Pin To SATA AURA ARGB Mini Controller HUB Adapter For Computer PC Cooling Fan Light Strip [countless.my],9.68,225,【cou】CCC ♈♈,11%,RM1.06,https://shopee.com.my/product/19041154/25078913133,https://s.shopee.com.my/60QyoIUPTe
27001819699,ICE Whale C8 1 to 8 PWM & ARGB Case Fan Hub Splitter 4Pin PWM 3Pin Addressable ARGB Adapter SATA Power Interface With Remote control,26.19,9,Jeetao.my,3%,RM0.79,https://shopee.com.my/product/492827746/27001819699,https://s.shopee.com.my/6AkP0bTm8h
48752101588,ICE Whale K10 1 to 10 PWM and ARGB2in1 chassis fan hub splitter 4Pin PWM 3Pin addressable ARGB adapter SATA power interface with remote control,27.27,0,Jeetao.my,3%,RM0.82,https://shopee.com.my/product/492827746/48752101588,https://s.shopee.com.my/5fo8PgVg9c
47414806586,VK360 Digital CPU Aio Cooler 4 Inch Screen 240/360mm Black White (5V ARGB)Liquid Radiator,320.00,1,ACT TECH TRADING,3%,RM9.60,https://shopee.com.my/product/255368439/47414806586,https://s.shopee.com.my/5q7YbzV2of
6276735914,Cooler Master MasterFan MF120 Prismatic ARGB Radiant Crystalline 120mm Casing Fan with Tri-Loop Addressable RGB LED,99.00,10,SweetLoot - Tech & Lifestyle Store,3%,RM2.97,https://shopee.com.my/product/72679059/6276735914,https://s.shopee.com.my/5LBI14Wwpa
54508690885,AH10 ARGB Hub 10 Port (5V 3PIN ARGB+4 Pin PWM) PC Case CPU Fan Controller Remote ARGB sync Connector,24.00,21,ACT TECH TRADING,3%,RM0.72,https://shopee.com.my/product/255368439/54508690885,https://s.shopee.com.my/5VUiDNWJUd
18877358663,Casing Fan 5V 3Pin ARGB Connector ( For 1 Device ),5.00,37,ACT TECH TRADING,3%,RM0.15,https://shopee.com.my/product/255368439/18877358663,https://s.shopee.com.my/7fZCnMO464
28272945969,MyriadU 12cm ARGB Computer Case Mute Fans PC Tower Silent Air PWM 4Pin High Speed 1600 PWM DC12V Mirror Effect Cooling System MY,19.43,4,myriadu.my,3%,RM0.58,https://shopee.com.my/product/161491282/28272945969,https://s.shopee.com.my/7psczfNQl7
51354019608,Coolmoon T6 Black White ( ARGB ) 6Pipe 12CM Tower CPU Cooler Heatsink,91.00,13,ACT TECH TRADING,3%,RM2.73,https://shopee.com.my/product/255368439/51354019608,https://s.shopee.com.my/7KwMOkPKm2
23660241560,M.2 SSD ARGB Sync 5V 3PIN Aluminum Heatsink M.2 2280 PCIE NVME / NGFF 2280 Solid State Drive Endless Abyss Effect,32.50,21,STEVEN PC GARAGE,3%,RM0.98,https://shopee.com.my/product/19736610/23660241560,https://s.shopee.com.my/7VFmb3OhR5
47314222431,[guyumao] SATA Power 5V 3Pin ARGB Lighting Controller Mini RGB Hub for PCputer Case Fans Addressable LED Setup,14.40,1,guyumao.my,3%,RM0.43,https://shopee.com.my/product/275619650/47314222431,https://s.shopee.com.my/70JW08QbS0
