Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
27589662909,Baju Merdeka Budak Set Dress Lelaki/purumpuan kaine soft premium como-creap size 4yr-14yr,12.00,3k+,Raw Colours,21%,RM2.52,https://shopee.com.my/product/1374230699/27589662909,https://s.shopee.com.my/4fvR2bt5Is
23820114366,ELGINI E16133 Windbreaker dengan Poket Zip Dada S-XXL | Hooded Windbreaker Water-Resistant with Chest Zipper Pocket,42.23,30k+,ELGINI MALAYSIA,13%,RM5.49,https://shopee.com.my/product/343537397/23820114366,https://s.shopee.com.my/4qErEusRxv
26903076784,[Local] SOARFLY 8 Inch Portable Camping Fan Cordless Rechargeable Fan Metal Kipas Bateri Tahan Lama for Home Outdoor Camping,42.40,10k+,SOARFLY Tools MY,13%,RM5.51,https://shopee.com.my/product/1058887015/26903076784,https://s.shopee.com.my/5q7OQkodw8
24413808705,Cheerful tissue Ribbon tissue botare Facial Tissue Paper Wall Hanging Tisu gantung toilet tissue kitchen tisu dapur 纸巾,2.50,30k+,Murah Stock Shop,4%,RM0.10,https://shopee.com.my/product/1081253539/24413808705,https://s.shopee.com.my/5fnyERpHH7
27401678510,Merdeka Boy’s /Girl's (Como Crape premium),9.45,50k+,Leven Texm,17%,RM1.61,https://shopee.com.my/product/1198788949/27401678510,https://s.shopee.com.my/5VUY28puc6
25328917957,Baju Merdeka Kids Set Boys and Girls Suit 5 Design 2025,21.99,5k+,screenshootfashion,18%,RM3.96,https://shopee.com.my/product/312187831/25328917957,https://s.shopee.com.my/5LB7ppqXx5
42479172319,TYESO Pink Floral Insulated Tumbler Stainless Steel Vacuum Cup with Straw 24H Cold 12H Hot,45.90,10k+,Tyeso Official Store ,13%,RM5.97,https://shopee.com.my/product/1050543162/42479172319,https://s.shopee.com.my/6VN5Dym6aK
24602299725,(4 Packs) 80pcs Large Kitchen Cleaning Wet Wipes Lap Basah Pembersihan Dapur 厨房清洁湿巾,2.80,1k+,lovelyhome4u,33%,RM0.92,https://shopee.com.my/product/1095998646/24602299725,https://s.shopee.com.my/6L3f1fmjvJ
26843434739,🔥NEW🔥Pewangi Kereta Tahan Lama HINGGA 60 Hari! Cream Wangi Gilar Fruity Fresh Meletop Car Air Freshener Fragrance,13.39,4k+,KEGEMA.mall,16%,RM2.14,https://shopee.com.my/product/476162260/26843434739,https://s.shopee.com.my/6AkEpMnNGI
41909507283,Merdeka Baju Boy's /Girl's /Tanjak (Premium Quality)  Ready stock Hari Hari postage ...,9.45,685,LevenTex,17%,RM1.61,https://shopee.com.my/product/978868240/41909507283,https://s.shopee.com.my/60Qod3o0bH
19182617819,Tyeso Tumbler With Handle 600/750/900/1050/1200ml 304 Stainless Steel Insulated Thermos Flask Water Bottle Botol Air 保温瓶,37.11,200k+,My Choice Official Store,12%,RM4.45,https://shopee.com.my/product/63986963/19182617819,https://s.shopee.com.my/7Acm1CjZEW
28482688523,80PCS NON ALCOHOL BABY WIPES / BABY WET TISSUE ANTI BACTERIAL ALCOHOL FREE WET TISSUE / TISU BASAH BAYI / TISSUE BASAH,0.95,200k+,JAYATECH,12%,RM0.11,https://shopee.com.my/product/229240229/28482688523,https://s.shopee.com.my/70JLotkCZV
20263190843,🌟HOT ITEM ORIGINAL BLANK🌟 Syahmi Sazli Blank x SyahmiSazli Original BLANK Car Perfume Pewangi Kereta,35.00,10k+,Wabeli2,5.01%,RM1.75,https://shopee.com.my/product/891401963/20263190843,https://s.shopee.com.my/6pzvcakpuU
29032546727,JERUK MANGGA PAPA LARIS 2.0 (BELI COMBO 4 PERCUMA 1 BEKAS MAKANAN) 120G,12.90,100k+,PAPA TERLAJAK LARIS,12%,RM1.55,https://shopee.com.my/product/292371459/29032546727,https://s.shopee.com.my/6fgVQHlTFT
11929587897,DHERBS SET JIMAT AURA SERI COMBO 2,22.00,100k+,PAPA TERLAJAK LARIS,15%,RM3.30,https://shopee.com.my/product/292371459/11929587897,https://s.shopee.com.my/7psSoQh1si
19191419204,[4PCS]Botare AIR-cushion Cheerful Tissue 4-Ply 1280 sheets 175*175mm Deluxe Comfort Tissue,26.45,200k+,Botare OFFICIAL STORE,10%,RM2.65,https://shopee.com.my/product/968604726/19191419204,https://s.shopee.com.my/7fZ2c7hfDh
3078295971,5L Wash and Wax Nano Car Shampoo Sabun cuci kereta Car wash shampoo Nano snow wash Pencuci kereta,13.90,10k+,Mutiara Kimia Trading,15%,RM2.09,https://shopee.com.my/product/350056840/3078295971,https://s.shopee.com.my/7VFcPoiIYg
42700864398,Kipas Mini High-speed Handheld Mini Fan USB Charging Portable Turbine Bladeless Powerful Fan,39.44,8,Daily Crate,83%,RM32.74,https://shopee.com.my/product/1539473151/42700864398,https://s.shopee.com.my/7KwCDVivtf
47564645040,ZUS CEO Chocolate Drink | Dark Cocoa Chocolate Premix Drink | 10 Sachets,27.90,68,The Elegant Living,10%,RM2.79,https://shopee.com.my/product/130985715/47564645040,https://s.shopee.com.my/8V89beeUWu
40809300943,VTOMAN V3 Jump Starter For Car Jump Starter Boost Pack and Jumper CablesLED Lights,170.00,101,VTOMAN Official Store,33%,RM56.10,https://shopee.com.my/product/1586711018/40809300943,https://s.shopee.com.my/8KojPLf7rt
23439299380,Perfume Kereta Gel - Blank Original BLANK Car Perfume Pewangi Kereta Viral 100% Original,35.00,2k+,Wabeli2,12%,RM4.20,https://shopee.com.my/product/891401963/23439299380,https://s.shopee.com.my/8AVJD2flCs
40906549325,MAGNET SHEET BENDERA MALAYSIA / BENDERA NEGERI-NEGERI / BENDERA PALESTINE,3.90,10k+,printzshop,19%,RM0.74,https://shopee.com.my/product/9064179/40906549325,https://s.shopee.com.my/80Bt0jgOXr
27686425730,【Local Warehouse】Elysee Outdoor Folding Camping Table High Strength Portable Alloy Table High Strength Portable Alloy Table 野营桌套装【一年质保】,26.90,2k+,ElyseeNO1.my,9%,RM2.42,https://shopee.com.my/product/1505408052/27686425730,https://s.shopee.com.my/9ANqOsbxB6
48561734692,【Authentic Stock】Cetaphil Baby Wash & Shampoo For Hair & Body For Baby Delicate Skin (400ML)|pH balanced hypoallergenic|MY Local Stock,31.80,2k+,CАRiNG Beauty Bоutique,6%,RM1.91,https://shopee.com.my/product/1827235470/48561734692,https://s.shopee.com.my/904QCZcaW5
18683876424,TYESO TS-8755C/8756C Vacuum Insulated Stainless Steel Water Bottle 500ml/710ml Thermos Flask Keep Hot & Cold With Handle,35.80,2k+,Tyeso Official Store ,18%,RM6.44,https://shopee.com.my/product/1050543162/18683876424,https://s.shopee.com.my/8pl00GdDr4
4453410150,TANJAK MERDEKA JIMAT MUDAH CEPAT SENANG DESTAR TENGKOLOK  MELAKA PADU  POWER SETANJAK,5.99,708,Usahawan Sempoi,20%,RM1.20,https://shopee.com.my/product/64604077/4453410150,https://s.shopee.com.my/8fRZnxdrC3
25951276737,sunlight cuci pinggan/piring pouch ekonomis/jimat 90ml,1.00,300k+,RAJA JAJANAN INDONESIA,3%,RM0.03,https://shopee.com.my/product/120500751/25951276737,https://s.shopee.com.my/9pdXC6ZPpI
12537696971,𝗦𝗜𝗠𝗣𝗟𝗘 ELECTRIC NON STICK Ceramic Frying Pan Rice Steamer Mini Rice Cooker / Periuk Nasi Pengukus Periuk Nasi Mudah Alih,15.00,107,JKC COLLECTIBLES ,33%,RM4.95,https://shopee.com.my/product/544562995/12537696971,https://s.shopee.com.my/9fK6zna3AH
24331965300,Link-1 Baju Merdeka (High Quality) Como Crepe Kain 2026,12.00,7k+,Kidimax,24%,RM2.88,https://shopee.com.my/product/1100397016/24331965300,https://s.shopee.com.my/9V0gnUagVG
2693294945,CARRIE JUNIOR Hair & Body Wash - Cheeky Cherry [1000g/500g/700g] [New Toy] Nourishing & Moisturising Skin | Kids Shower,9.93,10k+,Wipro Unza Official Store,10%,RM0.99,https://shopee.com.my/product/35308287/2693294945,https://s.shopee.com.my/9KhGbBbJqF
44456707092,【12 Packs】Botare AIR-cushion Cheerful Tissue 4-Ply 1280 sheets 175*175mm Deluxe Comfort Tissue,23.81,9k+,botare.my,8%,RM1.90,https://shopee.com.my/product/1557134883/44456707092,https://s.shopee.com.my/AUtDzKWsTU
8161414992,Dessini Italy Pencincang Bawang Daging Mesin Capsule Cutter Spin Chopper Meat Grinder (900ml) RS-1686,9.90,100k+,DESSINI Official Store,9%,RM0.89,https://shopee.com.my/product/370480745/8161414992,https://s.shopee.com.my/AKZnn1XVoT
